ERROR LIST,Form ,Packet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYSTLEG,DYSTLEG conforms,DYSTLEG must be between 0-3 or = 8 ,Q3h. DYSTLEG (limb dystonia leg) must be an integer between 0 and 3 or equal 8,If DYSTLEG < 0 or DYSTLEG > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
CHOREA,CHOREA must be present if PARKSIGN = 1,If PARKSIGN = 1 then CHOREA cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3i. CHOREA cannot be blank,If PARKSIGN = 1 and CHOREA = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
CHOREA,CHOREA conforms,CHOREA must be between 0-3 or = 8 ,Q3i. CHOREA must be an integer between 0 and 3 or equal 8,If CHOREA < 0 or CHOREA > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
AMPMOTOR,AMPMOTOR must be present if PARKSIGN = 1 ,If PARKSIGN = 1 then AMPMOTOR cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3j. AMPMOTOR (decrement in amplitude) cannot be blank,If PARKSIGN = 1 and AMPMOTOR = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
AMPMOTOR,AMPMOTOR conforms,AMPMOTOR must be between 0-1 or = 8,Q3j. AMPMOTOR (decrement in amplitude) must be an integer between 0 and 1 or equal 8,If AMPMOTOR < 0 or AMPMOTOR > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
AXIALRIG,AXIALRIG must be present if PARKSIGN = 1,If PARKSIGN =1 then AXIALRIG cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3k. AXIALRIG (axial rigidity) cannot be blank,If PARKSIGN = 1 and AXIALRIG = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
AXIALRIG,AXIALRIG conforms,AXIALRIG must be between 0-1 or = 8 ,Q3k. AXIALRIG (axial rigidity) must be an integer between 0 and 1 or equal 8,If AXIALRIG < 0 or AXIALRIG > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
POSTINST,POSTINST must be present if PARKSIGN = 1,If PARKSIGN = 1 then POSTINST cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3l. POSTINST (postural instability) cannot be blank,If PARKSIGN = 1 and POSTINST = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
POSTINST,POSTINST conforms,POSTINST must be between 0-1 or = 8 ,Q3l. POSTINST (postural instability) must be an integer between 0 and 1 or equal 8,If POSTINST < 0 or POSTINST > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
MASKING,MASKING must be present if PARKSIGN = 1,If PARKSIGN = 1 then MASKING cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3m. MASKING (facial masking) cannot be blank,If PARKSIGN = 1 and MASKING = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
MASKING,MASKING conforms,MASKING must be between 0-1 or = 8,Q3m. MASKING (facial masking) must be an integer between 0 and 1 or equal 8,If MASKING < 0 or MASKING > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
STOOPED,STOOPED must be present if PARKSIGN = 1,If PARKSIGN = 1 then STOOPED cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3n. STOOPED (stooped posture) cannot be blank,If PARKSIGN = 1 and STOOPED = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
STOOPED,STOOPED conforms,STOOPED must be between 0-1 or = 8,Q3n. STOOPED (stooped posture) must be an integer between 0 and 1 or equal 8,If STOOPED < 0 or STOOPED > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
OTHERCORT,OTHERCORT must be present if NEUREXAM = 1-3,If NEUREXAM = 1-3 then OTHERCORT cannot be blank,If Q1. NEUREXAM (which of the following was completed?) = 1-3 then Q4. OTHERCORT (cortical or other signs) cannot be blank,If NEUREXAM = 1-3 and OTHERCORT = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
OTHERCORT,OTHERCORT conforms,OTHERCORT must be between 0-1 or = 8,Q4. OTHERCORT (cortical or other signs) must be an integer between 0 and 1 or equal 8,If OTHERCORT < 0 or OTHERCORT > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
LIMBAPRAX,LIMBAPRAX must be present if OTHERCORT = 1,If OTHERCORT = 1 then LIMBAPRAX cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4a. LIMBAPRAX (limb apraxia) cannot be blank,If OTHERCORT = 1 and LIMBAPRAX = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
LIMBAPRAX,LIMBAPRAX conforms,LIMBAPRAX must be between 0-3 or = 8,Q4a. LIMBAPRAX (limb apraxia) must be an integer between 0 and 3 or equal 8,If LIMBAPRAX < 0 or LIMBAPRAX > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
UMNDIST,UMNDIST must be present if OTHERCORT = 1,If OTHERCORT = 1 then UMNDIST cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4b. UMNDIST (UMN distribution) cannot be blank,If OTHERCORT = 1 and UMNDIST = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
UMNDIST,UMNDIST conforms,UMNDIST must be between 0-3 or = 8,Q4b. UMNDIST (UMN distribution) must be an integer between 0 and 3 or equal 8,If UMNDIST < 0 or UMNDIST > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
LMNDIST,LMNDIST must be present if OTHERCORT = 1,If OTHERCORT = 1 then LMNDIST cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4c. LMNDIST (LMN distribution) cannot be blank,If OTHERCORT = 1 and LMNDIST = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
LMNDIST,LMNDIST conforms,LMNDIST must be between 0-3 or = 8,Q4c. LMNDIST (LMN distribution) must be an integer between 0 and 3 or equal 8,If LMNDIST < 0 or LMNDIST > 3 and ≠ 8,n/a,n/a,Error ,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
VFIELDCUT,VFIELDCUT must be present if OTHERCORT = 1 ,If OTHERCORT = 1 then VFIELDCUT cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4d. VFIELDCUT (visual field cut) cannot be blank,If OTHERCORT = 1 and VFIELDCUT = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
VFIELDCUT,VFIELDCUT conforms,VFIELDCUT must be between 0-3 or = 8,Q4d. VFIELDCUT (visual field cut) must be an integer between 0 and 3 or equal 8,If VFIELDCUT < 0 or VFIELDCUT > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
LIMBATAX,LIMBATAX must be present if OTHERCORT = 1 ,If OTHERCORT = 1 then LIMBATAX cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4e. LIMBATAX (limb ataxia) cannot be blank,If OTHERCORT = 1 and LIMBATAX = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
LIMBATAX,LIMBATAX conforms,LIMBATAX must be between 0-3 or = 8,Q4e. LIMBATAX (limb ataxia) must be an integer between 0 and 3 or equal 8,If LIMBATAX < 0 or LIMBATAX > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
MYOCLON,MYOCLON must be present if OTHERCORT = 1,If OTHERCORT = 1 then MYOCLON cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4f. MYOCLON (myoclonus) cannot be blank,If OTHERCORT = 1 and MYOCLON = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
MYOCLON,MYOCLON conforms,MYOCLON must be between 0-3 or = 8 ,Q4f. MYOCLON (myoclonus) must be an integer between 0 and 3 or equal 8,If MYOCLON < 0 or MYOCLON > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
UNISOMATO,UNISOMATO must be present if OTHERCORT = 1,If OTHERCORT = 1 then UNISOMATO cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4g. UNISOMATO (unilateral somatosensory loss) cannot be blank,If OTHERCORT = 1 and UNISOMATO = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
UNISOMATO,UNISOMATO conforms,UNISOMATO must be between 0-1 or = 8,Q4g. UNISOMATO (unilateral somatosensory loss) must be an integer between 0 and 1 or equal 8,If UNISOMATO < 0 or UNISOMATO > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
APHASIA,APHASIA must be present if OTHERCORT = 1,If OTHERCORT = 1 then APHASIA cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4h. APHASIA (aphasia) cannot be blank,If OTHERCORT = 1 and APHASIA = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
APHASIA,APHASIA conforms,APHASIA must be between 0-1 or = 8,Q4h. APHASIA (aphasia) must be an integer between 0 and 1 or equal 8,If APHASIA < 0 or APHASIA > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
ALIENLIMB,ALIENLIMB must be present if OTHERCORT = 1,If OTHERCORT = 1 then ALIENLIMB cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4i. ALIENLIMB (alien limb phenomenon) cannot be blank,If OTHERCORT = 1 and ALIENLIMB = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
ALIENLIMB,ALIENLIMB conforms,ALIENLIMB must be between 0-1 or = 8,Q4i. ALIENLIMB (alien limb phenomenon) must be an integer between 0 and 1 or equal 8,If ALIENLIMB < 0 or ALIENLIMB > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
HSPATNEG,HSPATNEG must be present if OTHERCORT = 1,If OTHERCORT = 1 then HSPATNEG cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4j. HSPATNEG (hemispatial neglect) cannot be blank,If OTHERCORT = 1 and HSPATNEG = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
HSPATNEG,HSPATNEG conforms,HSPATNEG must be between 0-1 or = 8 ,Q4j. HSPATNEG (hemispatial neglect) must be an integer between 0 and 1 or equal 8,If HSPATNEG < 0 or HSPATNEG > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
PSPOAGNO,PSPOAGNO must be present if OTHERCORT = 1,If OTHERCORT = 1 then PSPAGNO cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4k. PSPOAGNO (prosopagnosia) cannot be blank,If OTHERCORT = 1 and PSPOAGNO = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
PSPOAGNO,PSPOAGNO conforms,PSPOAGNO must be between 0-1 or = 8 ,Q4k. PSPOAGNO (prosopagnosia) must be an integer between 0 and 1 or equal 8,If PSPOAGNO < 0 or PSPOAGNO > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
SMTAGNO,SMTAGNO must be present if OTHERCORT = 1,If OTHERCORT = 1 then SMTAGNO cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4l. SMTAGNO (simultanagnosia) cannot be blank,If OTHERCORT = 1 and SMTAGNO = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
SMTAGNO,SMTAGNO conforms,SMTAGNO must be between 0-1 or = 8,Q4l. SMTAGNO (simultanagnosia) must be an integer between 0 and 1 or equal 8,If SMTAGNO < 0 or SMTAGNO >1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
OPTICATAX,OPTICATAX must be present if OTHERCORT = 1,If OTHERCORT = 1 then OPTICATAX cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4m. OPTICATAX (optic ataxia) cannot be blank,If OTHERCORT = 1 and OPTICATAX = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
OPTICATAX,OPTICATAX conforms,OPTICATAX must be between 0-1 or = 8 ,Q4m. OPTICATAX (optic ataxia) must be an integer between 0 and 1 or equal 8,If OPTICATAX < 0 or OPTICATAX > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
APRAXGAZE,APRAXGAZE must be present if OTHERCORT = 1,If OTHERCORT = 1 then APRAXGAZE cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4n. APRAXGAZE (apraxia of gaze) cannot be blank,If OTHERCORT = 1 and APRAXGAZE = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
APRAXGAZE,APRAXGAZE conforms,APRAXGAZE must be between 0-1 or = 8,Q4n. APRAXGAZE (apraxia of gaze) must be an integer between 0 and 1 or equal 8,If APRAXGAZE < 0 or APRAXGAZE > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
VHGAZEPAL,VHGAZEPAL must be present if OTHERCORT = 1,If OTHERCORT =1 then VHGAZEPAL cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4o. VHGAZEPAL (vert/horiz gaze palsy) cannot be blank,If OTHERCORT = 1 and VHGAZEPAL = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
VHGAZEPAL,VHGAZEPAL conforms,VHGAZEPAL must be between 0-1 or = 8,Q4o. VHGAZEPAL (vert/horiz gaze palsy) must be an integer between 0 and 1 or equal 8,If VHGAZEPAL < 0 or VHGAZEPAL > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
DYSARTH,DYSARTH must be present if OTHERCORT = 1,If OTHERCORT = 1 then DYSARTH cannot be blank,If Q4. OTHERCORT (cortical or other signs) = 1 then Q4p. DYSARTH (dysarthria) cannot be blank,If OTHERCORT = 1 and DYSARTH = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
DYSARTH,DYSARTH conforms,DYSARTH must be between 0-1 or = 8 ,Q4p. DYSARTH (dysarthria) must be an integer between 0 and 1 or equal 8,If DYSARTH < 0 or DYSARTH > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
APRAXSP,APRAXSP must be present if OTHERCORT = 1,If OTHERCORT = 1 then APRAXSP cannot be blank,If Q4. OTHERCORT = 1 the Q4q. APRAXSP (apraxia of speech) cannot be blank,If OTHERCORT = 1 and APRAXSP = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
APRAXSP,APRAXSP conforms,APRAXSP must be between 0-1 or =8,Q4q. APRAXSP (apraxia of speech) must be an integer between 0 and 1 or equal 8,If APRAXSP < 0 or APRAXSP > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
GAITABN,GAITABN must be present if NEUREXAM = 1-3,If NEUREXAM = 1-3 then GAITABN cannot be blank,If Q1. NEUREXAM (which of the following was completed?) = 1-3 then  Q5. GAITABN (abnormal gait?) cannot be blank,If NEUREXAM = 1-3 and GAITABN = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
GAITABN,GAITABN conforms,GAITABN must be between 0-1 or = 8,Q5. GAITABN must be an integer between 0 and 1 or equal 8,If GAITABN < 0 or GAITABN > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
GAITFIND,GAITFIND must be present if GAITABN = 1,If GAITABN = 1 then GAITFIND cannot be blank,If Q5. GAITABN (abnormal gait?) = 1 (Yes) then Q5a. GAITFIND (Finding) cannot be blank,If GAITABN = 1 and GAITFIND = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
GAITFIND,GAITFIND conforms,GAITFIND must be between 1-7,Q5a. GAITFIND (Finding) must be an integer between 1 and 7,If GAITFIND < 1 or GAITFIND > 7,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
GAITHEMIP,GAITHEMIP conforms,GAITHEMIP must be 1,Q5a. GAITHEMIP (hemiparetic gait) must be an integer of 1,If GAITFIND < 1 or GAITFIND > 1,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
GAITFOOTD,GAITFOOTD conforms,GAITFOOTD must be 2,Q5a. GAITFOOTD (foot drop gait) must be an integer of 2,If GAITFIND < 2 or GAITFIND > 2,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
ATAXGAIT,ATAXGAIT conforms,ATAXGAIT must be 3,Q5a. ATAXGAIT (ataxic gait) must be an integer of 3,If GAITFIND < 3 or GAITFIND > 3,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
APMAGGAIT,APMAGGAIT conforms,APMAGGAIT must be 4,Q5a. APMAGGAIT (apractic magnetic gait) must be an integer of 4,If GAITFIND < 4 or GAITFIND > 4,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
HKPARKGAIT,HKPARKGAIT conforms,HKPARKGAIT must be 5,Q5a. HKPARKGAIT (hypokinetic/parkinsonian gait) must be an integer of 5,If GAITFIND < 5 or GAITFIND > 5,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
ANTLGAIT,ANTLGAIT conforms,ANTLGAIT must be 6,Q5a. ANTLGAIT (altalgic gait) must be an integer of 6,If GAITFIND < 6 or GAITFIND > 6,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
GAITOTHR,GAITOTHR conforms,GAITOTHR must be 7,Q5a. GAITOTHR (other) must be an integer of 7,If GAITFIND < 7 or GAITFIND > 7,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
GAITOTHRX,ANTLGAIT must be present if GAITFIND = 7 (GAITOTHR),If GAITFIND = 7 then GAITOTHRX cannot be blank,If Q5a. GAITFIND (Finding) = 7 (GAITOTHR) then Q5a7a. GAITOTHRX (Other - specify) cannot be blank,If GAITFIND = 7 and GAITOTHRX = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
GAITOTHRX,GAITOTHRX conforms,GAITOTHRX must be an alphabetic response,Q5a7a. GAITOTHRX (Other - specify) must be an alphabetic response,If GAITOTHR = blank or GAITOTHR does not include letters,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plausibility checks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,Error/alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables/concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
