Conformity/missingness checks,,,,,,,,,,,,,
Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
B8,I,DYSTARM,DYSTARM conditionally present,If PARKSIGN = 1 then DYSTARM cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3g. DYSTARM (limb dystonia arm) cannot be blank,If PARKSIGN = 1 and DYSTARM = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,DYSTARM,DYSTARM conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then DYSTARM must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3g. DYSTARM (limb dystonia arm) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and DYSTARM ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,DYSTARM,DYSTARM must conform,DYSTARM must be between 0-3 or = 8,Q3g. DYSTARM (limb dystonia arm) must be an integer between 0 and 3 or equal 8,If DYSTARM < 0 or DYSTARM >3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,DYSTLEG,DYSTLEG conditionally present,If PARKSIGN = 1 then DYSTLEG cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3h. DYSTLEG (limb dystonia leg) cannot be blank,If PARKSIGN = 1 and DYSTLEG = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,DYSTLEG,DYSTLEG conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then DYSTLEG must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3h. DYSTLEG (limb dystonia leg) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and DYSTLEG ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,DYSTLEG,DYSTLEG must conform,DYSTLEG must be between 0-3 or = 8 ,Q3h. DYSTLEG (limb dystonia leg) must be an integer between 0 and 3 or equal 8,If DYSTLEG < 0 or DYSTLEG > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,CHOREA,CHOREA conditionally present,If PARKSIGN = 1 then CHOREA cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3i. CHOREA (chorea) cannot be blank,If PARKSIGN = 1 and CHOREA = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,CHOREA,CHOREA conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then CHOREA must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3i. CHOREA (chorea) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and CHOREA ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,CHOREA,CHOREA must conform,CHOREA must be between 0-3 or = 8 ,Q3i. CHOREA must be an integer between 0 and 3 or equal 8,If CHOREA < 0 or CHOREA > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,AMPMOTOR,AMPMOTOR conditionally present,If PARKSIGN = 1 then AMPMOTOR cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3j. AMPMOTOR (decrement in amplitude) cannot be blank,If PARKSIGN = 1 and AMPMOTOR = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,AMPMOTOR,AMPMOTOR conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then AMPMOTOR must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3j. AMPMOTOR (decrementi in amplitude) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and AMPMOTOR ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,AMPMOTOR,AMPMOTOR must conform,AMPMOTOR must be between 0-1 or = 8,Q3j. AMPMOTOR (decrement in amplitude) must be an integer between 0 and 1 or equal 8,If AMPMOTOR < 0 or AMPMOTOR > 1 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,AXIALRIG,AXIALRIG conditionally present,If PARKSIGN =1 then AXIALRIG cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3k. AXIALRIG (axial rigidity) cannot be blank,If PARKSIGN = 1 and AXIALRIG = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,AXIALRIG,AXIALRIG conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then AXIALRIG must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3k. AXIALRIG (axial rigidity) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and AXIALRIG ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,AXIALRIG,AXIALRIG must conform,AXIALRIG must be between 0-1 or = 8 ,Q3k. AXIALRIG (axial rigidity) must be an integer between 0 and 1 or equal 8,If AXIALRIG < 0 or AXIALRIG > 1 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,POSTINST,POSTINST conditionally present,If PARKSIGN = 1 then POSTINST cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3l. POSTINST (postural instability) cannot be blank,If PARKSIGN = 1 and POSTINST = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B8,I,POSTINST,POSTINST conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then POSTINST must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3l. POSTINST (postural instability) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and POSTINST ? blank",n/a,n/a,Error,Yes,Missingness,Yes,
B8,I,POSTINST,POSTINST must conform,POSTINST must be between 0-1 or = 8 ,Q3l. POSTINST (postural instability) must be an integer between 0 and 1 or equal 8,If POSTINST < 0 or POSTINST > 1 and ? 8,n/a,n/a,Error,Yes,Conformity,Yes,
B8,I,MASKING,MASKING conditionally present,If PARKSIGN = 1 then MASKING cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3m. MASKING (facial masking) cannot be blank,If PARKSIGN = 1 and MASKING = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,MASKING,MASKING conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then MASKING must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3m. MASKING (facial masking) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and MASKING ? blank",n/a,n/a,Error ,Yes,Missingness,No,
B8,I,MASKING,MASKING must conform,MASKING must be between 0-1 or = 8,Q3m. MASKING (facial masking) must be an integer between 0 and 1 or equal 8,If MASKING < 0 or MASKING > 1 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,STOOPED,STOOPED conditionally present,If PARKSIGN = 1 then STOOPED cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3n. STOOPED (stooped posture) cannot be blank,If PARKSIGN = 1 and STOOPED = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,STOOPED,STOOPED conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then STOOPED must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3n. STOOPED (stooped posture) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and STOOPED ? blank",n/a,n/a,Error ,Yes,Missingness,No,
B8,I,STOOPED,STOOPED must conform,STOOPED must be between 0-1 or = 8,Q3n. STOOPED (stooped posture) must be an integer between 0 and 1 or equal 8,If STOOPED < 0 or STOOPED > 1 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,OTHERSIGN,OTHERSIGN conditionally present,If NORMNREXAM = 1 then OTHERSIGN cannot be blank,If Q2. NORMNREXAM (abnormal exam findings??) = 1 then Q4. OTHERSIGN (cortical or other signs) cannot be blank,If NORMNREXAM = 1 and OTHERSIGN = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,OTHERSIGN,OTHERSIGN conditionally blank,If NEUREXAM = 0 or NORMNREXAM = 0 then OTHERSIGN must be blank,If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 then  Q4. OTHERSIGN (cortical or other signs)) must be blank,If (NEUREXAM = 0 or NORMNREXAM = 0) and OTHERSIGN ? blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,OTHERSIGN,OTHERSIGN must conform,OTHERSIGN must be between 0-1 or = 8,Q4. OTHERSIGN (cortical or other signs) must be an integer between 0 and 1 or equal 8,If OTHERSIGN < 0 or OTHERSIGN > 1 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,LIMBAPRAX,LIMBAPRAX conditionally present,If OTHERSIGN = 1 then LIMBAPRAX cannot be blank,If Q4. OTHERSIGN (cortical or other signs) = 1 then Q4a. LIMBAPRAX (limb apraxia) cannot be blank,If OTHERSIGN = 1 and LIMBAPRAX = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,LIMBAPRAX,LIMBAPRAX conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSIGN = 0,8 then LIMBAPRAX must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or  Q4. OTHERSIGN (cortical or other signs) = 0 or 8 then Q4a. LIMBAPRAX (limb apraxia) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSGIN in (0,8)) and LIMBAPRAX ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,LIMBAPRAX,LIMBAPRAX must conform,LIMBAPRAX must be between 0-3 or = 8,Q4a. LIMBAPRAX (limb apraxia) must be an integer between 0 and 3 or equal 8,If LIMBAPRAX < 0 or LIMBAPRAX > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,UMNDIST,UMNDIST conditionally present,If OTHERSIGN = 1 then UMNDIST cannot be blank,If Q4. OTHERSIGN (cortical or other signs) = 1 then Q4b. UMNDIST (UMN distribution) cannot be blank,If OTHERSIGN = 1 and UMNDIST = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,UMNDIST,UMNDIST conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSIGN = 0,8 then UMNDIST must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or  Q4. OTHERSIGN (cortical or other signs) = 0 or 8 then Q4b. UMNDIST (UMN distribution) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSGIN in (0,8)) and UMNDIST ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,UMNDIST,UMNDIST must conform,UMNDIST must be between 0-3 or = 8,Q4b. UMNDIST (UMN distribution) must be an integer between 0 and 3 or equal 8,If UMNDIST < 0 or UMNDIST > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,LMNDIST,LMNDIST conditionally present,If OTHERSIGN = 1 then LMNDIST cannot be blank,If Q4. OTHERSIGN (cortical or other signs) = 1 then Q4c. LMNDIST (LMN distribution) cannot be blank,If OTHERSIGN = 1 and LMNDIST = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,LMNDIST,LMNDIST conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSIGN = 0,8 then LMNDIST must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or  Q4. OTHERSIGN (cortical or other signs) = 0 or 8 then Q4c. LMNDIST (LMN distribution) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSGIN in (0,8)) and LMNDIST ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,LMNDIST,LMNDIST must conform,LMNDIST must be between 0-3 or = 8,Q4c. LMNDIST (LMN distribution) must be an integer between 0 and 3 or equal 8,If LMNDIST < 0 or LMNDIST > 3 and ? 8,n/a,n/a,Error ,Yes,Conformity,No,
B8,I,VFIELDCUT,VFIELDCUT conditionally present,If OTHERSIGN = 1 then VFIELDCUT cannot be blank,If Q4. OTHERSIGN (cortical or other signs) = 1 then Q4d. VFIELDCUT (visual field cut) cannot be blank,If OTHERSIGN = 1 and VFIELDCUT = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,VFIELDCUT,VFIELDCUT conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSIGN = 0,8 then VFIELDCUT must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or  Q4. OTHERSIGN (cortical or other signs) = 0 or 8 then Q4d. VFIELDCUT (visual field cut) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSGIN in (0,8)) and VFIELDCUT ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,VFIELDCUT,VFIELDCUT must conform,VFIELDCUT must be between 0-3 or = 8,Q4d. VFIELDCUT (visual field cut) must be an integer between 0 and 3 or equal 8,If VFIELDCUT < 0 or VFIELDCUT > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,LIMBATAX,LIMBATAX conditionally present,If OTHERSIGN = 1 then LIMBATAX cannot be blank,If Q4. OTHERSIGN (cortical or other signs) = 1 then Q4e. LIMBATAX (limb ataxia) cannot be blank,If OTHERSIGN = 1 and LIMBATAX = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,LIMBATAX,LIMBATAX conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSIGN = 0,8 then LIMBATAX must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or  Q4. OTHERSIGN (cortical or other signs) = 0 or 8 then Q4e. LIMBATAX (limb ataxia) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSGIN in (0,8)) and LIMBATAX ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,LIMBATAX,LIMBATAX must conform,LIMBATAX must be between 0-3 or = 8,Q4e. LIMBATAX (limb ataxia) must be an integer between 0 and 3 or equal 8,If LIMBATAX < 0 or LIMBATAX > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,MYOCLON,MYOCLON conditionally present,If OTHERSIGN = 1 then MYOCLON cannot be blank,If Q4. OTHERSIGN (cortical or other signs) = 1 then Q4f. MYOCLON (myoclonus) cannot be blank,If OTHERSIGN = 1 and MYOCLON = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,MYOCLON,MYOCLON conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSIGN = 0,8 then MYOCLON must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or  Q4. OTHERSIGN (cortical or other signs) = 0 or 8 then Q4f. MYOCLON (myoclonus) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSGIN in (0,8)) and MYOCLON ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,MYOCLON,MYOCLON must conform,MYOCLON must be between 0-3 or = 8 ,Q4f. MYOCLON (myoclonus) must be an integer between 0 and 3 or equal 8,If MYOCLON < 0 or MYOCLON > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,UNISOMATO,UNISOMATO conditionally present,If OTHERSIGN = 1 then UNISOMATO cannot be blank,If Q4. OTHERSIGN (cortical or other signs) = 1 then Q4g. UNISOMATO (unilateral somatosensory loss) cannot be blank,If OTHERSIGN = 1 and UNISOMATO = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,UNISOMATO,UNISOMATO conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSIGN = 0,8 then UNISOMATO must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or  Q4. OTHERSIGN (cortical or other signs) = 0 or 8 then Q4g. UNISOMATO (unilateral somatosensory loss) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or OTHERSGIN in (0,8)) and UNISOMATO ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,UNISOMATO,UNISOMATO must conform,UNISOMATO must be between 0-1 or = 8,Q4g. UNISOMATO (unilateral somatosensory loss) must be an integer between 0 and 1 or equal 8,If UNISOMATO < 0 or UNISOMATO > 1 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,APHASIA,APHASIA conditionally present,If OTHERSIGN = 1 then APHASIA cannot be blank,If Q4. OTHERSIGN (cortical or other signs) = 1 then Q4h. APHASIA (aphasia) cannot be blank,If OTHERSIGN = 1 and APHASIA = blank,n/a,n/a,Error,Yes,Missingness,No,
