Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
A4a,IVP,TARGETAB1 TARGETTAU1 TARGETINF1 TARGETSYN1 TARGETOTH1,If TRTBIOMARK is 1 then at least one Primary Drug Target must be checked,"If TRTBIOMARK is 1 then at least one of the following variables must be 1: TARGETAB1, TARGETTAU1, TARGETINF1, TARGETSYN1, TARGETOTH1","If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then at least one of the following variables must be 1: Q2a1a. TARGETAB1, Q2a1b. TARGETTAU1, Q2a1c. TARGETINF1, Q2a1d. TARGETSYN1, Q2a1e. TARGETOTH1",If TRTBIOMARK=1 and TARGETAB1 is not  1 and TARGETTAU1 is not  1 and TARGETINF1 is not  1 and TARGETSYN1 is not  1 and TARGETOTH1 is not  1,,,Error,,Missingness,,
A4a,IVP,TRTTRIAL1,TRTTRIAL1 conditionally present,If TRTBIOMARK is 1 then TRTTRIAL1 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2a2a. TRTTRIAL1 (specific treatment/trial) cannot be blank,If TRTBIOMARK=1 and TRTTRIAL1=blank,,,Error,Yes,Missingness,,
A4a,IVP,TRTTRIAL1,TRTTRIAL1 conditionally blank,If TRTBIOMARK is 0 then TRTTRIAL1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a2a. TRTTRIAL1 (specific treatment/trial) must be blank,If TRTBIOMARK=0 and TRTTRIAL1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,NCTNUM1,NCTNUM1 conditionally blank,If TRTBIOMARK is 0 then NCTNUM1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a2b. NCTNUM1 (NCT identifier) must be blank,If TRTBIOMARK=0 and NCTNUM1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTMO1,STARTMO1 conditionally present,If TRTBIOMARK is 1 then STARTMO1 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2a3a. STARTMO1 (start date month 1) cannot be blank,If TRTBIOMARK=1 and STARTMO1=blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTMO1,STARTMO1 conditionally blank,If TRTBIOMARK is 0 then STARTMO1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a3a. STARTMO1 (start date month 1) must be blank,If TRTBIOMARK=0 and STARTMO1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTMO1,STARTMO1 conforms,STARTMO1 must be between 1 and 12 or blank,Q2a3a. STARTMO1 (start date month 1) must be between 1 and 12 or blank,If STARTMO1<1 or STARTMO1>12 and STARTMO1 is not  blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTYEAR1,STARTYEAR1 conditionally present,If TRTBIOMARK is 1 then STARTYEAR1 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2a3b. STARTYEAR1 (start date year 1) cannot be blank,If TRTBIOMARK=1 and STARTYEAR1=blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTYEAR1,STARTYEAR1 conditionally blank,If TRTBIOMARK is 0 then STARTYEAR1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a3b. STARTYEAR1 (start date year 1) must be blank,If TRTBIOMARK=0 and STARTYEAR1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTYEAR1,STARTYEAR1 conforms,STARTYEAR1 must be between 1990 and the present or blank,Q2a3b. STARTYEAR1 (start date year 1) must be between 1990 and the present year or blank,If STARTYEAR1<1990 or STARTYEAR1>present year and STARTYEAR1 is not  blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDMO1,ENDMO1 conditionally present,If TRTBIOMARK is 1 then ENDMO1 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2a4a. ENDMO1 (end date month 1) cannot be blank,If TRTBIOMARK=1 and ENDMO1=blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDMO1,ENDMO1 conditionally blank,If TRTBIOMARK is 0 then ENDMO1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a4a. ENDMO1 (end date month 1) must be blank,If TRTBIOMARK=0 and ENDMO1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDMO1,ENDMO1 conforms,ENDMO1 must be between 1 and 12 or blank,Q2a4a. ENDMO1 (end date month 1) must be between 1 and 12 or blank,If ENDMO1<1 or ENDMO1>12 and ENDMO1 is not  blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDYEAR1,ENDYEAR1 conditionally present,If TRTBIOMARK is 1 then ENDYEAR1 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2a4b. ENDYEAR1 (end date year 1) cannot be blank,If TRTBIOMARK=1 and STARTYEAR1=blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDYEAR1,ENDYEAR1 conditionally blank,If TRTBIOMARK is 0 then ENDYEAR1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a4b. ENDYEAR1 (end date year 1) must be blank,If TRTBIOMARK=0 and ENDYEAR1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDYEAR1,ENDYEAR1 conforms,ENDYEAR1 must be between 1990 and the present year or blank,Q2a4b. ENDYEAR1 (end date year 1) must be between 1990 and the present year or blank,If ENDYEAR1<1990 or ENDYEAR1>present year and ENDYEAR1 is not  blank,,,Error,Yes,Conformity,,
A4a,IVP,CARETRIAL1,CARETRIAL1 conditionally present,If TRTBIOMARK is 1 then CARETRIAL1 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2a5. CARETRIAL1 (treatment provided) cannot be blank,If TRTBIOMARK=1 and CARETRIAL1=blank,,,Error,Yes,Missingness,,
A4a,IVP,CARETRIAL1,CARETRIAL1 conditionally blank,If TRTBIOMARK is 0 then CARETRIAL1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a5. CARETRIAL1 (treatment provided) must be blank,If TRTBIOMARK=0 and CARETRIAL1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,CARETRIAL1,CARETRIAL1 conforms,CARETRIAL1 must be between 1 and 3 or blank,Q2a5. CARETRIAL1 (treatment provided) must be between 1 and 3 or blank,"If CARETRIAL1 not 1,2,3 and CARETRIAL is not  blank",,,Error,Yes,Conformity,,
A4a,IVP,TRIALGRP1,TRIALGRP1 conditionally present,If CARETRIAL1 is 2 or 3 then TRIALGRP1 cannot be blank,If Q2a5. CARETRIAL1 (treatment provided) is 2 or 3 then Q2a6. TRIALGRP1 (clinical trial group) cannot be blank,"If CARETRIAL1=2,3 and TRIALGRP1=blank",,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP1,TRIALGRP1 conditionally blank,If CARETRIAL1 is 1 or blank then TRIALGRP1 must be blank,If Q2a5. CARETRIAL1 (treatment provided) is 1 or blank then Q2a6. TRIALGRP1 (clinical trial group) must be blank,If CARETRIAL1=1 or CARETRIAL1=blank and TRIALGRP1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP1,TRIALGRP1 conditionally blank,If TRTBIOMARK is 0 then TRIALGRP1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a6. TRIALGRP1 (clinical trial group) must be blank,If TRTBIOMARK=0 and TRIALGRP1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP1,TRIALGRP1 conforms,"TRIALGRP1 must be 1, 2, or 9, or blank","Q2a6. TRIALGRP1 (clinical trial group) must be 1, 2 or 9, or blank","If TRIALGRP1 is not  1,2,9 and TRIALGRP1 is not  blank",,,Error,Yes,Conformity,,
A4a,IVP,TARGETAB2,TARGETAB2 conforms,TARGETAB2 must be blank or 1,Q2b1a. TARGETAB2 (primary amyloid beta 2) must be blank or 1,If TARGETAB2 is not  blank and TARGETAB2 is not  1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETTAU2,TARGETTAU2 conforms,TARGETTAU2 must be blank or 1,Q2b1b. TARGETTAU2 (primary tau 2) must be blank or 1,If TARGETTAU2 is not  blank and TARGETTAU2 is not  1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETINF2,TARGETINF2 conforms,TARGETINF2 must be blank or 1,Q2b1c. TARGETINF2 (primary inflammation 2) must be blank or 1,If TARGETINF2 is not  blank and TARGETINF2 is not  1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETSYN2,TARGETSYN2 conforms,TARGETSYN2 must be blank or 1,Q2b1d. TARGETSYN2 (primary synaptic plasticity 2) must be blank or 1,If TARGETSYN2 is not  blank and TARGETSYN2 is not  1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTH2,TARGETOTH2 conforms,TARGETOTH2 must be blank or 1,Q2b1e. TARGETOTH2 (primary other 2) must be blank or 1,If TARGETOTH2  is not  blank and TARGETOTH2  is not  1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTX2,TARGETOTX2 conditionally present,If TARGETOTH2 is 1 then TARGETOTX2 cannot be blank,If Q2b1e. TARGETOTH2 (primary other 2) is 1 then Q2b1e1. TARGETOTX2 (primary other specify 2) cannot be blank,If TARGETOTH2=1 and TARGETOTX2=blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETOTX2,TARGETOTX2 conditionally blank,If TARGETOTH2 is blank then TARGETOTX2 must be blank,If Q2b1e. TARGETOTH2 (primary other 2) is blank then Q2b1e1. TARGETOTX2 (primary other specify 2) must be blank,If TARGETOTH2=blank and TARGETOTX2  is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETAB2 TARGETTAU2 TARGETINF2 TARGETSYN2 TARGETOTH2,"TARGETAB2, TARGETTAU2, TARGETINF2, TARGETSYN2, TARGETOTH2 conditionally blank","If TARGETAB1, TARGETTAU1, TARGETINF1, TARGETSYN1, and TARGETOTH1 are blank then TARGETAB2, TARGETTAU2, TARGETINF2, TARGETSYN2, and TARGETOTH2 must be blank",If Q2a1a. TARGETAB1 (primary amyloid beta 1) and Q2a1b. TARGETTAU1 (primary tau 1) and Q2a1c. TARGETINF1 (primary inflammation 1) and Q2a1d. TARGETSYN1 (primary synaptic plasticity 1) and Q2a1e. TARGETOTH1 (primary other 1) are blank then Q2b1a. TARGETAB2 (primary amyloid beta 2) and Q2b1b. TARGETTAU2 (primary tau 2) and Q2b1c. TARGETINF2 (primary inflammation 2) and Q2b1d. TARGETSYN2 (primary synaptic plasticity 2) and Q2b1e. TARGETOTH2 (primary other 2) must be blank,If TARGETAB1=blank and TARGETTAU1=blank and TARGETINF1=blank and TARGETSYN1=blank and TARGETOTH1=blank and TARGETAB2  is not  blank and TARGETTAU2  is not  blank and TARGETINF2  is not  blank and TARGETSYN2  is not  blank and TARGETOTH2  is not  blank,,,Error,,Missingness,,
A4a,IVP,TRTTRIAL2,TRTTRIAL2 conditionally present,If TRTBIOMARK is 1 then TRTTRIAL2 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2b2a. TRTTRIAL2 (specific treatment/trial) cannot be blank,If TRTBIOMARK=1 and TRTTRIAL2=blank,,,Error,Yes,Missingness,,
A4a,IVP,TRTTRIAL2,TRTTRIAL2 conditionally blank,If TRTBIOMARK is 0 then TRTTRIAL2 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2b2a. TRTTRIAL2 (specific treatment/trial) must be blank,If TRTBIOMARK=0 and TRTTRIAL2 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,NCTNUM2,NCTNUM2 conditionally blank,If TRTBIOMARK is 0 then NCTNUM2 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2b2b. NCTNUM2 (NCT identifier) must be blank,If TRTBIOMARK=0 and NCTNUM2 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTMO2,STARTMO2 conforms,STARTMO2 must be between 1 and 12 or blank,Q2b3a. STARTMO2 (start date month 2) must be between 1 and 12 or blank,STARTMO2<1 or STARTMO2>12 and STARTMO2 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTMO2,STARTMO2 conditionally blank,If STARTMO1 is blank then STARTMO2 must be blank,If Q2a3a. STARTMO1 (start date month 1) is blank then Q2b3a. STARTMO2 (start date month 2) must be blank,If STARTMO1=blank and STARTMO2 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTYEAR2,STARTYEAR2 conforms,STARTYEAR2 must be between 1990 and the present year or blank,Q2b3b. STARTYEAR2 (start date year 2) must be between 1990 and the present year or blank,STARTYEAR2<1990 or STARTYEAR2>present year and STARTYEAR2 is not blank ,,,Error,Yes,Conformity,,
A4a,IVP,STARTYEAR2,STARTYEAR2 conditionally blank,If STARTYEAR1 is blank then STARTYEAR2 must be blank,If Q2a3b. STARTYEAR1 (start date year 1) is blank then Q2b3b. STARTYEAR2 (start date year 2) must be blank,If STARTYEAR1=blank and STARTYEAR2 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDMO2,ENDMO2 conforms,ENDMO2 must be between 1 and 12 or blank,Q2b4a. ENDMO2 (end date month 2) must be between 1 and 12 or blank,ENDMO2<1 or ENDMO2>12 and ENDMO2 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDMO2,ENDMO2 conditionally blank,If ENDMO1 is blank then ENDMO2 must be blank,If Q2a4a. ENDMO1 (end date month 1) is blank then Q2b4a. ENDMO2 (end date month 2) must be blank,If ENDMO1=blank and ENDMO2 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDYEAR2,ENDYEAR2 conforms,ENDYEAR2 must be between 1990 and the present year or blank,Q2b4b. ENDYEAR2 (end date year 2) must be between 1990 and the present year or blank,ENDYEAR2<1990 or ENDYEAR2>present year and ENDYEAR2 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDYEAR2,ENDYEAR2 conditionally blank,If ENDYEAR1 is blank then ENDYEAR2 must be blank,If Q2a4b. ENDYEAR1 (end date year 1) is blank then Q2b4b. ENDYEAR2 (end date year 2) must be blank,If ENDYEAR1=blank and ENDYEAR2 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,CARETRIAL2,CARETRIAL2 conforms,CARETRIAL2 must be between 1 and 3 or blank,Q2b5. CARETRIAL2 (treatment provided 2) must be between 1 and 3 or blank,CARETRIAL2<1 or CARETRIAL2>3 and CARETRIAL2 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,CARETRIAL2,CARETRIAL2 conditionally blank,If CARETRIAL1 is blank then CARETRIAL2 must be blank,If Q2a5. CARETRIAL1 (treatment provided 1) is blank then Q2b5. CARETRIAL2 (treatment provided 2) must be blank,If CARETRIAL1=blank and CARETRIAL2 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP2,TRIALGRP2 conditionally present,If CARETRIAL2 is 2 or 3 then TRIALGRP2 cannot be blank,If Q2b5. CARETRIAL2 (treatment provided 2) is 2 or 3 then Q2b6. TRIALGRP2 (clinical trial 2) cannot be blank,"If CARETRIAL2=2,3 and TRIALGRP2=blank",,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP2,TRIALGRP2 conditionally blank,If CARETRIAL2 is 1 or blank then TRIALGRP2 must be blank,If Q2b5. CARETRIAL2 (treatment provided 2) is 1 or blank then Q2b6. TRIALGRP2 (clinical trial 2) must be blank,If CARETRIAL=1 or CARETRIAL=blank and TRIALGRP2 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP2,TRIALGRP2 conforms,"TRIALGRP2 must be 1, 2, 9 or blank","Q2b6. TRIALGRP2 (clinical trial 2) must be 1, 2, 9 or blank","If TRIALGRP2 is not 1,2,9 and TRIALGRP2 is not blank",,,Error,Yes,Conformity,,
A4a,IVP,TARGETAB3,TARGETAB3 conforms,TARGETAB3 must be blank or 1,Q2c1a. TARGETAB3 (primary amyloid beta 3) must be blank or 1,If TARGETAB3 is not blank and TARGETAB3 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETTAU3,TARGETTAU3 conforms,TARGETTAU3 must be blank or 1,Q2c1b. TARGETTAU3 (primary tau 3) must be blank or 1,If TARGETTAU3 is not blank and TARGETTAU3 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETINF3,TARGETINF3 conforms,TARGETINF3 must be blank or 1,Q2c1c. TARGETINF3 (primary inflammation 3) must be blank or 1,If TARGETINF3 is not blank and TARGETINF3 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETSYN3,TARGETSYN3 conforms,TARGETSYN3 must be blank or 1,Q2c1d. TARGETSYN3 (primary synaptic plasticity 3) must be blank or 1,If TARGETSYN3 is not blank andTARGETSYN3 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTH3,TARGETOTH3 conforms,TARGETOTH3 must be blank or 1,Q2c1e. TARGETOTH3 (primary other 3) must be blank or 1,If TARGETOTH3 is not blank and TARGETOTH3 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTX3,TARGETOTX3 conditionally present,If TARGETOTH3 is 1 then TARGETOTX3 cannot be blank,If Q2c1e. TARGETOTH3 (primary other 3) is 1 then Q2c1e1. TARGETOTX3 (primary other specify 3) cannot be blank,If TARGETOTH3=1 and TARGETOTX3=blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETOTX3,TARGETOTX3 conditionally blank,If TARGETOTH3 is blank then TARGETOTX3 must be blank,If Q2c1e. TARGETOTH3 (primary other 3) is blank then Q2c1e1. TARGETOTX3 (primary other specify 3) must be blank,If TARGETOTH3=blank and TARGETOTX3 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETAB3 TARGETTAU3 TARGETINF3 TARGETSYN3 TARGETOTH3,"TARGETAB3, TARGETTAU3, TARGETINF3, TARGETSYN3, TARGETOTH3 conditionally blank","If TARGETAB2, TARGETTAU2, TARGETINF2, TARGETSYN2, and TARGETOTH2 are blank then TARGETAB3, TARGETTAU3, TARGETINF3, TARGETSYN3, and TARGETOTH3 must be blank",If Q2b1a. TARGETAB2 (primary amyloid beta 2) and Q2b1b. TARGETTAU2 (primary tau 2) and Q2b1c. TARGETINF2 (primary inflammation 2) and Q2b1d. TARGETSYN2 (primary synaptic plasticity 2) and Q2b1e. TARGETOTH2 (primary other 2) are blank then Q2c1a. TARGETAB3 (primary amyloid beta 3) and Q2c1b. TARGETTAU3 (primary tau 3) and Q2c1c. TARGETINF3 (primary inflammation 3) and Q2c1d. TARGETSYN3 (primary synaptic plasticity 3) and Q2c1e. TARGETOTH3 (primary other 3) must be blank,If TARGETAB2=blank and TARGETTAU2=blank and TARGETINF2=blank and TARGETSYN2=blank and TARGETOTH2=blank and TARGETAB3 is not blank and TARGETTAU3 is not blank and TARGETINF3 is not blank and TARGETSYN3 is not blank and TARGETOTH3 is not blank,,,Error,,Missingness,,
A4a,IVP,TRTTRIAL3,TRTTRIAL3 conditionally present,If TRTBIOMARK is 1 then TRTTRIAL3 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2c2a. TRTTRIAL3 (specific treatment/trial) cannot be blank,If TRTBIOMARK=1 and TRTTRIAL3=blank,,,Error,Yes,Missingness,,
A4a,IVP,TRTTRIAL3,TRTTRIAL3 conditionally blank,If TRTBIOMARK is 0 then TRTTRIAL3 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2c2a. TRTTRIAL3 (specific treatment/trial) must be blank,If TRTBIOMARK=0 and TRTTRIAL3 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,NCTNUM3,NCTNUM3 conditionally blank,If TRTBIOMARK is 0 then NCTNUM3 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2c2b. NCTNUM3 (NCT identifier) must be blank,If TRTBIOMARK=0 and NCTNUM3 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTMO3,STARTMO3 conforms,STARTMO3 must be between 1 and 12 or blank,Q2c3a. STARTMO3 (start date month 3) must be between 1 and 12 or blank,STARTMO3<1 or STARTMO3>12 and STARTMO3 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTMO3,STARTMO3 conditionally blank,If STARTMO2 is blank then STARTMO3 must be blank,If Q2b3a. STARTMO2 (start date month 2) is blank then Q2c3a. STARTMO3 (start date month 3) must be blank,If STARTMO2=blank and STARTMO3 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTYEAR3,STARTYEAR3 conforms,STARTYEAR3 must be between 1990 and the present year or blank,Q2c3b. STARTYEAR3 (start date year 3) must be between 1990 and the present year or blank,STARTYEAR3<1990 or STARTYEAR3>present year and STARTYEAR3 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTYEAR3,STARTYEAR3 conditionally blank,If STARTYEAR2 is blank then STARTYEAR3 must be blank,If Q2b3b. STARTYEAR2 (start date year 2) is blank then Q2c3b. STARTYEAR3 (start date year 3) must be blank,If STARTYEAR2=blank and STARTYEAR3 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDMO3,ENDMO3 conforms,ENDMO3 must be between 1 and 12 or blank,Q2c4a. ENDMO3 (end date month 3) must be between 1 and 12 or blank,ENDMO3<1 or ENDMO3>12 and ENDMO3 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDMO3,ENDMO3 conditionally blank,If ENDMO2 is blank then ENDMO3 must be blank,If Q2b4a. ENDMO2 (end date month 2) is blank then Q2c4a. ENDMO3 (end date month 3) must be blank,If ENDMO2=blank and ENDMO3 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDYEAR3,ENDYEAR3 conforms,ENDYEAR3 must be between 1990 and the present year or blank,Q2c4b. ENDYEAR3 (end date year 3) must be between 1990 and the present year or blank,ENDYEAR3<1990 or ENDYEAR3>present year and ENDYEAR3 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDYEAR3,ENDYEAR3 conditionally blank,If ENDYEAR2 is blank then ENDYEAR3 must be blank,If Q2b4b. ENDYEAR2 (end date year 2) is blank then Q2c4b. ENDYEAR3 (end date year 3) must be blank,If ENDYEAR2=blank and ENDYEAR3 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,CARETRIAL3,CARETRIAL3 conforms,CARETRIAL3 must be between 1 and 3 or blank,Q2c5. CARETRIAL3 (treatment provided 3) must be between 1 and 3 or blank,CARETRIAL3<1 or CARETRIAL3>3 and CARETRIAL3 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,CARETRIAL3,CARETRIAL3 conditionally blank,If CARETRIAL2 is blank then CARETRIAL3 must be blank,If Q2b5. CARETRIAL2 (treatment provided 2) is blank then Q2c5. CARETRIAL3 (treatment provided 3) must be blank,If CARETRIAL2=blank and CARETRIAL3 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP3,TRIALGRP3 conditionally present,If CARETRIAL3 is 2 or 3 then TRIALGRP3 cannot be blank,If Q2c5. CARETRIAL3 (treatment provided 3) is 2 or 3 then Q2c6. TRIALGRP3 (clinical trial 3) cannot be blank,"If CARETRIAL3=2,3 and TRIALGRP3=blank",,,Error,Yes,Missingness,,
