form_name,packet,question,var_name,missingness,conformity,resonse_labels,data_type,branching_logic
a4a,I,2d4a. End date (month) (4),ENDMO4,Conditional (e.g. skip pattern),"Integers 1-12, 88","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|88, 88 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2d4b. End date (year) (4),ENDYEAR4,Conditional (e.g. skip pattern),"1990-present, 8888","1990 to current year, 8888 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2d5. How was the treatment provided? (4),CARETRIAL4,Conditional (e.g. skip pattern),Integers 1-3,"1, Clinical care|2, Clinical trial|3, Clinical care and clinical trial",Integer,[trtbiomark]='1'
a4a,I,"2d6. If clinical trial, in which group was the participant? (4)",TRIALGRP4,Conditional (e.g. skip pattern),"Integers 1-2, 9","1, Active treatment|2, Placebo|9, Unknown",Integer,[trtbiomark]='1'
a4a,I,2e1a. Primary Drug Target - Amyloid Beta (5),TARGETAB5,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2e1b. Primary Drug Target - Tau (5),TARGETTAU5,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2e1c. Primary Drug Target - Inflammation (5),TARGETINF5,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2e1d. Primary Drug Target - Synaptic plasticity/neuroprotection (5),TARGETSYN5,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2e1e. Primary Drug Target - Other target(s) (5),TARGETOTH5,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,"2e1e1. Primary Drug Target - Other target(s), specify (5)",TARGETOTX5,Conditional (e.g. skip pattern),text,,String,[targetoth5]='1'
a4a,I,2e2a. Specific treatment and/or trial (5),TRTTRIAL5,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2e2b. Specific treatment and/or trial - NCT identifier (5),NCTNUM5,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2e3a. Start date (month) (5),STARTMO5,Conditional (e.g. skip pattern),Integers 1-12,"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12",Integer,[trtbiomark]='1'
a4a,I,2e3b. Start date (year) (5),STARTYEAR5,Conditional (e.g. skip pattern),1990-present,1990 to current year,Integer,[trtbiomark]='1'
a4a,I,2e4a. End date (month) (5),ENDMO5,Conditional (e.g. skip pattern),"Integers 1-12, 88","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|88, 88 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2e4b. End date (year) (5),ENDYEAR5,Conditional (e.g. skip pattern),"1990-present, 8888","1990 to current year, 8888 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2e5. How was the treatment provided? (5),CARETRIAL5,Conditional (e.g. skip pattern),Integers 1-3,"1, Clinical care|2, Clinical trial|3, Clinical care and clinical trial",Integer,[trtbiomark]='1'
a4a,I,"2e6. If clinical trial, in which group was the participant? (5)",TRIALGRP5,Conditional (e.g. skip pattern),"Integers 1-2, 9","1, Active treatment|2, Placebo|9, Unknown",Integer,[trtbiomark]='1'
a4a,I,2f1a. Primary Drug Target - Amyloid Beta (6),TARGETAB6,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2f1b. Primary Drug Target - Tau (6),TARGETTAU6,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2f1c. Primary Drug Target - Inflammation (6),TARGETINF6,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2f1d. Primary Drug Target - Synaptic plasticity/neuroprotection (6),TARGETSYN6,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2f1e. Primary Drug Target - Other target(s) (6),TARGETOTH6,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,"2f1e1. Primary Drug Target - Other target(s), specify (6)",TARGETOTX6,Conditional (e.g. skip pattern),text,,String,[targetoth6]='1'
a4a,I,2f2a. Specific treatment and/or trial (6),TRTTRIAL6,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2f2b. Specific treatment and/or trial - NCT identifier (6),NCTNUM6,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2f3a. Start date (month) (6),STARTMO6,Conditional (e.g. skip pattern),Integers 1-12,"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12",Integer,[trtbiomark]='1'
a4a,I,2f3b. Start date (year) (6),STARTYEAR6,Conditional (e.g. skip pattern),1990-present,1990 to current year,Integer,[trtbiomark]='1'
a4a,I,2f4a. End date (month) (6),ENDMO6,Conditional (e.g. skip pattern),"Integers 1-12, 88","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|88, 88 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2f4b. End date (year) (6),ENDYEAR6,Conditional (e.g. skip pattern),"1990-present, 8888","1990 to current year, 8888 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2f5. How was the treatment provided? (6),CARETRIAL6,Conditional (e.g. skip pattern),Integers 1-3,"1, Clinical care|2, Clinical trial|3, Clinical care and clinical trial",Integer,[trtbiomark]='1'
a4a,I,"2f6. If clinical trial, in which group was the participant? (6)",TRIALGRP6,Conditional (e.g. skip pattern),"Integers 1-2, 9","1, Active treatment|2, Placebo|9, Unknown",Integer,[trtbiomark]='1'
a4a,I,2g1a. Primary Drug Target - Amyloid Beta (7),TARGETAB7,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2g1b. Primary Drug Target - Tau (7),TARGETTAU7,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2g1c. Primary Drug Target - Inflammation (7),TARGETINF7,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2g1d. Primary Drug Target - Synaptic plasticity/neuroprotection (7),TARGETSYN7,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2g1e. Primary Drug Target - Other target(s) (7),TARGETOTH7,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,"2g1e1. Primary Drug Target - Other target(s), specify (7)",TARGETOTX7,Conditional (e.g. skip pattern),text,,String,[targetoth7]='1'
a4a,I,2g2a. Specific treatment and/or trial (7),TRTTRIAL7,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2g2b. Specific treatment and/or trial - NCT identifier (7),NCTNUM7,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2g3a. Start date (month) (7),STARTMO7,Conditional (e.g. skip pattern),Integers 1-12,"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12",Integer,[trtbiomark]='1'
a4a,I,2g3b. Start date (year) (7),STARTYEAR7,Conditional (e.g. skip pattern),1990-present,1990 to current year,Integer,[trtbiomark]='1'
a4a,I,2g4a. End date (month) (7),ENDMO7,Conditional (e.g. skip pattern),"Integers 1-12, 88","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|88, 88 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2g4b. End date (year) (7),ENDYEAR7,Conditional (e.g. skip pattern),"1990-present, 8888","1990 to current year, 8888 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2g5. How was the treatment provided? (7),CARETRIAL7,Conditional (e.g. skip pattern),Integers 1-3,"1, Clinical care|2, Clinical trial|3, Clinical care and clinical trial",Integer,[trtbiomark]='1'
a4a,I,"2g6. If clinical trial, in which group was the participant? (7)",TRIALGRP7,Conditional (e.g. skip pattern),"Integers 1-2, 9","1, Active treatment|2, Placebo|9, Unknown",Integer,[trtbiomark]='1'
a4a,I,2h1a. Primary Drug Target - Amyloid Beta (8),TARGETAB8,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2h1b. Primary Drug Target - Tau (8),TARGETTAU8,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2h1c. Primary Drug Target - Inflammation (8),TARGETINF8,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2h1d. Primary Drug Target - Synaptic plasticity/neuroprotection (8),TARGETSYN8,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2h1e. Primary Drug Target - Other target(s) (8),TARGETOTH8,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,"2h1e1. Primary Drug Target - Other target(s), specify (8)",TARGETOTX8,Conditional (e.g. skip pattern),text,,String,[targetoth8]='1'
a4a,I,2h2a. Specific treatment and/or trial (8),TRTTRIAL8,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2h2b. Specific treatment and/or trial - NCT identifier (8),NCTNUM8,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2h3a. Start date (month) (8),STARTMO8,Conditional (e.g. skip pattern),Integers 1-12,"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12",Integer,[trtbiomark]='1'
a4a,I,2h3b. Start date (year) (8),STARTYEAR8,Conditional (e.g. skip pattern),1990-present,1990 to current year,Integer,[trtbiomark]='1'
a4a,I,2h4a. End date (month) (8),ENDMO8,Conditional (e.g. skip pattern),"Integers 1-12, 88","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|88, 88 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2h4b. End date (year) (8),ENDYEAR8,Conditional (e.g. skip pattern),"1990-present, 8888","1990 to current year, 8888 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2h5. How was the treatment provided? (8),CARETRIAL8,Conditional (e.g. skip pattern),Integers 1-3,"1, Clinical care|2, Clinical trial|3, Clinical care and clinical trial",Integer,[trtbiomark]='1'
a4a,I,"2h6. If clinical trial, in which group was the participant? (8)",TRIALGRP8,Conditional (e.g. skip pattern),"Integers 1-2, 9","1, Active treatment|2, Placebo|9, Unknown",Integer,[trtbiomark]='1'
a4a,I,"3. Has the participant ever experienced amyloid related imaging abnormalities-edema (ARIA-E), amyloid related imaging abnormalities-hemorrhage (ARIA-H), or other major adverse events associated with treatments expected to modify ADRD biomarkers?",ADVEVENT,Conditional (e.g. skip pattern),"Integers 0-1, 9","0, No|1, Yes|9, Unknown",Integer,[trtbiomark]='1'
a4a,I,3a1. Adverse events to modify ADRD biomarkers - Amyloid related imaging abnormalities-edeme (ARIA-E),ARIAE,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,3a2. Adverse events to modify ADRD biomarkers - Amyloid related imaging abnormalities-hemorrhage (ARIA-H),ARIAH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,3a3. Adverse events to modify ADRD biomarkers - Other,ADVERSEOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,"3a3a. Adverse events to modify ADRD biomarkers - Other, specify",ADVERSEOTX,Conditional (e.g. skip pattern),text,,String,[adverseoth]=1
