form_name,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
np,10d1. Other TDP-43 antibody - specify,NPTDPANX,Conditional,Any text,,String,"Blank if #10d, NPTDPAN, ne 7 (Other)"
np,10e1. Histochemical stains - modified Bielschowsky,NPHISMB,Always,Integers 0-1,"0, No | 1, Yes",Integer,
np,10e2. Histochemical stains - Gallyas,NPHISG,Always,Integers 0-1,"0, No | 1, Yes",Integer,
np,10e3. Histochemical stains - other silver stain,NPHISSS,Always,Integers 0-1,"0, No | 1, Yes",Integer,
np,10e4. Histochemical stains - thioflavin,NPHIST,Always,Integers 0-1,"0, No | 1, Yes",Integer,
np,10e5. Histochemical stains - other,NPHISO,Always,Integers 0-1,"0, No | 1, Yes",Integer,
np,10ex. Histochemical stains - other specify,NPHISOX,Conditional,Any text,,String,"Blank if #10e5, NPHISO, ne 1 (Yes)"
np,11a. Thal phase for amyloid plaques (A Score),NPTHAL,Always,"Integers 0-5, 8, 9","0, Phase 0 (A0) | 1, Phase 1 (A1) | 2, Phase 2 (A1) | 3, Phase 3 (A2) | 4, Phase 4 (A3) | 5, Phase 5 (A3) | 8, Not assessed | 9, Missing/unknown",Integer,
np,11b. Braak stage for neurofibrillary degeneration (B score),NPBRAAK,Always,Integers 0-9,"0, Stage 0: AD-type neurofibrillary degeneration not present (B0) | 1, Stage I (B1) | 2, Stage II (B1) | 3, Stage III (B2) | 4, Stage IV (B2) | 5, Stage V (B3) | 6, Stage VI (B3) | 7, The presence of a tauopathy (other than aging/AD) precludes Braak staging | 8, Not assessed | 9, Missing/unknown",Integer,
np,11c. CERAD score for density of neocortical neuritic plaques (C score),NPNEUR,Always,"Integers 0-3, 8, 9","0, No neuritic plaques (C0) | 1, Sparse neuritic plaques (C1) | 2, Moderate neuritic plaques (C2) | 3, Frequent neuritic plaques (C3) | 8, Not assessed | 9, Missing/unknown",Integer,
np,11d. NIA-AA ADNC,NPADNC,Always,"Integers 0-3, 8, 9","0, Not AD | 1, Low ADNC | 2, Intermediate ADNC | 3, High ADNC | 8, Not assessed | 9, Missing/unknown",Integer,
np,11e1. CERAD semi-quantitative score for diffuse plaques,NPDIFF,Always,"Integers 0-3, 8, 9","0, No diffuse plaques | 1, Sparse diffuse plaques | 2, Moderate diffuse plaques | 3, Frequent diffuse plaques | 8, Not assessed | 9, Missing/unknown",Integer,
np,11e2. Cerebral amyloid angiopathy,NPAMY,Always,"Integers 0-3, 8, 9","0, None | 1, Mild | 2, Moderate | 3, Severe | 8, Not assessed | 9, Missing/unknown",Integer,
np,"12a. Old infarcts observed grossly, including lacunes",NPINF,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,121a. Number of infarcts - cerebral cortex,NPINF1A,Conditional,"Integers 0-88, 99","0 – 87 | 88, N/A | 99, Unknown",Integer,"Blank if #12a, NPINF, ne 1 (Yes)"
np,121b. Largest Infarct - cerebral cortex,NPINF1B,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #121a, NPINF1A, = 0, 88, or 99"
np,121d. Second largest infarct - cerebral cortex,NPINF1D,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #121a, NPINF1A, < 2, or = 88 or 99"
np,121f. Third largest infarct - cerebral cortex,NPINF1F,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #121a, NPINF1A, < 3, or = 88 or 99"
np,122a. Number of infarcts - subcortical cerebral white matter and periventricular white matter,NPINF2A,Conditional,"Integers 0-88, 99","0 – 87 | 88, N/A | 99, Unknown",Integer,"Blank if #12a, NPINF, ne 1 (Yes)"
np,122b. Largest infarct - white matter,NPINF2B,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #122a, NPINF2A, = 0, 88, or 99"
np,122d. Second largest infarct - white matter,NPINF2D,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #122a, NPINF2A, < 2, or = 88 or 99"
np,122f. Third largest infarct - white matter,NPINF2F,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #122a, NPINF2A, < 3, or = 88 or 99"
np,123a. Number of infarcts - deep cerebral gray matter or internal capsule,NPINF3A,Conditional,"Integers 0-88, 99","0 – 87 | 88, N/A | 99, Unknown",Integer,"Blank if #12a, NPINF, ne 1 (Yes)"
np,123b. Largest infarct - deep cerebral gray matter or internal capsule,NPINF3B,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #123a, NPINF3A, = 0, 88, or 99"
np,123d. Second largest infarct - deep cerebral gray matter or internal capsule,NPINF3D,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #123a, NPINF3A, < 2, or = 88 or 99"
np,123f. Third largest infarct - deep cerebral gray matter or internal capsule,NPINF3F,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #123a, NPINF3A, < 3, or = 88 or 99"
np,124a. Number of infarcts - brainstem or cerebellum,NPINF4A,Conditional,"Integers 0-88, 99","0 – 87 | 88, N/A | 99, Unknown",Integer,"Blank if #12a, NPINF, ne 1 (Yes)"
np,124b. Largest Infarct - brainstem or cerebellum,NPINF4B,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #124a, NPINF4A, = 0, 88, or 99"
np,124d. Second largest infarct - brainstem or cerebellum,NPINF4D,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #124a, NPINF4A, < 2, or = 88 or 99"
np,124f. Third largest infarct - brainstem or cerebellum,NPINF4F,Conditional,"0.0– 20.0, 88.8,  99.9","0.0– 20.0 | 88.8, N/A | 99.9, Unknown/missing",Numeric,"Blank if #12a, NPINF, ne 1 (Yes) or #124a, NPINF4A, < 3, or = 88 or 99"
np,12b. Were single or multiple old hemorrhages observed grossly?,NPHEMO,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,12b1. Subdural or epidural hemorrhage,NPHEMO1,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12b, NPHEMO, ne 1 (Yes)"
np,12b2. Primary parenchymal hemorrhage,NPHEMO2,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12b, NPHEMO, ne 1 (Yes"
np,"12b3. Secondary parenchymal hemorrhage (e.g., tumor, vascular malformation)",NPHEMO3,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12b, NPHEMO, ne 1 (Yes)"
np,"12c. Old microinfarcts, not observed grossly",NPOLD,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,12c1. Number of old microinfarcts - cerebral cortex,NPOLD1,Conditional,"Integers 0-3, 8, 9","0, 0 | 1, 1 | 2, 2 | 3, 3 | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12c, NPOLD, ne 1 (Yes)"
np,12c2. Number of old microinfarcts - subcortical and periventricular white matter,NPOLD2,Conditional,"Integers 0-3, 8, 9","0, 0 | 1, 1 | 2, 2 | 3, 3 | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12c, NPOLD, ne 1 (Yes)"
np,12c3. Number of old microinfarcts - subcortical gray matter,NPOLD3,Conditional,"Integers 0-3, 8, 9","0, 0 | 1, 1 | 2, 2 | 3, 3 | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12c, NPOLD, ne 1 (Yes)"
np,12c4. Number of old microinfarcts - brainstem and cerebellum,NPOLD4,Conditional,"Integers 0-3, 8, 9","0, 0 | 1, 1 | 2, 2 | 3, 3 | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12c, NPOLD, ne 1 (Yes)"
np,12d. Old cerebral microbleeds,NPOLDD,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,12d1. Number of microbleeds - cerebral cortex,NPOLDD1,Conditional,"Integers 0-3, 8, 9","0, 0 | 1, 1 | 2, 2 | 3, 3 | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12d, NPOLDD, ne 1 (Yes)"
np,12d2. Number of microbleeds - subcortical and periventricular white matter,NPOLDD2,Conditional,"Integers 0-3, 8, 9","0, 0 | 1, 1 | 2, 2 | 3, 3 | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12d, NPOLDD, ne 1 (Yes)"
np,12d3. Number of microbleeds - subcortical gray matter,NPOLDD3,Conditional,"Integers 0-3, 8, 9","0, 0 | 1, 1 | 2, 2 | 3, 3 | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12d, NPOLDD, ne 1 (Yes)"
np,12d4. Number of microbleeds - brainstem and cerebellum,NPOLDD4,Conditional,"Integers 0-3, 8, 9","0, 0 | 1, 1 | 2, 2 | 3, 3 | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12d, NPOLDD, ne 1 (Yes)"
np,12e. Arteriolosclerosis,NPARTER,Always,"Integers 0-3, 8, 9","0, None | 1, Mild | 2, Moderate | 3, Severe | 8, Not assessed | 9, Missing/unknown",Integer,
np,12f. White matter rarefaction,NPWMR,Always,"Integers 0-3, 8, 9","0, None | 1, Mild | 2, Moderate | 3, Severe | 8, Not assessed | 9, Missing/unknown",Integer,
np,12g. Other pathologic changes related to ischemic or vascular disease not previously specified,NPPATH,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,12g1. Laminar necrosis,NPNEC,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12g2. Acute neuronal necrosis,NPPATH2,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12g3. Acute/subacute gross infarcts,NPPATH3,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12g4. Acute/subacute microinfarcts,NPPATH4,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12g5. Acute/subacute gross hemorrhage,NPPATH5,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12g6. Acute/subacute microhemorrhage,NPPATH6,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12g7. Vascular malformation of any type,NPPATH7,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12g8. Aneurysm of any type,NPPATH8,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12g9. Vasculitis of any type,NPPATH9,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12g10. CADASIL,NPPATH10,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12g11. Mineralization of blood vessels,NPPATH11,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12g12. Other ischemic or vascular pathology,NPPATHO,Conditional,Integers 0-1,"0, No | 1, Yes",Integer,"Blank if #12g, NPPATH, ne 1 (Yes)"
np,12gx. Other ischemic or vascular pathology specify,NPPATHOX,Conditional,Any text,,String,"Blank if #12g, NPPATH, ne 1 (Yes) or #1212, NPPATHO, ne 1 (Yes)"
np,13. Is there evidence of Lewy body pathology,NPLBOD,Always,"Integers 0-5, 8, 9",0 = No | 1 = Brainstem predominant | 2 = Limbic (transitional) | 3 = Neocortical (diffuse) | 4 = Amygdala predominant | 5 = Olfactory bulb | 8 = Not assessed | 9 = Missing/unknown,Integer,
np,14. Neuron loss in the substantia nigra,NPNLOSS,Always,"Integers 0-3, 8, 9","0, None | 1, Mild | 2, Moderate | 3, Severe | 8, Not assessed | 9, Missing/unknown",Integer,
np,15. Hippocampal sclerosis (CA1 and/or subiculum),NPHIPSCL,Always,"Integers 0-3, 8, 9","0, None | 1, Unilateral | 2, Bilateral | 3, Present but laterality not assessed | 8, Not assessed | 9, Missing/unknown",Integer,
np,16a. Distribution of TDP-43 immunoreactive inclusions - spinal cord,NPTDPA,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,16b. Distribution of TDP-43 immunoreactive inclusions - amygdala,NPTDPB,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,16c. Distribution of TDP-43 immunoreactive inclusions - hippocampus,NPTDPC,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,16d. Distribution of TDP-43 immunoreactive inclusions - entorhinal/inferior temporal cortex,NPTDPD,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,16e. Distribution of TDP-43 immunoreactive inclusions - neocortex,NPTDPE,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,17a. FTLD with tau pathology (FTLD-tau) or other tauopathy,NPFTDTAU,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,17b1. FTLD-tau subtype - FTLD-tau Pick's (PiD),NPPICK,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17a, NPFTDTAU, ne 1 (Yes)"
np,17b2. FTLD-tau subtype - other 3R tauopathy (includes MAPT mutation tauopathy),NPFTDT2,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17a, NPFTDTAU, ne 1 (Yes)"
np,17b3. FTLD-tau subtype - FTLD-tau corticobasal degeneration (CBD),NPCORT,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17a, NPFTDTAU, ne 1 (Yes)"
np,17b4. FTLD-tau subtype - FTLD-tau progressive supranuclear palsy (PSP),NPPROG,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17a, NPFTDTAU, ne 1 (Yes)"
np,17b5. FTLD-tau subtype - argyrophilic grains,NPFTDT5,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17a, NPFTDTAU, ne 1 (Yes)"
np,"17b6. FTLD-tau subtype - other 4R tauopathy (includes sporadic multiple systems tauopathy, globular glial tauopathy, MAPT mutation tauopathy)",NPFTDT6,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17a, NPFTDTAU, ne 1 (Yes)"
np,17b7. FTLD-tau subtype - chronic traumatic encephalopathy,NPFTDT7,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17a, NPFTDTAU, ne 1 (Yes)"
np,17b8. FTLD-tau subtype - amyotrophic lateral sclerosis (ALS)/Parkinsonism-dementia,NPFTDT8,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17a, NPFTDTAU, ne 1 (Yes)"
np,17b9. FTLD-tau subtype - tangle dominant disease,NPFTDT9,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17a, NPFTDTAU, ne 1 (Yes)"
np,"17b10. FTLD-tau subtype - other 3R + 4R tauopathy (includes unclassifiable, focal, glial only, MAPT mutation tauopathy, NOS)",NPFTDT10,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17a, NPFTDTAU, ne 1 (Yes)"
np,17c. FTLD with TDP-43 pathology (FTLD-TDP),NPFTDTDP,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,17d. ALS/motor neuron disease (MND) present,NPALSMND,Always,"Integers 0-5, 8, 9","0 = No | 1 = Yes, with TDP-43 inclusions in motor neurons | 2 = Yes, with FUS inclusions in motor neurons | 3 = Yes, with SOD1 inclusions in motor neurons | 4 = Yes, with other inclusions | 5 = Yes, with no specific inclusions | 8 = Not assessed | 9 = Missing/unknown",Integer,
np,17e. Other FTLD,NPOFTD,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,17f1. Other FTLD subtype - atypical FTLD-U (aFTLD-U),NPOFTD1,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17e, NPOFTD, ne 1 (Yes)"
np,17f2. Other FTLD subtype - NIFID (neuronal intermediate filament inclusions disease),NPOFTD2,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17e, NPOFTD, ne 1 (Yes)"
np,17f3. Other FTLD subtype - BIBD (basophilic inclusion body disease),NPOFTD3,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17e, NPOFTD, ne 1 (Yes)"
np,"17f4. Other FTLD subtype - FTLD-UPS (ubiquitin-proteasome system [ubiquitin or p62 positive, tau/TDP-43/FUS negative inclusions])",NPOFTD4,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17e, NPOFTD, ne 1 (Yes)"
np,"17f5. Other FTLD subtype - FTLD-NOS (includes dementia lacking distinctive histology (DLDH) and FTLD with no inclusions (FTLD-NI) detected by tau, TDP-43, or ubiquitin/p62 IHC)",NPOFTD5,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #17e, NPOFTD, ne 1 (Yes)"
np,18a. Is ARTAG pathology present?,NPARTAG,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
np,18b. Overall severity of ARTAG pathology,NPATGSEV,Conditional,"Integers 1-3, 8, 9","1, Mild | 2, Moderate | 3, Severe | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes)"
np,18c. Is ARTAG pathology present in the AMYGDALA?,NPATGAMY,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes)"
np,18d1. Localization of ARTAG pathology in the amygdala: Subpial,NPATGAM1,Conditional,"Integers 0-2, 8, 9","0, None | 1, Focal | 2, Widespread | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes) or #18c, NPATGAMY ne 1 (Yes)"
np,18d2. Localization of ARTAG pathology in the amygdala: Subependymal,NPATGAM2,Conditional,"Integers 0-2, 8, 9","0, None | 1, Focal | 2, Widespread | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes) or #18c, NPATGAMY ne 1 (Yes)"
np,18d3. Localization of ARTAG pathology in the amygdala: Gray matter,NPATGAM3,Conditional,"Integers 0-2, 8, 9","0, None | 1, Focal | 2, Widespread | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes) or #18c, NPATGAMY ne 1 (Yes)"
np,18d4. Localization of ARTAG pathology in the amygdala: White matter,NPATGAM4,Conditional,"Integers 0-2, 8, 9","0, None | 1, Focal | 2, Widespread | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes) or #18c, NPATGAMY ne 1 (Yes)"
np,18d5. Localization of ARTAG pathology in the amygdala: Perivascular,NPATGAM5,Conditional,"Integers 0-2, 8, 9","0, None | 1, Focal | 2, Widespread | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes) or #18c, NPATGAMY ne 1 (Yes)"
np,18e. Is ARTAG pathology present in the FRONTAL NEOCORTEX?,NPATGFRN,Conditional,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes)"
np,18f1. Localization of ARTAG pathology in the frontal neocortex: Subpial,NPATGFR1,Conditional,"Integers 0-2, 8, 9","0, None | 1, Focal | 2, Widespread | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes) or #18e, NPATGFRN ne 1 (Yes)"
np,18f2. Localization of ARTAG pathology in the frontal neocortex: Gray matter,NPATGFR2,Conditional,"Integers 0-2, 8, 9","0, None | 1, Focal | 2, Widespread | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes) or #18e, NPATGFRN ne 1 (Yes)"
np,18f3. Localization of ARTAG pathology in the frontal neocortex: White matter,NPATGFR3,Conditional,"Integers 0-2, 8, 9","0, None | 1, Focal | 2, Widespread | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes) or #18e, NPATGFRN ne 1 (Yes)"
np,18f4. Localization of ARTAG pathology in the frontal neocortex: Perivascular,NPATGFR4,Conditional,"Integers 0-2, 8, 9","0, None | 1, Focal | 2, Widespread | 8, Not assessed | 9, Missing/unknown",Integer,"Blank if #18a, NPARTAG ne 1 (Yes) or #18e, NPATGFRN ne 1 (Yes)"
np,19a. Pigment-spheroid degeneration/NBIA,NPPDXA,Always,"Integers 0-1, 8, 9","0, No | 1, Yes | 8, Not assessed | 9, Missing/unknown",Integer,
