error_code,error_no,error_type,form_name,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
np-m-023,023,Error,np,NPPMIH,Missingness,NPPMIH must be present,NPPMIH cannot be blank,Q7. NPPMIH (Postmortem interval) cannot be blank,IF NPPMIH = blank,,,,,
np-c-024,024,Error,np,NPPMIH,Conformity,NPPMIH conforms,"NPPMIH must be a number between 0.00-98.9, or 99.9","Q7. NPPMIH (Postmortem interval) must be a number between 0.00 - 98.9, or 99.9",IF NPPMIH < 0 or (NPPMIH > 98.9 and NPPMIH ne 99.9),,,,,
np-m-025,025,Error,np,NPFIX,Missingness,NPFIX must be present,NPFIX cannot be blank,Q8. NPFIX (Fixative) cannot be blank,IF NPFIX = blank,,,,,
np-c-026,026,Error,np,NPFIX,Conformity,NPFIX conforms,NPFIX must be an integer between 1-2 or 7,Q8. NPFIX (Fixative) must be an integer between 1-2 or 7 (Other),IF NPFIX < 1 or (NPFIX > 2 and not = 7),,,,,
np-m-027,027,Error,np,NPFIXX,Missingness,NPFIXX conditionally present,"If NPFIX = 7, NPFIXX cannot be blank","If Q8. NPFIX (Fixative) = 7 (Other), then Q8a. NPFIXX (8a. Other fixative- specify) cannot be blank",IF NPFIX = 7 and NPFIXX = blank,,"NPFIX, NPFIXX",,,
np-m-028,028,Error,np,NPFIXX,Missingness,NPFIXX conditionally blank,"If NPFIX ne 7, NPFIXX must be blank","If Q8. NPFIX (Fixative) ne 7 (Other), then Q8a. NPFIXX (8a. Other fixative- specify) must be blank",IF NPFIX ne 7 and NPFIXX ne blank,,"NPFIX, NPFIXX",,,
np-m-029,029,Error,np,NPWBRWT,Missingness,NPWBRWT must be present,NPWBRWT cannot be blank,Q9a. NPWBRWT (Whole brain weight) cannot be blank,IF NPWBRWT = blank,,,,,
np-c-030,030,Error,np,NPWBRWT,Conformity,NPWBRWT conforms,NPWBRWT must be an integer between 100- 2500 or 9999,Q9a. NPWBRWT (Whole brain weight) must be an integer between 100- 2500 or 9999,IF NPWBRWT < 100 or (NPWBRWT > 2500 and not = 9999),,,,,
np-m-031,031,Error,np,NPWBRF,Missingness,NPWBRF must be present,NPWBRF cannot be blank,Q9b. NPWBRF (Fresh or fixed weight) cannot be blank,IF NPWBRF = blank,,,,,
np-c-032,032,Error,np,NPWBRF,Conformity,NPWBRF conforms,NPWBRF must be an integer between 1-2 or 8,Q9b. NPWBRF (Fresh or fixed weight) must be an integer between 1-2 or 8 (Not applicable),IF NPWBRF < 1 or (NPWBRF > 2 and not = 8),,,,,
np-m-033,033,Error,np,NPGRCCA,Missingness,NPGRCCA must be present,NPGRCCA cannot be blank,Q9c1. NPGRCCA (Severity of gross findings - cerebral cortex atrophy) cannot be blank,IF NPGRCCA = blank,,,,,
np-c-034,034,Error,np,NPGRCCA,Conformity,NPGRCCA conforms,"NPGRCCA must be an integer between 0-3, 8 or 9",Q9c1. NPGRCCA (Severity of gross findings - cerebral cortex atrophy) must be an integer between 0-3 or 8 (Not assessed) or 9 (Missing/Unknown),"IF NPGRCCA < 0 or (NPGRCCA > 3 and not in (8,9))",,,,,
np-m-035,035,Error,np,NPGRLA,Missingness,NPGRLA must be present,NPGRLA cannot be blank,Q9c2. NPGRLA (Severity of gross findings - lobar atrophy) cannot be blank,IF NPGRLA = blank,,,,,
np-c-036,036,Error,np,NPGRLA,Conformity,NPGRLA conforms,"NPGRLA must be an integer between 0-1, 8 or 9","Q9c2. NPGRLA (Severity of gross findings - lobar atrophy) must be an integer between 0-1, or 8 (Not assessed) or 9 (Missing/Unknown)","IF NPGRLA < 0 or (NPGRLA > 1 and not in (8, 9))",,,,,
np-m-037,037,Error,np,NPGRHA,Missingness,NPGRHA must be present,NPGRHA cannot be blank,Q9c3. NPGRHA (Severity of gross findings - hippocampus atrophy) cannot be blank,IF NPGRHA = blank,,,,,
np-c-038,038,Error,np,NPGRHA,Conformity,NPGRHA conforms,"NPGRHA must be an integer between 0-3, 8 or 9","Q9c3. NPGRHA (Severity of gross findings - hippocampus atrophy) must be an integer between 0-3, or 8 (Not assessed) or 9 (Missing/Unknown)","IF NPGRHA < 0 or (NPGRHA > 3 and not in (8, 9))",,,,,
np-m-039,039,Error,np,NPGRSNH,Missingness,NPGRSNH must be present,NPGRSNH cannot be blank,Q9c4. NPGRSNH (Severity of gross findings - substantia nigra hypopigmentation) cannot be blank,IF NPGRSNH = blank,,,,,
np-c-040,040,Error,np,NPGRSNH,Conformity,NPGRSNH conforms,"NPGRSNH must be an integer between 0-3, 8 or 9","Q9c4. NPGRSNH (Severity of gross findings - substantia nigra hypopigmentation) must be an integer between 0-3, or 8 (Not assessed) or 9 (Missing/Unknown)","IF NPGRSNH < 0 or (NPGRSNH > 3 and not in (8, 9))",,,,,
np-m-041,041,Error,np,NPGRLCH,Missingness,NPGRLCH must be present,NPGRLCH cannot be blank,Q9c5. NPGRLCH (Severity of gross findings - l. ceruleus hypopigmentation) cannot be blank,IF NPGRLCH = blank,,,,,
np-c-042,042,Error,np,NPGRLCH,Conformity,NPGRLCH conforms,"NPGRLCH must be an integer between 0-3, 8 or 9","Q9c5. NPGRLCH (Severity of gross findings - l. ceruleus hypopigmentation) must be an integer between 0-3, or 8 (Not assessed) or 9 (Missing/Unknown)","IF NPGRLCH < 0 or (NPGRLCH > 3 and not in (8, 9))",,,,,
np-m-043,043,Error,np,NPAVAS,Missingness,NPAVAS must be present,NPAVAS cannot be blank,Q9c6. NPAVAS (Severity of gross findings - atherosclerosis (of the circle of Willis)) cannot be blank,IF NPAVAS = blank,,,,,
np-c-044,044,Error,np,NPAVAS,Conformity,NPAVAS conforms,"NPAVAS must be an integer between 0-3, 8 or 9","Q9c6. NPAVAS (Severity of gross findings - atherosclerosis (of the circle of Willis)) must be an integer between 0-3, or 8 (Not assessed) or 9 (Missing/Unknown)","IF NPAVAS < 0 or (NPAVAS > 3 and not in (8, 9))",,,,,
np-m-045,045,Error,np,NPTAN,Missingness,NPTAN must be present,NPTAN cannot be blank,Q10a. NPTAN (Tau antibody) cannot be blank,IF NPTAN = blank,,,,,
np-c-046,046,Error,np,NPTAN,Conformity,NPTAN conforms,"NPTAN must be an integer between 1-4, 7 or 8","Q10a. NPTAN (Tau antibody) must be an integer between 1-4, or 7 (Other) or 8 (Not assessed)","IF NPTAN < 1 or (NPTAN > 4 and not in (7,8))",,,,,
np-m-047,047,Error,np,NPTANX,Missingness,NPTANX conditionally present,"If NPTAN = 7, NPTANX cannot be blank","If 10a. NPTAN (Tau antibody) = 7 (Other), then Q10a1. NPTANX (Other tau antibody - specify) cannot be blank",IF NPTAN = 7 and NPTANX = blank,,"NPTAN, NPTANX",,,
np-m-048,048,Error,np,NPTANX,Missingness,NPTANX conditionally blank,"If NPTAN ne 7, NPTANX must be blank","If 10a. NPTAN (Tau antibody) ne 7 (Other), then Q10a1. NPTANX (Other tau antibody - specify) must be blank",IF NPTAN ne 7 and NPTANX ne blank,,"NPTAN, NPTANX",,,
np-m-049,049,Error,np,NPABAN,Missingness,NPABAN must be present,NPABAN cannot be blank,Q10b. NPABAN (Amyloid beta antibody) cannot be blank,IF NPABAN = blank,,,,,
np-c-050,050,Error,np,NPABAN,Conformity,NPABAN conforms,"NPABAN must be an integer between 1-2, 7 or 8","Q10b. NPABAN (Amyloid beta antibody) must be an integer between 1-2, or 7 (Other) or 8 (Not assessed)","IF NPABAN < 1 or (NPABAN > 2 and not in (7,8))",,,,,
np-m-051,051,Error,np,NPABANX,Missingness,NPABANX conditionally present,"If NPABAN = 7, NPABANX cannot be blank","If 10b. NPABAN (Amyloid beta antibody) = 7 (Other), then Q10b1. NPABANX (Other amyloid beta antibody - specify) cannot be blank",IF NPABAN = 7 and NPABANX = blank,,"NPABAN, NPABANX",,,
np-m-052,052,Error,np,NPABANX,Missingness,NPABANX conditionally blank,"If NPABAN ne 7, NPABANX must be blank","If 10b. NPABAN (Amyloid beta antibody) ne 7 (Other), then Q10b1. NPABANX (Other amyloid beta antibody - specify) must be blank",IF NPABAN ne 7 and NPABANX ne blank,,"NPABAN, NPABANX",,,
np-m-053,053,Error,np,NPASAN,Missingness,NPASAN must be present,NPASAN cannot be blank,Q10c. NPASAN (Alpha synuclein antibody) cannot be blank,IF NPASAN = blank,,,,,
np-c-054,054,Error,np,NPASAN,Conformity,NPASAN conforms,"NPASAN must be an integer between 1-2, 7 or 8","Q10c. NPASAN (Alpha synuclein antibody) must be an integer between 1-2, or 7 (Other) or 8 (Not assessed)","IF NPASAN < 1 or (NPASAN > 2 and not in (7,8))",,,,,
np-m-055,055,Error,np,NPASANX,Missingness,NPASANX conditionally present,"If NPASAN = 7, NPASANX cannot be blank","If 10c. NPASAN (Alpha synuclein antibody) = 7 (Other), then Q10c1. NPASANX (Other alpha synuclein antibody - specify) cannot be blank",IF NPASAN = 7 and NPASANX = blank,,"NPASAN, NPASANX",,,
np-m-056,056,Error,np,NPASANX,Missingness,NPASANX conditionally blank,"If NPASAN ne 7, NPASANX must be blank","If 10c. NPASAN (Alpha synuclein antibody) ne 7 (Other), then Q10c1. NPASANX (Other alpha synuclein antibody - specify) must be blank",IF NPASAN ne 7 and NPASANX ne blank,,"NPASAN, NPASANX",,,
np-m-057,057,Error,np,NPTDPAN,Missingness,NPTDPAN must be present,NPTDPAN cannot be blank,Q10d. NPTDPAN (TDP-43 antibody) cannot be blank,IF NPTDPAN = blank,,,,,
np-c-058,058,Error,np,NPTDPAN,Conformity,NPTDPAN conforms,"NPTDPAN must be an integer between 1-2, 7 or 8","Q10d. NPTDPAN (TDP-43 antibody) must be an integer between 1-2, or 7 (Other) or 8 (Not assessed)","IF NPTDPAN < 1 or (NPTDPAN > 2 and not in (7,8))",,,,,
np-m-059,059,Error,np,NPTDPANX,Missingness,NPTDPANX conditionally present,"If NPTDPAN = 7, NPTDPANX cannot be blank","If 10d. NPTDPAN (TDP-43 antibody) = 7 (Other), then Q10d1. NPTDPANX (Other TDP-43 antibody - specify) cannot be blank",IF NPTDPAN = 7 and NPTDPANX = blank,,"NPTDPAN, NPTDPANX",,,
np-m-060,060,Error,np,NPTDPANX,Missingness,NPTDPANX conditionally blank,"If NPTDPAN ne 7, NPTDPANX must be blank","If 10d. NPTDPAN (TDP-43 antibody) ne 7 (Other), then Q10d1. NPTDPANX (Other TDP-43 antibody - specify) must be blank",IF NPTDPAN ne 7 and NPTDPANX ne blank,,"NPTDPAN, NPTDPANX",,,
np-m-061,061,Error,np,NPHISMB,Missingness,NPHISMB must be present,NPHISMB cannot be blank,Q10e1. NPHISMB (Histochemical stains - modified Bielschowsky) cannot be blank,IF NPHISMB = blank,,,,,
np-c-062,062,Error,np,NPHISMB,Conformity,NPHISMB conforms,NPHISMB must be an integer between 0-1,Q10e1. NPHISMB (Histochemical stains - modified Bielschowsky) must be an integer between 0-1,IF NPHISMB < 0 or NPHISMB > 1,,,,,
np-m-063,063,Error,np,NPHISG,Missingness,NPHISG must be present,NPHISG cannot be blank,Q10e2. NPHISG (Histochemical stains - Gallyas) cannot be blank,IF NPHISG = blank,,,,,
np-c-064,064,Error,np,NPHISG,Conformity,NPHISG conforms,NPHISG must be an integer between 0-1,Q10e2. NPHISG (Histochemical stains - Gallyas) must be an integer between 0-1,IF NPHISG < 0 or NPHISG > 1,,,,,
np-m-065,065,Error,np,NPHISSS,Missingness,NPHISSS must be present,NPHISSS cannot be blank,Q10e3. NPHISSS (Histochemical stains - other silver stain) cannot be blank,IF NPHISSS = blank,,,,,
np-c-066,066,Error,np,NPHISSS,Conformity,NPHISSS conforms,NPHISSS must be an integer between 0-1,Q10e3. NPHISSS (Histochemical stains - other silver stain) must be an integer between 0-1,IF NPHISSS < 0 or NPHISSS > 1,,,,,
np-m-067,067,Error,np,NPHIST,Missingness,NPHIST must be present,NPHIST cannot be blank,Q10e4. NPHIST (Histochemical stains - thioflavin) cannot be blank,IF NPHIST = blank,,,,,
np-c-068,068,Error,np,NPHIST,Conformity,NPHIST conforms,NPHIST must be an integer between 0-1,Q10e4. NPHIST (Histochemical stains - thioflavin) must be an integer between 0-1,IF NPHIST < 0 or NPHIST > 1,,,,,
np-m-069,069,Error,np,NPHISO,Missingness,NPHISO must be present,NPHISO cannot be blank,Q10e5. NPHISO (Histochemical stains - other) cannot be blank,IF NPHISO = blank,,,,,
np-c-070,070,Error,np,NPHISO,Conformity,NPHISO conforms,NPHISO must be an integer between 0-1,Q10e5. NPHISO (Histochemical stains - other) must be an integer between 0-1,IF NPHISO < 0 or NPHISO > 1 ,,,,,
np-m-071,071,Error,np,NPHISOX,Missingness,NPHISOX conditionally present,"If NPHISO = 1, NPHISOX cannot be blank","If 10e5. NPHISO (Histochemical stains - other) = 1 (Yes), then Q10ex. NPHISOX (Histochemical stains - other specify) cannot be blank",IF NPHISO = 1 and NPHISOX = blank,,"NPHISO, NPHISOX",,,
np-m-072,072,Error,np,NPHISOX,Missingness,NPHISOX conditionally blank,"If NPHISO = 0, NPHISOX must be blank","If 10e5. NPHISO (Histochemical stains - other) = 0 (No), then Q10ex. NPHISOX (Histochemical stains - other specify) must be blank",IF NPHISO = 0 and NPHISOX ne blank,,"NPHISO, NPHISOX",,,
np-m-073,073,Error,np,NPTHAL,Missingness,NPTHAL must be present,NPTHAL cannot be blank,Q11a. NPTHAL (Thal phase for amyloid plaques (A Score)) cannot be blank,IF NPTHAL = blank,,,,,
np-c-074,074,Error,np,NPTHAL,Conformity,NPTHAL conforms,"NPTHAL must be an integer between 0-5, 8 or 9","Q11a. NPTHAL (Thal phase for amyloid plaques (A Score)) must be an integer between 0-5, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPTHAL < 0 or (NPTHAL > 5 and not in (8,9))",,,,,
np-m-075,075,Error,np,NPBRAAK,Missingness,NPBRAAK must be present,NPBRAAK cannot be blank,Q11b. NPBRAAK (Braak stage for neurofibrillary degeneration (B score)) cannot be blank,IF NPBRAAK = blank,,,,,
np-c-076,076,Error,np,NPBRAAK,Conformity,NPBRAAK conforms,NPBRAAK must be an integer between 0-9,Q11b. NPBRAAK (Braak stage for neurofibrillary degeneration (B score)) must be an integer between 0-9,IF NPBRAAK < 0 or NPBRAAK > 9,,,,,
np-m-077,077,Error,np,NPNEUR,Missingness,NPNEUR must be present,NPNEUR cannot be blank,Q11c. NPNEUR (CERAD score for density of neocortical neuritic plaques (C score)) cannot be blank,IF NPNEUR = blank,,,,,
np-c-078,078,Error,np,NPNEUR,Conformity,NPNEUR conforms,"NPNEUR must be an integer between 0-3, 8 or 9","Q11c. NPNEUR (CERAD score for density of neocortical neuritic plaques (C score)) must be an integer between  0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPNEUR < 0 or (NPNEUR > 3 and not in (8,9))",,,,,
np-m-079,079,Error,np,NPADNC,Missingness,NPADNC must be present,NPADNC cannot be blank,Q11d. NPADNC (NIA-AA ADNC) cannot be blank,IF NPADNC = blank,,,,,
np-c-080,080,Error,np,NPADNC,Conformity,NPADNC conforms,"NPADNC must be an integer between 0-3, 8 or 9","Q11d. NPADNC (NIA-AA ADNC) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPADNC < 0 or (NPADNC > 3 and not in (8,9))",,,,,
np-m-081,081,Error,np,NPDIFF,Missingness,NPDIFF must be present,NPDIFF cannot be blank,Q11e1. NPDIFF (CERAD semi-quantitative score for diffuse plaques) cannot be blank,IF NPDIFF = blank,,,,,
np-c-082,082,Error,np,NPDIFF,Conformity,NPDIFF conforms,"NPDIFF must be an integer between 0-3, 8 or 9","Q11e1. NPDIFF (CERAD semi-quantitative score for diffuse plaques) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPDIFF < 0 or (NPDIFF > 3 and not in (8,9))",,,,,
np-m-083,083,Error,np,NPAMY,Missingness,NPAMY must be present,NPAMY cannot be blank,Q11e2. NPAMY (Cerebral amyloid angiopathy) cannot be blank,IF NPAMY = blank,,,,,
np-c-084,084,Error,np,NPAMY,Conformity,NPAMY conforms,"NPAMY must be an integer between 0-3, 8 or 9","Q11e2. NPAMY (Cerebral amyloid angiopathy) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPAMY < 0 or (NPAMY > 3 and not in (8,9))",,,,,
np-m-085,085,Error,np,NPINF,Missingness,NPINF must be present,NPINF cannot be blank,"Q12a. NPINF (Old infarcts observed grossly, including lacunes) cannot be blank",IF NPINF = blank,,,,,
np-c-086,086,Error,np,NPINF,Conformity,NPINF conforms,"NPINF must be an integer between 0-1, 8 or 9","Q12a. NPINF (Old infarcts observed grossly, including lacunes) must be an integer between 0-1, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPINF < 0 or (NPINF > 1 and notin (8,9))",,,,,
np-m-087,087,Error,np,NPINF1A,Missingness,NPINF1A conditionally present,"If NPINF = 1, NPINF1A cannot be blank","If 12a. NPINF (Old infarcts observed grossly, including lacunes) = 1 (Yes), then Q121a. NPINF1A (Number of infarcts - cerebral cortex) cannot be blank",IF NPINF = 1 and NPINF1A = blank,,"NPINF, NPINF1A",,,
np-m-088,088,Error,np,NPINF1A,Missingness,NPINF1A conditionally blank,"If NPINF ne 1, NPINF1A must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes), then Q121a. NPINF1A (Number of infarcts - cerebral cortex) must be blank",IF NPINF ne 1 and NPINF1A ne blank,,"NPINF, NPINF1A",,,
np-c-089,089,Error,np,NPINF1A,Conformity,NPINF1A conforms,NPINF1A must be an integer between 0-88 or 99,Q121a. NPINF1A (Number of infarcts - cerebral cortex) must be an integer between 0-88 or 99,IF NPINF1A < 0 or (NPINF1A > 88 and not = 99),,,,,
np-m-090,090,Error,np,NPINF1B,Missingness,NPINF1B conditionally present,"If NPINF = 1 and NPINF1A not in (0, 88, 99), then NPINF1B cannot be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) = 1 (Yes) and Q. 121a. NPINF1A (Number of infarcts - cerebral cortex) not in (0, 88, or 99), then Q121b. NPINF1B (Largest Infarct - cerebral cortex) cannot be blank","IF (NPINF = 1 and NPINF1A not in (0, 88, 99)) and NPINF1B = blank",,"NPINF, NPINF1A, NPINF1B",,,
np-m-091,091,Error,np,NPINF1B,Missingness,NPINF1B conditionally blank,"If NPINF ne 1 or NPINF1A in (0, 88, 99), NPINF1B must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or 121a. NPINF1A (Number of infarcts - cerebral cortex) in (0, 88, 99), then Q121b. NPINF1B (Largest Infarct - cerebral cortex) must be blank","IF (NPINFne 1 or NPINF1A in (0, 88, 99)) and NPINF1B ne blank",,"NPINF, NPINF1A, NPINF1B",,,
np-c-092,092,Error,np,NPINF1B,Conformity,NPINF1B conforms,"NPINF1B must be a number between 0.0-20.0, 88.8 or 99.9","Q121b. NPINF1B (Largest Infarct - cerebral cortex) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF1B < 0.0 or (NPINF1B > 20.0 and not in (88.8, 99.9))",,,,,
np-m-093,093,Error,np,NPINF1D,Missingness,NPINF1D conditionally present,"If NPINF1A > 1 and not in (88,99), then NPINF1D cannot be blank","If Q121a. NPINF1A (Number of infarcts - cerebral cortex)  > 1 and not in (88,99), then Q121d. NPINF1D (Second largest infarct - cerebral cortex) cannot be blank","IF (NPINF1A >1 and NPINF1A not in (88, 99)) and NPINF1D = blank",,"NPINF1A, NPINF1D",,,
np-m-094,094,Error,np,NPINF1D,Missingness,NPINF1D conditionally blank,"If NPINF ne 1 or  NPINF1A < 2 or in (88,99), then NPINF1D must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or 121a. NPINF1A (Number of infarcts - cerebral cortex) < 2 or in (88,99), then Q121d. NPINF1D (Second largest infarct - cerebral cortex) must be blank","IF (NPINF ne 1 or NPINF1A <2 or NPINF1A in (88, 99)) and NPINF1D ne blank",,"NPINF, NPINF1A, NPINF1D",,,
np-c-095,095,Error,np,NPINF1D,Conformity,NPINF1D conforms,"NPINF1D must be a number between 0.0-20.0, 88.8 or 99.9","Q121d. NPINF1D (Second largest infarct - cerebral cortex) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF1D < 0.0 or (NPINF1D > 20.0 and not in (88.8, 99.9))",,,,,
np-m-096,096,Error,np,NPINF1F,Missingness,NPINF1F conditionally present,"If NPINF1A > 2 and not in (88,99), then NPINF1F cannot be blank","If Q121a. NPINF1A (Number of infarcts - cerebral cortex) > 2, or not in (88,99), then Q121f. NPINF1F (Third largest infarct - cerebral cortex) cannot be blank","IF (NPINF1A >2 and NPINF1A not in (88, 99)) and NPINF1F = blank",,"NPINF1A, NPINF1F",,,
np-m-097,097,Error,np,NPINF1F,Missingness,NPINF1F conditionally blank,"If NPINF ne 1 or NPINF1A < 3 or in (88,99), NPINF1F must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or 121a. NPINF1A (Number of infarcts - cerebral cortex) < 3 or in (88,99), then Q121f. NPINF1F (Third largest infarct - cerebral cortex) must be blank","IF (NPINF ne 1 or NPINF1A <3 or NPINF1A in (88, 99)) and NPINF1F ne blank",,"NPINF, NPINF1A, NPINF1F",,,
np-c-098,098,Error,np,NPINF1F,Conformity,NPINF1F conforms,"NPINF1F must be a number between 0.0-20.0, 88.8 or 99.9","Q121f. NPINF1F (Third largest infarct - cerebral cortex) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF1F < 0.0 or (NPINF1F > 20.0 and not in (88.8, 99.9))",,,,,
np-m-099,099,Error,np,NPINF2A,Missingness,NPINF2A conditionally present,"If NPINF = 1, NPINF2A cannot be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) = 1 (Yes), then Q122a. NPINF2A (Number of infarcts - subcortical cerebral white matter and periventricular white matter) cannot be blank",IF NPINF = 1 and NPINF2A = blank,,"NPINF, NPINF2A",,,
np-m-100,100,Error,np,NPINF2A,Missingness,NPINF2A conditionally blank,"If NPINF ne 1, NPINF2A must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes), then Q122a. NPINF2A (Number of infarcts - subcortical cerebral white matter and periventricular white matter) must be blank",IF NPINF ne 1 and NPINF2A ne blank,,"NPINF, NPINF2A",,,
np-c-101,101,Error,np,NPINF2A,Conformity,NPINF2A conforms,NPINF2A must be an integer between 0-88 or 99,Q122a. NPINF2A (Number of infarcts - subcortical cerebral white matter and periventricular white matter) must be an integer between 0-88 or 99,IF NPINF2A < 0 or (NPINF2A > 88 and not = 99),,,,,
np-m-102,102,Error,np,NPINF2B,Missingness,NPINF2B conditionally present,"If NPINF = 1 and NPINF2A not in (0, 88, 99), then NPINF2B cannot be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) = 1 (Yes) and Q122a. NPINF2A (Number of infarcts ) not in (0, 88, or 99), then Q122b. NPINF2B (Largest infarct - white matter) cannot be blank","IF (NPINF = 1 and NPINF2A not in (0, 88, 99)) and NPINF2B = blank",,"NPINF, NPINF2A, NPINF2B",,,
np-m-103,103,Error,np,NPINF2B,Missingness,NPINF2B conditionally blank,"If NPINF ne 1 or NPINF2A in (0, 88, 99), NPINF2B must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or Q122a. NPINF2A (Number of infarcts ) in (0, 88,99), then Q122b. NPINF2B (Largest infarct - white matter) must be blank","IF (NPINF ne 1 or NPINF2A in (0, 88, 99)) and NPINF2B ne blank",,"NPINF, NPINF2A, NPINF2B",,,
