form_name,packet,question,var_name,missingness,conformity,data_type
a1a,I,"12. In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money to buy food?",EATLESSYR,Always,"Integers 0-1, 8",Integer
a1a,I,"13. At any time, have you ended up taking less medication than was prescribed for you because of the cost?",LESSMEDS,Always,"Integers 0-1, 8",Integer
a1a,I,"14. In the last 12 months, have you ended up taking less medication than was prescribed for you because of the cost?",LESSMEDSYR,Always,"Integers 0-1, 8",Integer
a1a,I,15a. Where would you place yourself on this ladder compared to others in your community (or neighborhood)? Please mark the number where you would place yourself.,COMPCOMM,Always,Integers 1-10,Integer
a1a,I,15b. Where would you place yourself on this ladder compared to others in the U.S.?,COMPUSA,Always,Integers 1-10,Integer
a1a,I,"15c. Thinking of your childhood, where would your family have been placed on this ladder compared to others in your community (or neighborhood)?",FAMCOMP,Always,Integers 1-10,Integer
a1a,I,"16. Thinking of the person who raised you, what was their highest level of education completed?",GUARDEDU,Always,"Integers 1-6, 9",Integer
a1a,I,16a. What was this person's relationship to you?,GUARDREL,Always,"Integers 1-6, 8",Integer
a1a,I,16a1. Specify other relationship,GUARDRELX,Conditional (e.g. skip pattern),text,String
a1a,I,"17. If there was a second person who raised you (e.g., your mother, father, grandmother, etc.?), what was that person's highest level of education completed?",GUARD2EDU,Always,"Integers 1-6, 8-9",Integer
a1a,I,17a. What was this second person's relationship to you (if applicable)?,GUARD2REL,Conditional (e.g. skip pattern),"Integers 1-6, 8",Integer
a1a,I,17a1. Specify other relationship,GUARD2RELX,Conditional (e.g. skip pattern),text,String
a1a,I,18. I experience a general sense of emptiness,EMPTINESS,Always,"Integers 1-5, 8",Integer
a1a,I,19. I miss having people around,MISSPEOPLE,Always,"Integers 1-5, 8",Integer
a1a,I,20. I feel like I don't have enough friends,FRIENDS,Always,"Integers 1-5, 8",Integer
a1a,I,21. I often feel abandoned,ABANDONED,Always,"Integers 1-5, 8",Integer
a1a,I,22. I miss having a really good friend,CLOSEFRND,Always,"Integers 1-5, 8",Integer
a1a,I,"23. If your parents are still alive, how often do you have contact with them (including mother, father, mother-in-law, and father-in-law) either in person, by phone, mail, or email (e.g., any online interaction)?",PARENTCOMM,Always,"Integers 0-5, 8",Integer
a1a,I,"24. If you have children, how often do you have contact with your children (including child[ren]-in-law and stepchild[ren]) either in person, by phone, mail, or email (e.g., any online interaction)?",CHILDCOMM,Always,"Integers 0-5, 8",Integer
a1a,I,"25. How often do you have contact with close friends either in person, by phone, mail, or email (e.g., any online interaction)?",FRIENDCOMM,Always,"Integers 0-5, 8",Integer
a1a,I,"26. How often do you participate in activities outside the home (e.g., religious activities, educational activities, volunteer work,
paid work, or activities with groups or organizations)?",PARTICIPATE,Always,"Integers 0-5, 8",Integer
a1a,I,27a. How safe do you feel in your home?,SAFEHOME,Always,"Integers 1-4, 8",Integer
a1a,I,27b. How safe do you feel in your community (or neighborhood)?,SAFECOMM,Always,"Integers 1-4, 8",Integer
a1a,I,"28. In the past year, how often did you delay seeking medical attention for a problem that was bothering you?",DELAYMED,Always,"Integers 1-5, 8",Integer
a1a,I,"29. In the past year, how often did you experience challenges in filling a prescription?",SCRIPTPROB,Always,"Integers 1-5, 8",Integer
a1a,I,"30. In the past year, how often did you miss a follow-up medical appointment that was scheduled?",MISSEDFUP,Always,"Integers 1-5, 8",Integer
a1a,I,"31. In the past year, how often did you follow a doctor's advice or treatment plan when it was given?",DOCADVICE,Always,"Integers 1-5, 8",Integer
a1a,I,"32. Overall, which of these describes your health insurance, access to healthcare services, and access to medications?",HEALTHACC,Always,"Integers 1-4, 8",Integer
a1a,I,33. In your day-to-day life how often are you treated with less courtesy or respect than other people? ,LESSCOURT,Always,"Integers 1-6, 8",Integer
a1a,I,34. In your day-to-day life how often do you receive poorer service than other people at restaurants or stores?,POORSERV,Always,"Integers 1-6, 8",Integer
a1a,I,35. In your day-to-day life how often do people act as if they think you are not smart?,NOTSMART,Always,"Integers 1-6, 8",Integer
a1a,I,36. In your day-to-day life how often do people act as if they are afraid of you?,ACTAFRAID,Always,"Integers 1-6, 8",Integer
a1a,I,37. In your day-to-day life how often are you threatened or harassed?,THREATENED,Always,"Integers 1-6, 8",Integer
a1a,I,38. How frequently did you receive poorer service or treatment from doctors or in hospitals compared to other people?,POORMEDTRT,Always,"Integers 1-5, 8",Integer
a1a,I,39a1. Main reason--Your Ancestry or National Origins,EXPANCEST,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a2. Main reason--Your gender,EXPGENDER,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a3. Main reason--Your race,EXPRACE,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a4. Main reason--Your age,EXPAGE,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a5. Main reason--Your religion,EXPRELIG,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a6. Main reason--Your height,EXPHEIGHT,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a7. Main reason--Your weight,EXPWEIGHT,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a8. Main reason--Some other aspect of your physical appearance,EXPAPPEAR,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a9. Main reason--Your sexual orientation,EXPSEXORN,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a10. Main reason--Your education or income level,EXPEDUCINC,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a11. Main reason--A physical disability,EXPDISAB,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a12. Main reason--Your shade of skin color,EXPSKIN,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a13. Main reason -- Other,EXPOTHER,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a14. Main reason -- not applicable - I do not have these experiences in my day to day life,EXPNOTAPP,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,39a15. Main reason--Prefer not to answer,EXPNOANS,Conditional (e.g. skip pattern),1 or blank,Integer
a1a,I,"40. When you have had day-to-day experiences like those in questions 33 to 38, would you say they have been very stressful, moderately stressful, or not stressful? ",EXPSTRS,Conditional (e.g. skip pattern),"Integers 1-3, 8-9",Integer
