field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
tableforpercentofnormal,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>If 100% is feeling perfectly normal (fully recovered from your COVID-19 symptoms),<br />what percent of normal do you feel?<span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 24.9033%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19norm}</td> <td style=""width: 50%;"">%</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[c19diag] = '1' or [c19diag] = '2'",,,,,,
c19norm,form_f2_covid_impact_survey_participant,,text,"Percent of normal",,,number,,,,"[c19diag] = '1' or [c19diag] = '2'",y,LV,,,,
c19normx,form_f2_covid_impact_survey_participant,,notes,"Why are you not feeling perfectly normal?",,,,,,,"[c19norm] <> 100 and [c19norm]<>""""",y,LV,,,,
c19symaf,form_f2_covid_impact_survey_participant,,radio,"Over the past month, how often did symptoms from past or current COVID-19 infection(s) affect your daily life?","1, Never | 2, Seldom (1-2 days per week) | 3, Sometimes (3-4 days per week) | 4, Often (5-6 days per week) | 5, Every day | 8, Decline to answer",,,,,,"[c19diag] = '1' or [c19diag] = '2'",y,LV,,,,
c19ndiag,form_f2_covid_impact_survey_participant,,radio,"How many times have you been diagnosed with COVID-19 (distinct episodes of infection)?","1, Once | 2, Twice | 3, Three or more times | 9, Unsure/unknown",,,,,,"[c19diag] = '1' or [c19diag] = '2'",y,LV,,,,
first_infection_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>When did your first COVID-19 infection begin (month/year)? <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 62.6923%; height: 17.2727px;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19inf1bmo}</td> <td style=""width: 50%;"">{c19inf1byr}</td> </tr> </tbody> </table> <p> </p> <p> </p> <p> </p></div>",,,,,,,"[c19diag] = '1' or [c19diag] = '2'",,,,,,
c19inf1bmo,form_f2_covid_impact_survey_participant,,dropdown,"First Infection start date month","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,"[c19diag] = '1' or [c19diag] = '2'",y,,,,,@PLACEHOLDER='Month'
c19inf1byr,form_f2_covid_impact_survey_participant,,dropdown,"First Infection start date year","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,"[c19diag] = '1' or [c19diag] = '2'",y,,,,,@PLACEHOLDER='Year'
c19smdur1,form_f2_covid_impact_survey_participant,,radio,"What was the duration of symptoms from your first COVID-19 infection?","0, Never had symptoms | 1, < 1 week | 2, 1-2 weeks | 3, 2-4 weeks | 4, > 4 weeks | 5, Not yet recovered (symptoms persist to the present) | 8, Decline to answer",,,,,,"[c19diag] = '1' or [c19diag] = '2'",y,LV,,,,
recent_covid_infect_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>When did your most recent COVID-19 infection begin (month/year)? <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 61.6923%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19infrbmo}</td> <td style=""width: 50%;"">{c19infrbyr}</td> </tr> </tbody> </table> <p> </p> <p> </p></div>",,,,,,,"[c19ndiag] = '2' or [c19ndiag] = '3'",,,,,,
c19infrbmo,form_f2_covid_impact_survey_participant,,dropdown,"Most recent Infection start date month","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,"[c19ndiag] = '2' or [c19ndiag] = '3'",y,,,,,@PLACEHOLDER='Month'
c19infrbyr,form_f2_covid_impact_survey_participant,,dropdown,"Most recent Infection start date year","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,"[c19ndiag] = '2' or [c19ndiag] = '3'",y,,,,,@PLACEHOLDER='Year'
c19smdurr,form_f2_covid_impact_survey_participant,,radio,"What was the duration of symptoms from your most recent COVID-19 infection?","0, Never had symptoms | 1, < 1 week | 2, 1-2 weeks | 3, 2-4 weeks | 4, > 4 weeks | 5, Not yet recovered (symptoms persist to the present) | 8, Decline to answer",,,,,,"[c19ndiag] = '2' or [c19ndiag] = '3'",y,LV,,,,
c19anos,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>During any of your COVID-19 infections, did you lose the ability to smell or taste, experience lower ability to determine smells or tastes, or experience episodes of unprovoked, unfamiliar, or strange smells or tastes?</p></div>","0, No | 1, Yes | 8, Decline to answer | 9, Unsure/unknown",,,,,,"[c19diag] = '1' or [c19diag] = '2'",y,LV,,,,
c19anos_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>When did you first experience changes in smell or taste (month/year)? <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 61.29%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19anosbmo}</td> <td style=""width: 50%;"">{c19anosbyr}</td> </tr> </tbody> </table> <p> </p> <p> </p></div>",,,,,,,[c19anos]='1',,,,,,
c19anosbmo,form_f2_covid_impact_survey_participant,,dropdown,"Change in smell or taste start date month","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,[c19anos]='1',y,,,,,@PLACEHOLDER='Month'
c19anosbyr,form_f2_covid_impact_survey_participant,,dropdown,"Smell or taste change start date year","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,[c19anos]='1',y,,,,,@PLACEHOLDER='Year'
c19anosdur,form_f2_covid_impact_survey_participant,,radio,"How long did it take to recover smell and taste fully?","1, < 1 week | 2, 1-2 weeks | 3, 2-4 weeks | 4, > 4 weeks | 5, Not yet recovered (symptoms persist to the present) | 8, Decline to answer",,,,,,[c19anos]='1',y,LV,,,,
c19brf,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>During any of your COVID-19 infections, did you experience new problems with thinking, remembering, or concentration (e.g., brain fog)?</p></div>","0, No | 1, Yes | 8, Decline to answer | 9, Unsure/unknown",,,,,,"[c19diag] = '1' or [c19diag] = '2'",y,LV,,,,
c19brf_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>When did you first experience changes in thinking, remembering, or concentration (month/year)? <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 61.29%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19brfbmo}</td> <td style=""width: 50%;"">{c19brfbyr}</td> </tr> </tbody> </table> <p> </p> <p> </p></div>",,,,,,,[c19brf]='1',,,,,,
c19brfbmo,form_f2_covid_impact_survey_participant,,dropdown,"brain fog start date month","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,[c19brf]='1',,,,,,@PLACEHOLDER='Month'
c19brfbyr,form_f2_covid_impact_survey_participant,,dropdown,"brain fog start date year","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,[c19brf]='1',,,,,,@PLACEHOLDER='Year'
c19brfdur,form_f2_covid_impact_survey_participant,,radio,"How long did it take to recover changes in thinking, remembering, or concentration?","1, < 1 week | 2, 1-2 weeks | 3, 2-4 weeks | 4, > 4 weeks | 5, Not yet recovered (symptoms persist to the present) | 8, Decline to answer",,,,,,[c19brf]='1',y,LV,,,,
q1to8timestamp,form_f2_covid_impact_survey_participant,,text,"Questions 1-8 timestamp",,,datetime_ymd,,,,,y,LV,,,,"@NOW-SERVER @HIDDEN-SURVEY"
c19medc,form_f2_covid_impact_survey_participant," ",radio,"Did you ever seek medical care for COVID-19?","0, No | 1, Yes | 8, Decline to answer | 9, Unsure/unknown",,,,,,"[c19diag] = '1' or [c19diag] = '2'",y,LV,,,,
c19opatr,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>Did you receive any type of outpatient treatment for your COVID-19 infection such as monoclonal antibody treatment, oral antiviral, subcutaneous injection of antiviral, or other treatment?</p></div>","0, No | 1, Yes | 8, Decline to answer | 9, Unsure/unknown",,,,,,[c19medc]='1',y,LV,,,,
c19opatr_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>When did you receive this outpatient treatment (month/year)? <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 61.29%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19opatrmo}</td> <td style=""width: 50%;"">{c19opatryr}</td> </tr> </tbody> </table> <p> </p> <p> </p></div>",,,,,,,[c19opatr]='1',,,,,,
c19opatrmo,form_f2_covid_impact_survey_participant,,dropdown,"outpatient treatment start date month","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,[c19opatr]='1',y,,,,,@PLACEHOLDER='Month'
c19opatryr,form_f2_covid_impact_survey_participant,,dropdown,"outpatient treatment start date year","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,[c19opatr]='1',y,,,,,@PLACEHOLDER='Year'
c19medctyp,form_f2_covid_impact_survey_participant,,radio,"What was the highest level of medical care you received for COVID-19?","1, Phone consultation or virtual care visit | 2, In-person physician or urgent care visit | 3, Emergency department | 4, Hospitalized but not the intensive care unit (ICU) | 5, Hospitalized, including a stay in the ICU and/or ventilator support (breathing tube in your throat) | 8, Decline to answer | 9, Unsure/unknown",,,,,,[c19medc]='1',y,LV,,,,
c19hospn,form_f2_covid_impact_survey_participant,,radio,"How many times have you been admitted to the hospital for COVID-19?","1, Once | 2, Twice | 3, Three or more times | 9, Unsure/unknown",,,,,,"[c19medctyp] = '4' or [c19medctyp] = '5'",y,LV,,,,
inpatient_stay_info,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>When were you admitted to the hospital for COVID-19? If you were hospitalized more than once, please report the 3 most recent hospitalizations.</p></div>",,,,,,,"[c19hospn] = '1' or [c19hospn] = '2' or [c19hospn] = '3'",,,,,,
inpt_table_stay_1,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Month/year of most recent hospitalization: <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 61.29%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19h1mo}</td> <td style=""width: 50%;"">{c19h1yr}</td> </tr> </tbody> </table> <p>How many days were you hospitalized? <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <p>{c19h1dys}</p> <p> </p></div>",,,,,,,"[c19hospn] = '1' or [c19hospn] = '2' or [c19hospn] = '3'",,,,,,
c19h1mo,form_f2_covid_impact_survey_participant,,dropdown,"inpatient treatment stay 1 start date month","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,"[c19hospn] = '1' or [c19hospn] = '2' or [c19hospn] = '3'",y,,,,,@PLACEHOLDER='Month'
c19h1yr,form_f2_covid_impact_survey_participant,,dropdown,"inpatient treatment stay 1 start date year","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,"[c19hospn] = '1' or [c19hospn] = '2' or [c19hospn] = '3'",y,,,,,@PLACEHOLDER='Year'
c19h1dys,form_f2_covid_impact_survey_participant,,text,"How many days were you hospitalized for stay 1 (most recent)?",,"(888= Decline to answer, 999=Unknown)",number,,,,"[c19hospn] = '1' or [c19hospn] = '2' or [c19hospn] = '3'",y,,,,,"@PLACEHOLDER='(888= Decline to answer, 999= Unknown)'"
inpt_table_stay_2,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Month/year of next most recent hospitalization: <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 61.29%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19h2mo}</td> <td style=""width: 50%;"">{c19h2yr}</td> </tr> </tbody> </table> <p> How many days were you hospitalized? <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <p><br />{c19h2dys}</p></div>",,,,,,,"[c19hospn]='2' or [c19hospn]='3'",,,,,,
c19h2mo,form_f2_covid_impact_survey_participant,,dropdown,"inpatient treatment stay 2 start date month","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,"[c19hospn]='2' or [c19hospn]='3'",y,,,,,@PLACEHOLDER='Month'
c19h2yr,form_f2_covid_impact_survey_participant,,dropdown,"inpatient treatment stay 2 start date year","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,"[c19hospn]='2' or [c19hospn]='3'",y,,,,,@PLACEHOLDER='Year'
c19h2dys,form_f2_covid_impact_survey_participant,,text,"How many days were you hospitalized for stay 2 (next most recent)?",,"(888= Decline to answer, 999 = Unknown)",number,,,,"[c19hospn]='2' or [c19hospn]='3'",y,LV,,,,"@PLACEHOLDER='(888= Decline to answer, 999= Unknown)'"
inpt_table_stay_3,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Month/year of next most recent hospitalization: <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 61.29%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19h3mo}</td> <td style=""width: 50%;"">{c19h3yr}</td> </tr> </tbody> </table> <p> How many days were you hospitalized? <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <p><br />{c19h3dys}</p></div>",,,,,,,[c19hospn]='3',,,,,,
c19h3mo,form_f2_covid_impact_survey_participant,,dropdown,"inpatient treatment stay 3 start date month","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,[c19hospn]='3',y,,,,,@PLACEHOLDER='Month'
c19h3yr,form_f2_covid_impact_survey_participant,,dropdown,"inpatient treatment stay 3 start date year","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,[c19hospn]='3',y,,,,,@PLACEHOLDER='Year'
c19h3dys,form_f2_covid_impact_survey_participant,,text,"How many days were you hospitalized for stay 3 (3rd most recent)?",,"(888= Decline to answer, 999= Unknown)",number,,,,[c19hospn]='3',,LV,,,,"@PLACEHOLDER='(888= Decline to answer, 999= Unknown)'"
q9timestamp,form_f2_covid_impact_survey_participant,,text,"Question 9 timestamp",,,datetime_ymd,,,,,y,LV,,,,"@NOW-SERVER @HIDDEN-SURVEY"
c19vac,form_f2_covid_impact_survey_participant," ",radio,"Have you received at least one vaccination against COVID-19?","0, No | 1, Yes | 8, Decline to answer | 9, Unsure/unknown",,,,,,,y,LV,,,,
c19unvac,form_f2_covid_impact_survey_participant,,radio,"Why have you not received a COVID-19 vaccination?","1, Wanted to but unable | 2, Did not want to get vaccinated | 3, Allergy | 4, Medical contraindication {c19unvacmx} | 5, Other {c19unvacox} | 8, Decline to answer | 9, Unsure/unknown",,,,,,[c19vac]='0',y,LV,,,,
c19unvacmx,form_f2_covid_impact_survey_participant,,text,"Medical contraindication specify",,,,,,,"[c19unvac] = '4'",y,LV,,,,"@PLACEHOLDER='Please specify'"
c19unvacox,form_f2_covid_impact_survey_participant,,text,"Specify why you have not received a vaccination",,,,,,,"[c19unvac] = '5'",y,LV,,,,"@PLACEHOLDER='Please specify why you have not received a vaccination'"
c19nvac,form_f2_covid_impact_survey_participant,,radio,"How many COVID-19 vaccine doses have you received?","1, One: Partial vaccination (one dose of two-dose series) | 2, One: One-dose series, e.g., Janssen (Johnson & Johnson) without booster | 3, Two: Two-dose series without booster | 4, Two: One-dose series with one booster | 5, Three: Two-dose series with one booster | 6, Three +: One-dose series with more than one booster | 7, Four +: Two-dose series with more than one booster | 8, Decline to answer | 9, Unsure/unknown",,,,,,[c19vac]='1',y,LV,,,,
