B5,I,AGITSEV,AGITSEV conditionally present,If AGIT is 1 then AGITSEV must be present.,If Q4a. AGIT (agitation/aggression) is 1 (Yes) then Q4b. AGITSEV (agitation/aggression severity) cannot be blank,IF AGIT = 1 and AGITSEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,AGITSEV,AGITSEV continionally blank,If AGIT is 0 or 9 then AGITSEV must be blank.,If Q4a. AGIT (delusions) is 0 (No) or 9 (Unknown) then Q4b. AGITSEV (delusion severity) cannot be blank,IF AGIT = 0 or 9  and AGITSEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,AGITSEV,AGITSEV conforms,AGITSEV must be an integer between 1-3 or 9,Q4b. AGITSEV (agitation/aggression severity) must  be an integer between 1 and 3 or 9. ,If AGITSEV < 1 or (AGITSEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DEPD,DEPD must be present,DEPD cannot be blank,Q5a. DEPD (depression/dysphoria) cannot be blank,IF DEPD = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DEPD,DEPD conforms,DEPD must be an integer between 0-1 or 9 ,Q5a. DEPD (depression/dysphoria) must be an integer between 0 and 1 or 9.,If DEPD <0 or (DEPD > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DEPDSEV,DEPDSEV conditionally present,If DEPD is 1 then DEPDSEV must be present.,If Q5a. DEPD (depression/dysphoria) is 1 (Yes) then Q5b. DEPDSEV (depression/dysphoria severity) cannot be blank,IF DEPD = 1 and DEPDSEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DEPDSEV,DEPDSEV continionally blank,If DEPD is 0 or 9 then DEPDSEV must be blank.,If Q5a. DEPD (delusions) is 0 (No) or 9 (Unknown) then Q5b. DEPDSEV (delusion severity) cannot be blank,IF DEPD = 0 or 9  and DEPDSEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DEPDSEV,DEPDSEV conforms,DEPDSEV must be an integer between 1-3 or 9,Q5b. DEPDSEV (depression/dysphoria severity) must  be an integer between 1 and 3 or 9. ,If DEPDSEV < 1 or (DEPDSEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,ANX,ANX must be present,ANX cannot be blank,Q6a. ANX (anxiety) cannot be blank,IF ANX = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,ANX,ANX conforms,ANX must be an integer between 0-1 or 9 ,Q6a. ANX (anxiety) must be an integer between 0 and 1 or 9.,If ANX <0 or (ANX > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,ANXSEV,ANXSEV conditionally present,If ANX is 1 then ANXSEV must be present.,If Q6a. ANX (anxiety) is 1 (Yes) then Q6b. ANXSEV (anxiety severity) cannot be blank,IF ANX = 1 and ANXSEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,ANXSEV,ANXSEV continionally blank,If ANX is 0 or 9 then ANXSEV must be blank.,If Q6a. ANX (delusions) is 0 (No) or 9 (Unknown) then Q6b. ANXSEV (delusion severity) cannot be blank,IF ANX = 0 or 9  and ANXSEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,ANXSEV,ANXSEV conforms,ANXSEV must be an integer between 1-3 or 9,Q6b. ANXSEV (anxiety severity) must  be an integer between 1 and 3 or 9. ,If ANXSEV < 1 or (ANXSEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,ELAT,ELAT must be present,ELAT cannot be blank,Q7a. ELAT (elation/euphoria) cannot be blank,IF ELAT = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,ELAT,ELAT conforms,ELAT must be an integer between 0-1 or 9 ,Q7a. ELAT (elation/euphoria) must be an integer between 0 and 1 or 9.,If ELAT <0 or (ELAT > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,ELATSEV,ELATSEV conditionally present,If ELAT is 1 then ELATSEV must be present.,If Q7a. ELAT (elation/euphoria) is 1 (Yes) then Q7b. ELATSEV (elation/euphoria severity) cannot be blank,IF ELAT = 1 and ELATSEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,ELATSEV,ELATSEV continionally blank,If ELAT is 0 or 9 then ELATSEV must be blank.,If Q7a. ELAT (delusions) is 0 (No) or 9 (Unknown) then Q7b. ELATSEV (delusion severity) cannot be blank,IF ELAT = 0 or 9  and ELATSEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,ELATSEV,ELATSEV conforms,ELATSEV must be an integer between 1-3 or 9,Q7b. ELATSEV (elation/euphoria severity) must  be an integer between 1 and 3 or 9. ,If ELATSEV < 1 or (ELATSEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,APA,APA must be present,APA cannot be blank,Q8a. APA (apathy/indifference) cannot be blank,IF APA = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,APA,APA conforms,APA must be an integer between 0-1 or 9 ,Q8a. APA (apathy/indifference) must be an integer between 0 and 1 or 9.,If APA <0 or (APA > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,APASEV,APASEV conditionally present,If APA is 1 then APASEV must be present.,If Q8a. APA (apathy/indifference) is 1 (Yes) then Q8b. APASEV (apathy/indifference severity) cannot be blank,IF APA = 1 and APASEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,APASEV,APASEV continionally blank,If APA is 0 or 9 then APASEV must be blank.,If Q8a. APA (delusions) is 0 (No) or 9 (Unknown) then Q8b. APASEV (delusion severity) cannot be blank,IF APA = 0 or 9  and APASEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,APASEV,APASEV conforms,APASEV must be an integer between 1-3 or 9,Q8b. APASEV (apathy/indifference severity) must  be an integer between 1 and 3 or 9. ,If APASEV < 1 or (APASEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DISN,DISN must be present,DISN cannot be blank,Q9a. DISN (disinhibition) cannot be blank,IF DISN = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DISN,DISN conforms,DISN must be an integer between 0-1 or 9 ,Q9a. DISN (disinhibition) must be an integer between 0 and 1 or 9.,If DISN <0 or (DISN > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DISNSEV,DISNSEV conditionally present,If DISN is 1 then DISNSEV must be present.,If Q9a. DISN (disinhibition) is 1 (Yes) then Q9b. DISNSEV (disinhibition severity) cannot be blank,IF DISN = 1 and DISNSEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DISNSEV,DISNSEV continionally blank,If DISN is 0 or 9 then DISNSEV must be blank.,If Q9a. DISN (delusions) is 0 (No) or 9 (Unknown) then Q9b. DISNSEV (delusion severity) cannot be blank,IF DISN = 0 or 9  and DISNSEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DISNSEV,DISNSEV conforms,DISNSEV must be an integer between 1-3 or 9,Q9b. DISNSEV (disinhibition severity) must  be an integer between 1 and 3 or 9. ,If DISNSEV < 1 or (DISNSEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,IRR,IRR must be present,IRR cannot be blank,Q10a. IRR (irritability/lability) cannot be blank,IF IRR = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,IRR,IRR conforms,IRR must be an integer between 0-1 or 9 ,Q10a. IRR (irritability/lability) must be an integer between 0 and 1 or 9.,If IRR <0 or (IRR > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,IRRSEV,IRRSEV conditionally present,If IRR is 1 then IRRSEV must be present.,If Q10a. IRR (irritability/lability) is 1 (Yes) then Q10b. IRRSEV (irritability/lability severity) cannot be blank,IF IRR = 1 and IRRSEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,IRRSEV,IRRSEV continionally blank,If IRR is 0 or 9 then IRRSEV must be blank.,If Q10a. IRR (delusions) is 0 (No) or 9 (Unknown) then Q10b. IRRSEV (delusion severity) cannot be blank,IF IRR = 0 or 9  and IRRSEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,IRRSEV,IRRSEV conforms,IRRSEV must be an integer between 1-3 or 9,Q10b. IRRSEV (irritability/lability severity) must  be an integer between 1 and 3 or 9. ,If IRRSEV < 1 or (IRRSEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,MOT,MOT must be present,MOT cannot be blank,Q11a. MOT (motor disturbance) cannot be blank,IF MOT = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,MOT,MOT conforms,MOT must be an integer between 0-1 or 9 ,Q11a. MOT (motor disturbance) must be an integer between 0 and 1 or 9.,If MOT <0 or (MOT > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,MOTSEV,MOTSEV conditionally present,If MOT is 1 then MOTSEV must be present.,If Q11a. MOT (motor disturbance) is 1 (Yes) then Q11b. MOTSEV (motor disturbance severity) cannot be blank,IF MOT = 1 and MOTSEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,MOTSEV,MOTSEV continionally blank,If MOT is 0 or 9 then MOTSEV must be blank.,If Q11a. MOT (delusions) is 0 (No) or 9 (Unknown) then Q11b. MOTSEV (delusion severity) cannot be blank,IF MOT = 0 or 9  and MOTSEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,MOTSEV,MOTSEV conforms,MOTSEV must be an integer between 1-3 or 9,Q11b. MOTSEV (motor disturbance severity) must  be an integer between 1 and 3 or 9. ,If MOTSEV < 1 or (MOTSEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,NITE,NITE must be present,NITE cannot be blank,Q12a. NITE (nighttime behaviors) cannot be blank,IF NITE = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,NITE,NITE conforms,NITE must be an integer between 0-1 or 9 ,Q12a. NITE (nighttime behaviors) must be an integer between 0 and 1 or 9.,If NITE <0 or (NITE > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,NITESEV,NITESEV conditionally present,If NITE is 1 then NITESEV must be present.,If Q12a. NITE (nighttime behaviors) is 1 (Yes) then Q12b. NITESEV (nighttime behaviors severity) cannot be blank,IF NITE = 1 and NITESEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,NITESEV,NITESEV continionally blank,If NITE is 0 or 9 then NITESEV must be blank.,If Q12a. NITE (delusions) is 0 (No) or 9 (Unknown) then Q12b. NITESEV (delusion severity) cannot be blank,IF NITE = 0 or 9  and NITESEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,NITESEV,NITESEV conforms,NITESEV must be an integer between 1-3 or 9,Q12b. NITESEV (nighttime behaviors severity) must  be an integer between 1 and 3 or 9. ,If NITESEV < 1 or (NITESEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,APP,APP must be present,APP cannot be blank,Q13a. APP (appetite/eating problems) cannot be blank,IF APP = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,APP,APP conforms,APP must be an integer between 0-1 or 9 ,Q13a. APP (appetite/eating problems) must be an integer between 0 and 1 or 9.,If APP <0 or (APP > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,APPSEV,APPSEV conditionally present,If APP is 1 then APPSEV must be present.,If Q13a. APP (appetite/eating problems) is 1 (Yes) then Q13b. APPSEV (appetite/eating problems severity) cannot be blank,IF APP = 1 and APPSEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,APPSEV,APPSEV continionally blank,If APP is 0 or 9 then APPSEV must be blank.,If Q13a. APP (delusions) is 0 (No) or 9 (Unknown) then Q13b. APPSEV (delusion severity) cannot be blank,IF APP = 0 or 9  and APPSEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,APPSEV,APPSEV conforms,APPSEV must be an integer between 1-3 or 9,Q13b. APPSEV (appetite/eating problems severity) must  be an integer between 1 and 3 or 9. ,If APPSEV < 1 or (APPSEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plausibility checks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form,Packet,Variable,Error/alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables/concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
Plausibility checks aginst form B9 to come when this form is finalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
