status,Form ,v3 Form,Version,v4 IVP Q#,v4 FVP Q#,Variable,Variable Type,Short Descriptor,Data Type,Allowable Codes,Description/derivation,TT code
existing,d1a,d1,4-Jan,8e,8e,NACCBVFT,NACC derived variable,Clinical syndrome - behavioral variant FTD syndrome (bvFTD),Numeric longitudinal,"0 = No
1 = Yes
7 = Cognitively impaired but no predominant clinical syndrome 
8 = No diagnosis of cognitive or behavioral impairment","Please note that in UDS v1.2 and v2 bvFTD was assessed as a suspected underlying etiologic diagnosis (see FTD and FTDIF). In UDS v3 and v4, bvFTD is no longer collected as an etiologic diagnosis, but instead as a clinical syndrome. To determine whether the participant was cognitively impaired, not MCI, or had MCI or dementia, refer to the NACCUDSD variable.  

Participants with cognitive or behavioral impairment (MCI, dementia, MBI) and behavioral variant frontotemporal (bvFTD) syndrome have NACCBVFT= 1. Participants with cognitive or behavioral impairment but without bvFTD syndrome have NACCBVFT= 0. Participants who are cognitively impaired but do not have clinical syndrome present have NACCBVFT = 7. Participants without cognitive or behavioral impairment have NACCBVFT= 8. 

Note that in UDS v4, clinicians should use clinical information and cognitive/neuropsychological testing to fill out the predominant clinical syndrome, ideally without reference to biomarker data (which is incorporated into the Etiological Diagnoses section in Form D1b). This is not always possible and thus Q9 allows centers to record when biomarker data is known and may have influenced the clinical diagnosis (see SYNINFCLIN, SYNINFCTST, SYNINFBIOM).  ","v1-3: no change from current code 

v4:
If FTDSYN=1 then NACCBVFT=1;
If NORMCOG=0 and PREDOMSYN=1 and FTDSYN is blank, then NACCBVFT =0;
If NORMCOG=0 and PREDOMSYN=0 and FTDSYN is blank, then NACCBVFT=7;
Else if NORMCOG=1 then NACCBVFT =8"
existing,d1a,d1,4-Jan,8f,8f,NACCLBDS,NACC derived variable,"Clinical syndrome - Lewy body
dementia syndrome",Numeric longitudinal,"0 = No
1 = Yes
7 = Cognitively impaired but no predominant clinical syndrome 
8 = No diagnosis of cognitive or behavioral impairment","Please note that in UDS v1.2 and v2, Lewy body disease was only assessed as a suspected underlying etiologic diagnosis (see NACCLBDE and NACCLBDP). In UDS v3 and v4, Lewy body disease is assessed both as a clinical syndrome and an etiologic diagnosis. NACCLBDS combines information accross versions for participants with cognitive impairment. To determine whether the participant was cognitively impaired, not MCI, or had MCI or dementia, refer to the NACCUDSD variable.  

Participants with cognitive or behavioral impairment (MCI, dementia, MBI) and Lewy body syndrome have NACCLBDS= 1. Participants with cognitive or behavioral impairment but without Lewy body syndrome have NACCBVFT= 0. Participants who are cognitively impaired but do not have clinical syndrome present have NACCLBDS= 7. Participants without cognitive or behavioral impairment have NACCLBDS= 8. 

Note that in UDS v4, clinicians should use clinical information and cognitive/neuropsychological testing to fill out the predominant clinical syndrome, ideally without reference to biomarker data (which is incorporated into the Etiological Diagnoses section in Form D1b). This is not always possible and thus Q9 allows centers to record when biomarker data is known and may have influenced the clinical diagnosis (see SYNINFCLIN, SYNINFCTST, SYNINFBIOM).","v1-3: no change from current code

v4:
If LBDSYN=1 then NACCLBDS=1;
If NORMCOG=0 and PREDOMSYN=1 and LBDSYN is blank, then NACCLBDS =0;
If NORMCOG=0 and PREDOMSYN=0 and LBDSYN is blank, then NACCLBDS=7;
Else if NORMCOG=1 then NACCLBDS =8"
existing,d1a,d1,4-Jan,"6a-6e, 6g","6a-6e, 6g",NACCTMCI,NACC derived variable,Mild cognitive impairment (MCI) type,Numeric longitudinal,"1 = Amnestic MCI- single domain
2 = Amnestic MCI- multiple domain
3 = Non-amnestic MCI- single domain
4 = Non-amnestic MCI- multiple domain
8 = No diagnosis of MCI","Clinicians were asked to designate the type of cognitive impairment for participants who do not have normal cognition and who are not demented. If the participant had normal cognition or dementia, or was diagnosed as impaired, not MCI, then NACCTMCI = 8.","v1-3: no change from current code

v4:
If CDOMMEM=1 and all of (CDOMLANG, CDOMATTN , CDOMEXEC, CDOMVISU, CDOMAPRAX) are blank, then NACCTMCI=1;
If CDOMMEM=1 and any of (CDOMLANG, CDOMATTN , CDOMEXEC, CDOMVISU, CDOMAPRAX)=1, then NACCTMCI=2;
If CDOMMEM=0 and ONLY one of (CDOMLANG, CDOMATTN , CDOMEXEC, CDOMVISU, CDOMAPRAX)=1, then NACCTMCI=3;
If CDOMMEM=0 and more than one of (CDOMLANG, CDOMATTN , CDOMEXEC, CDOMVISU, CDOMAPRAX)=1, then NACCTMCI=4;
Else if MCI is blank or 0 then NACCTMCI=8"
existing,d1a,d1,4-Jan,"4b, 6b","4b, 6b",NACCMCIL,NACC derived variable,MCI domain affected - language,Numeric longitudinal,"0 = No
1 = Yes
8 = Not diagnosed with MCI","Participants with amnestic or non-amnestic MCI who were indicated as being affected in the language domain have NACCMCIL= 1. Participants with MCI who are not affected in the language domain have NACCMCIL = 0. Participants who do not have MCI (have normal cognition, dementia, or impaired, not MCI) have NACCMCIL = 8.","v1-3: no change from current code

v4:
If MCI=1 and CDOMLANG=1 then NACCMCIL=1;
If MCI=1 and CDOMLANG is blank then NACCMCIL=0;
Else if MCI is blank or 0 then NACCMCIL =8"
existing,d1a,d1,4-Jan,"4b, 6c","4b, 6c",NACCMCIA,NACC derived variable,MCI domain affected - attention,Numeric longitudinal,"0 = No
1 = Yes
8 = Not diagnosed with MCI","Participants with amnestic or non-amnestic MCI who were indicated as being affected in the attention domain have NACCMCIA = 1. Participants with MCI who are not affected in the attention domain have NACCMCIA = 0. Participants who do not have MCI (have normal cognition, dementia, or impaired, not MCI) have NACCMCIA = 8.","v1-3: no change from current code

v4:
If MCI=1 and CDOMATTN=1 then NACCMCIA=1;
If MCI=1 and CDOMATTN is blank then NACCMCIA=0;
Else if MCI is blank or 0 then NACCMCIA=8"
existing,d1a,d1,4-Jan,"4b, 6d","4b, 6d",NACCMCIE,NACC derived variable,MCI domain affected - executive function,Numeric longitudinal,"0 = No
1 = Yes
8 = Not diagnosed with MCI","Participants with amnestic or non-amnestic MCI who were indicated as being affected in the executive function domain have NACCMCIE = 1. Participants with MCI who are not affected in the executive function domain have NACCMCIE = 0. Participants who do not have MCI (have normal cognition, dementia, or impaired, not MCI) have NACCMCIE = 8.","v1-3: no change from current code

v4:
If MCI=1 and CDOMEXEC=1 then NACCMCIE=1;
If MCI=1 and CDOMEXEC is blank then NACCMCIE=0;
Else if MCI is blank or 0 then NACCMCIE=8"
existing,d1a,d1,4-Jan,"4b, 6e","4b, 6e",NACCMCIV,NACC derived variable,MCI domain affected - visuospatial,Numeric longitudinal,"0 = No
1 = Yes
8 = Not diagnosed with MCI","Participants with amnestic or non-amnestic MCI who were indicated as being affected in the visuospatial domain have NACCMCIV = 1. Participants with MCI who are not affected in the visuospatial domain have NACCMCIV = 0. Participants who do not have MCI (have normal cognition, dementia, or impaired, not MCI) have NACCMCIV = 8.","v1-3: no change from current code

v4:
If MCI=1 and CDOMVISU=1 then NACCMCIV=1;
If MCI=1 and CDOMVISU is blank then NACCMCIV=0;
Else if MCI is blank or 0 then NACCMCIV=8"
existing,d1a,d1,4-Jan,2,2,NACCNORM,NACC derived variable,Normal cognition at all visits to date,Numeric cross-sectional,"0 = Had a diagnosis other than normal cognition (impaired but not MCI, MCI, or dementia) for at least one UDS visit
1 = Normal cognition at all UDS visits","Participants diagnosed with normal cognition at all UDS visits have NACCNORM = 1. Participants with at least one visit where the diagnosis was impaired not MCI, MCI, or dementia have NACCNORM = 0. Note that although this variable is listed for all visits, its value does not change across visits; it is cross-sectional.","v1-3: no change from current code

v4: same as v1-3 code"
existing,d1a,d1,4-Jan,3,3,NACCIDEM,NACC derived variable,Incident dementia during UDS follow-up,Numeric cross-sectional,"0 = Did not progress to dementia
1 = Progressed to dementia
8 = Initial visit only or diagnosed with dementia at initial visit","Participants with normal cognition, impaired not MCI, or MCI at the initial visit who have at least one follow-up visit with a dementia diagnosis will have NACCIDEM = 1. Participants who do not have a follow-up visit with a dementia diagnosis will have NACCIDEM = 0. Those with incident dementia who later revert to normal cognition or MCI will still have NACCIDEM = 1. Participants who have dementia at the initial visit will have NACCIDEM = 8. Note that although this variable is listed for all visits, its value does not change across visits; it is cross-sectional.","v1-3: no change from current code

v4: same as v1-3 code"
existing,d1a,d1,4-Jan,4b,4b,NACCMCII,NACC derived variable,Incident MCI during UDS follow-up,Numeric cross-sectional,"0 = Did not progress to MCI
1 = Progressed to MCI
8 = Initial visit only, or had a diagnosis of MCI or dementia at initial UDS visit, or progressed directly to dementia","Participants diagnosed with normal cognition or impaired not MCI at the initial UDS visit who have at least one follow-up visit with a diagnosis of MCI have NACCMCII = 1. Participants with normal cognition or impaired not MCI at every visit have NACCMCII = 0. Those who have an incident MCI visit but subsequently revert to normal cognition or impaired not MCI will still have NACCMCII = 1. Participants who have MCI or dementia at the initial visit have NACCMCII = 8. Participants who progress directly to dementia without an MCI diagnosis will also have NACCMCII = 8. Note that although this variable is listed for all visits, its value does not change across visits; it is cross-sectional.","v1-3: no change from current code

v4: 
If PACKET in (""I"""") and (NORMCOG=1 or IMPNOMCI=1) and MCI=0 at all follow-up visits, then NACCMCII=0;
If PACKET in (""I"") and (NORMCOG=1 or IMPNOMCI=1) and MCI=1 at any follow-up visit, then NACCMCII=1;
If PACKET in (""I"") and (MCI=1 or DEMENTED=1) or particpant has no follow-up visits, then NACCMCII=8;

If PACKET in (""I4"") and (NORMCOG=1 at the UDSv1-3 IVP or IMPNOMCI=1 at the UDSv1-3 IVP) and MCI=0 at all follow-up visits, then NACCMCII=0;
If PACKET in (""I4"") and (NORMCOG=1at the UDSv1-3 IVP  or IMPNOMCI=1at the UDSv1-3 IVP ) and MCI=1 at any follow-up visit, then NACCMCII=1;
If PACKET in (""I4"") and (MCI=1 at the UDSv1-3 IVP or DEMENTED=1 at the UDSv1-3 IVP ) or particpant has no follow-up visits, then NACCMCII=8;"
