error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1011,1011,Alert,a1,I4,"SEX, BIRTHSEX",Plausibility,BIRTHSEX aligns with SEX from UDSv3,"If UDSv3 SEX = 2, then UDSv4 BIRTHSEX should equal 2","If UDSv3 SEX = 2 (female), then UDSv4 BIRTHSEX (sex assigned at birth) should equal 2 (female)",If UDSv3 SEX = 2 and UDSv4 BIRTHSEX  = 1,"UDSv3, UDSv4","BIRTHSEX, SEX",Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-ivp-p-1012,1012,Alert,a1,I,BIRTHYR,Plausibility,Age of onset is not older than age of participant at visit,"BEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, and BEREMAGO should be less than or equal to the age of participant at visit","Form B9 QBEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, and BEREMAGO (age of onset) should be less than or equal to age at visit","IF BEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, or BEREMAGO >  (FRMDATEB9 - BIRTHMO|1|BIRTHYR)/365.25","a1, b9","BEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, BEREMAGO, BIRTHMO, BIRTHYR",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-ivp-p-1013,1013,Alert,a1,I,LIVSITUA,Plausibility,Living situation aligns with marital status ,If MARISTAT=5 then LIVSITUA should not equal 2,If Q11. MARITSTAT (Marital status)=5 (Never married) then Q12. LIVSITUA (Living situation) should not equal 2 (Lives with spouse or partner),IF MARISTAT=5 and LIVSITUA=2,,"MARISTAT, LIVSITUA",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-ivp-p-1014,1014,Alert,a1,I,LIVSITUA,Plausibility,Living situation aligns with marital status ,"If MARISTAT in (1,6)  then LIVSITUA should equal 2","If Q11. MARITSTAT (Marital status) in (1,6) (Married or living as married) then Q12. LIVSITUA (Living situation) should equal 2 (Lives with spouse or partner)","IF MARISTAT in (1,6) and LIVSITUA ne 2",,"MARISTAT, LIVSITUA",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-ivp-p-1015,1015,Alert,a1,I,RESIDENC,Plausibility,Primary residence aligns with living situation,If LIVSITUA=1 then RESIDENC should not equal 4 ,"If Q12. LIVSITUA (Living situation) =1 (Lives alone) then Q13. (Primary residence) should not equal 4 (skilled nursing facility, nursing home, hospital, or hospice)",If LIVSITUA=1 and RESIDENC=4 ,,"LIVSITUA,
RESIDENC",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-ivp-p-1016,1016,Alert,a1,I,RESIDENC,Plausibility,Primary residence aligns with living situation,If LIVSITUA=6 then RESIDENC should not equal 1 ,"If Q12. LIVSITUA (Living situation) =6 (Live in group home (e.g., assisted living, nursing home, convent)) then Q13. (Primary residence) should not equal 1 (Single– or multi–family private residence)",If LIVSITUA=6 and RESIDENC=1 ,,"LIVSITUA,
RESIDENC",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-ivp-p-1017,1017,Alert,a1,I,RESIDENC,Plausibility,Primary residence aligns with living situation,If LIVSITUA ne 6 then RESIDENC should not equal 3 or 4 ,"If Q12. LIVSITUA (Living situation) ne 6 (Live in group home (e.g., assisted living, nursing home, convent)) then Q13. (Primary residence) should not equal  3or 4 (Assisted living or skilled nursing facility, nursing home, hospital, or hospice)",If LIVSITUA=1 and RESIDENC=4 ,,"LIVSITUA,
RESIDENC",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1018,1018,Alert,a1,I4,"ETHISPANIC, HISPANIC",Plausibility,ETHISPANIC aligns with HISPANIC from UDSv3,"If UDSv3 HISPANIC = 1, then UDSv4 ETHISPANIC should equal 1","If UDSv3 IVP Q8. HISPANIC (Hispanic/Latino ethnicity) = 1, then UDSv4 Q3d. ETHISPANIC (Race--Hispanic or Latino) should equal 1",If UDSv3 HISPANIC = 1 and UDSv4 ETHISPANIC ne 1,"UDSv3, UDSv4","HISPANIC, ETHISPANIC",Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1019,1019,Alert,a1,I4,"RACEAIAN, RACE, RACESEC, RACETER",Plausibility,"RACEAIAN aligns with RACE, RACESEC, and RACETER from UDSv3","If UDSv3 RACERACE, RACESEC, or RACETER = 3, then UDSv4 RACEAIAN should equal 1","If UDSv3 IVP Q9-11. RACE, RACESEC, or RACETER = 3 (american indian or alaska native), then UDSv4  Q3a. RACEAIAN (Race--American Indian or Alaska Native) should equal 1","If UDSv3 RACE, RACESEC, or RACETER = 3 and UDSv4 RACEAIAN ne 1 ","UDSv3, UDSv4","RACEAIAN, RACE",Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1020,1020,Alert,a1,I4,"RACEASIAN, RACE, RACESEC, RACETER",Plausibility,"RACEASIAN aligns with RACERACE, RACESEC, and RACETER from UDSv3","If UDSv3 RACE, RACESEC, or RACETER = 5, then UDSv4 RACEASIAN should equal 1","If UDSv3 IVP Q9-11. RACE, RACESEC, or RACETER = 5 (asian), then UDSv4  Q3b. RACEAIAN (Race--Asian) should equal 1","If UDSv3 RACE, RACESEC, or RACETER = 5 and UDSv4 RACEASIAN ne 1 ","UDSv3, UDSv4","RACEASIAN, RACE",Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1021,1021,Alert,a1,I4,"RACEBLACK, RACE, RACESEC, RACETER ",Plausibility,"RACEBLACK aligns with RACERACE, RACESEC, and RACETER from UDSv3","If UDSv3 RACE, RACESEC, or RACETER = 2, then UDSv4 RACEBLACK should equal 1","If UDSv3 IVP Q9-11. RACE, RACESEC, or RACETER = 2 (black or african american), then UDSv4  Q3c. RACEBLACK (Race--Black or African American) should equal 1","If UDSv3 RACE, RACESEC, or RACETER = 2 and UDSv4 RACEBLACK ne 1 ","UDSv3, UDSv4","RACEBLACK, RACE",Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1022,1022,Alert,a1,I4,"RACENHPI, RACE, RACESEC, RACETER",Plausibility,"RACENHPI aligns with RACERACE, RACESEC, and RACETER from UDSv3","If UDSv3 RACE, RACESEC, or RACETER = 4, then UDSv4 RACENHPI  should equal 1","If UDSv3 IVP Q9-11. RACE, RACESEC, or RACETER = 4 (native hawaiian or other pacific islander), then UDSv4  Q3f. RACENHPI (Race--Native Hawaiian or Pacific Islander) should equal 1","If UDSv3 RACE, RACESEC, or RACETER = 4 and UDSv4 RACENHPI ne 1","UDSv3, UDSv4","RACENHPI, RACE",Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1023,1023,Alert,a1,I4,"RACEWHITE, RACE, RACESEC, RACETER",Plausibility,"RACEWHITE aligns with RACERACE, RACESEC, and RACETER from UDSv3","If UDSv3 RACE, RACESEC, or RACETER = 1, then UDSv4 RACEWHITE should equal 1","If UDSv3 IVP Q9-11. RACE, RACESEC, or RACETER = 1 (white), then UDSv4  Q3g. RACEWHITE (Race--White) should equal 1","If UDSv3 RACE, RACESEC, or RACETER = 1 and UDSv4 RACEWHITE ne 1","UDSv3, UDSv4","RACEWHITE, RACE",No,No,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1024,1024,Alert,a1,I4,"PREDOMLAN, PRIMLANG",Plausibility,PREDOMLAN aligns with PRIMLANG from UDSv3,"If UDSv3 PRIMLANG = 1, then UDSv4 PREDOMLAN  should equal 1","If UDSv3 IVP Q12. PRIMLANG = 1 (English), then UDSv4  Q8. PREDOMLAN (Primary language) should equal 1 (English)",If UDSv3 PRIMLANG = 1 and UDSv4 PREDOMLAN ≠ 1,"UDSv3, UDSv4","PREDOMLAN, PRIMLANG",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1025,1025,Alert,a1,I4,"PREDOMLAN, PRIMLANG",Plausibility,PREDOMLAN aligns with PRIMLANG from UDSv3,"If UDSv3 PRIMLANG = 2, then UDSv4 PREDOMLAN  should equal 2","If UDSv3 IVP Q12. PRIMLANG = 2 (Spanish), then UDSv4  Q8. PREDOMLAN (Primary language) should equal 2 (Spanish)",If UDSv3 PRIMLANG = 2 and UDSv4 PREDOMLAN ≠ 2,"UDSv3, UDSv4","PREDOMLAN, PRIMLANG",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1026,1026,Alert,a1,I4,EDUC,Plausibility,EDUC should be greater than or equal to EDUC from UDSv3,UDSv4 EDUC should be greater than or equal to UDSv3 EDUC,UDSv4 Q10a. EDUC (years of education) should be greater than or equal to UDSv3 IVP Q13. EDUC (years of education),If UDSv4 EDUC < UDSv3 EDUC,"UDSv3, UDSv4",,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1027,1027,Alert,a1,I4,HANDED,Plausibility,HANDED aligns with HANDED from UDSv3,"If UDSv3 HANDED = 1, then UDSv4 HANDED should equal 1","If UDSv3 IVP Q12. HANDED = 1 (Left handed), then UDSv4  Q8. HANDED should equal 1 (Left handed)",If UDSv3 HANDED = 1 and UDSv4 HANDED ≠ 1,"UDSv3, UDSv4",,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1028,1028,Alert,a1,I4,HANDED,Plausibility,HANDED aligns with HANDED from UDSv3,"If UDSv3 HANDED = 2, then UDSv4 HANDED should equal 2","If UDSv3 Q19. HANDED (Are you left- or right-handed?) = 2 (right handed), then UDSv4  Q9. HANDED should equal 2 (Right handed)",If UDSv3 HANDED = 2 and UDSv4 HANDED ≠ 2,"UDSv3, UDSv4",,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1029,1029,Alert,a1,I4,MARISTAT,Plausibility,Martial status aligns across visits,"If UDSv3 MARISTAT in (1,2,3,4) at PREVVISIT then UDSv4 MARISTAT should not equal 5","If UDSv3 FVP Q4. MARISTAT in (1,2,3,4) (Married, widowed, divorced, or separated) at PREVVISIT then UDSv4 MARISTAT should not equal 5 (never married)","If UDSv3 MARISTAT in (1,2,3,4) at PREVVISIT and  UDSv4 MARISTAT=5","UDSv3, UDSv4",,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1030,1030,Alert,a1,I4,LIVSITUA,Plausibility,LIVSITUA co-participant living situation INLIVWTH ,IF INRELTO=1 and INLIVWTH=1 then LIVSITUA must equal 2,"IF Form A2, Q1. INRELTO (relationship to participant)=1 (spouse, partner, companion) and Form A2, Q3. INLIVWTH (lives with participant?)=1 (yes) then Q12. LIVSITUA (participant's living situation) should not equal 2 (lives with one other person: spouse or partner)",IF (INRELTO=1 and INLIVWTH=1) and LIVSITUA ne 2,"a1, a2","INRELTO, INLIVWTH, LIVSITUA",Unkown,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
a1-i4vp-p-1031,1031,Alert,a1,I4,LIVSITUA,Plausibility,LIVSITUA co-participant living situation INLIVWTH ,IF INRELTO=1 and INLIVWTH=0 then LIVSITUA cannot equal 2,"IF Form A2, Q1. INRELTO (relationship to participant)=1 (spouse, partner, companion) and Form A2, Q3. INLIVWTH (lives with participant?)=0 (no) then Q12. LIVSITUA (participant's living situation) cannot equal 2 (lives with one other person: spouse or partner)",IF (INRELTO=1 and INLIVWTH=1) and LIVSITUA=2,"a1, a2","INRELTO, INLIVWTH, LIVSITUA",Unkown,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
