form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
a1,I,3a1. Race--American Indian or Alaska Native (Specify),RACEAIANX,Conditional (e.g. skip pattern),text,,String,
a1,I,3b. Race--Asian,RACEASIAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b1. Race--Asian--Chinese,ETHCHINESE,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b2. Race--Asian--Asian Indian,ETHINDIA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b3. Race--Asian--Filipino,ETHFILIP,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b4. Race--Asian--Vietnamese,ETHVIETNAM,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b5. Race--Asian--Korean,ETHKOREAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b6. Race--Asian--Japanese,ETHJAPAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b7. Race--Asian--Other,ETHASNOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b7a. Race--Asian--Other (Specify),ETHASNOTHX,Conditional (e.g. skip pattern),text,,String,
a1,I,3c. Race--Black or African American,RACEBLACK,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c1. Race--Black or African American--African American,ETHAFAMER,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c2. Race--Black or African American--Jamaican,ETHJAMAICA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c3. Race--Black or African American--Haitian,ETHHAITIAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c4. Race--Black or African American--Nigerian,ETHNIGERIA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c5. Race--Back or African American--Ethiopian,ETHETHIOP,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c6. Race--Black or African American--Somali,ETHSOMALI,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c7. Race--Black or African American--Other,ETHBLKOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c7a. Race--Black or African American--Other (Specify),ETHBLKOTHX,Conditional (e.g. skip pattern),text,,String,
a1,I,3d. Race--Hispanic or Latino,ETHISPANIC,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d1. Race--Hispanic or Latino--Mexican,ETHMEXICAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d2. Race--Hispanic or Latino--Puerto Rican,ETHPUERTO,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d3. Race--Hispanic or Latino--Salvadoran,ETHSALVA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d4. Race--Hispanic or Latino--Cuban,ETHCUBAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d5. Race--Hispanic or Latino--Dominican,ETHDOMIN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d6. Race--Hispanic or Latino--Guatemalan,ETHGUATEM,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d7. Race--Hispanic or Latino--Other,ETHHISOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d7a. Race--Hispanic or Latino--Other (Specify),ETHHISOTHX,Conditional (e.g. skip pattern),text,,String,
a1,I,3e. Race--Middle Eastern or North African,RACEMENA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e1. Race--Middle Eastern or North African--Lebanese,ETHLEBANON,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e2. Race--Middle Eastern or North African--Iranian,ETHIRAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e3. Race--Middle Eastern or North African--Egyptian,ETHEGYPT,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e4. Race--Middle Eastern or North African--Syrian,ETHSYRIA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e5. Race--Middle Eastern or North African--Iraqi,ETHIRAQI,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e6. Race--Middle Eastern or North African--Israeli,ETHISRAEL,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e7. Race--Middle Eastern or North African--Other,ETHMENAOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e7a. Race--Middle Eastern or North African--Other (Specify),ETHMENAOTX,Conditional (e.g. skip pattern),text,,String,
a1,I,3f. Race--Native Hawaiian or Pacific Islander,RACENHPI,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f1. Race--Native Hawaiian or Pacific Islander--Native Hawaiian,ETHHAWAII,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f2. Race--Native Hawaiian or Pacific Islander--Samoan,ETHSAMOAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f3. Race--Native Hawaiian or Pacific Islander--Chamorro,ETHCHAMOR,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f4. Race--Native Hawaiian or Pacific Islander--Tongan,ETHTONGAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f5. Race--Native Hawaiian or Pacific Islander--Fijian,ETHFIJIAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f6. Race--Native Hawaiian or Pacific Islander--Marshallese,ETHMARSHAL,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f7. Race--Native Hawaiian or Pacific Islander--Other,ETHNHPIOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f7a. Race--Native Hawaiian or Pacific Islander--Other (Specify),ETHNHPIOTX,Conditional (e.g. skip pattern),text,,String,
a1,I,3g. Race--White,RACEWHITE,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g3. Race--White--English,ETHENGLISH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g1. Race--White--German,ETHGERMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g2. Race--White--Irish,ETHIRISH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g4. Race--White--Italian,ETHITALIAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g5. Race--White--Polish,ETHPOLISH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g6. Race--White--Scottish,ETHSCOTT,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g7. Race--White--Other,ETHWHIOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g7a. Race--White--Other (specify),ETHWHIOTHX,Conditional (e.g. skip pattern),text,,String,
a1,I,3h. Race--Don't know,RACEUNKN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4a. Gender--Man,GENMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4b. Gender--Woman,GENWOMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4c. Gender--Transgender man,GENTRMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4d. Gender--Transgender woman,GENTRWOMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4e. Gender--Non-binary/genderqueer,GENNONBI,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4f. Gender--Two-spirit,GENTWOSPIR,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4g. Gender--I use a different term (specify),GENOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4g1. Gender--I use a different term specify,GENOTHX,Conditional (e.g. skip pattern),text,,String,
a1,I,4h. Gender--Don't know,GENDKN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4i. Gender--Prefer not to answer,GENNOANS,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,"5. What sex were you assigned at birth, on your original birth certificate?",BIRTHSEX,Always,"Integers 1-2,8, 9","1, Male|2, Female|9, Don't know|8, Prefer not to answer",Integer,
a1,I,"6. Have you ever been diagnosed by a medical doctor or other health professional with an intersex condition or a ""Difference of Sex Development (DSD)"" or were you born with (or developed naturally in puberty) genitals, reproductive organs, and/or chromosomal patterns that do not fit standard definitions of male or female?",INTERSEX,Always,"Integers 0-1,8,9","0, No|1, Yes|9, Don't know|8, Prefer not to answer",Integer,
a1,I,7a. Sexual Orientation--Lesbian or Gay,SEXORNGAY,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,7b. Sexual Orientation--Straight/Heterosexual,SEXORNHET,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,7c. Sexual Orientation--Bisexual,SEXORNBI,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,7d. Sexual Orientation--Two-Spirit,SEXORNTWOS,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,7e. Sexual Orientation--I use a different term,SEXORNOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,7e1. Sexual Orientation--I use a different term (specify),SEXORNOTHX,Conditional (e.g. skip pattern),text,,String,
a1,I,7f. Sexual Orientation--Don't know,SEXORNDNK,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,7g. Sexual Orientation--Prefer not to answer,SEXORNNOAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,8. What is your primary language?,PREDOMLAN,Always,"Integer 1-3, 8, 9","1, English|2, Spanish|3, Chinese dialect|8, Other|9, Don't know",Integer,
a1,I,8a. Participant's primary language--Other(specify),PREDOMLANX,Conditional (e.g. skip pattern),text,,String,[predomlan] = '8'
a1,I,9. Are you left- or right-handed?,HANDED,Always,"Integers 1-3, 9","1, Left-handed|2, Right-handed|3, Ambidextrous|9, Don't know",Integer,
a1,I,10a. How many years of education have you completed?,EDUC,Always,"Integers 0-36, 99","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|99, 99 = Unknown",Integer,
a1,I,10b. What is your highest achieved level of education?,LVLEDUC,Always,"Integers 1-6, 9","1, Less than high school|2, High school or GED|3, Some college|4, Bachelor's degree|5, Master's degree|6, Doctorate|9, Don't know",Integer,
a1,I,11. What is your current marital status?,MARISTAT,Always,"Integers 1-6, 9","1, Married|2, Widowed|3, Divorced|4, Separated|5, Never married (or marriage was annulled)|6, Living as married / domestic partner|9, Don't know",Integer,
a1,I,12. What is your living situation?,LIVSITUA,Always,"Integers 1-6, 9","1, Live alone|2, Live with one other person: a spouse or partner|3, Live with one other person: a relative, friend, or roommate|4, Live with caregiver who is not spouse/partner, relative, or friend|5, Live with a group (related or not related) in a private residence|6, Live in group home (e.g., assisted living, nursing home, convent)|9, Don't know",Integer,
a1,I,13. What is your primary type of residence?,RESIDENC,Always,"Integers 1-4, 6, 9","1, Single- or multi-family private residence (apartment, condo, house)|2, Retirement community or independent group living|3, Assisted living, adult family home, or boarding home|4, Skilled nursing facility, nursing home, hospital, or hospice|5, Do not have housing (e.g., staying with others, in a hotel, in a shelter, living outside on the street, on a beach, in a car, or in a park)|9, Don't know",Integer,
a1,I,14. What are the first three digits of the ZIP code of your primary residence?,ZIP,Conditional (e.g. skip pattern),"006-999, or blank",,String,
a1,I,"15. Have you ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard?",SERVED,Always,"Integers 0-1,9","0, No|1, Yes|9, Don't know",Integer,
a1,I,16. Have you ever obtained medical care or prescription drugs from a Veterans Affairs (VA) facility?,MEDVA,Conditional (e.g. skip pattern),"Integers 0-1,9","0, No|1, Yes|9, Don't know",Integer,
a1,I,17. How much time each week do you spend performing activities that cause large increases in breathing or heart rate for at least 10 minutes continuously?,EXRTIME,Always,"Integers 1-4,8,9","1, None|2, 1 hour or less|3, 2.5 hours or less|4, More than 2.5 hours|8, Prefer not to answer|9, Don't know",Integer,
a1,I,18. Do you feel like your memory is becoming worse?,MEMWORS,Always,"Integers 0-2,9","0, No|1, Yes, but this does not worry me|2, Yes, and this worries me|9, Don't know / Prefer not to answer",Integer,
a1,I,19. About how often do you have trouble remembering things?,MEMTROUB,Always,"Integers 1-5,9","1, Never|2, Rarely|3, Sometimes|4, Often|5, Very often|9, Don't know / Prefer not to answer",Integer,
a1,I,"20. Compared to 10 years ago, would you say that your memory is much worse, a little worse, the same, a little better, or much better?",MEMTEN,Always,"Integers 1-5,9","1, Much better|2, A little better|3, The same|4, A little worse|5, Much worse|9, Don't know / Prefer not to answer",Integer,
a1,I,21. ADI state-only decile,ADISTATE,Conditional (e.g. skip pattern),"1-10, or blank",,Integer,
a1,I,22. ADI national percentile,ADINAT,Conditional (e.g. skip pattern),"1-100,or blank",,Integer,
