Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
B1,IVP,HIP2,HIP2 must be present ,HIP2 cannot be blank,Q4b. HIP2  ( Participant hip measurement) cannot be blank,IF HIP2=blank,NA,NA,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,HIP2,HIP2 conforms,"HIP2 must be an integer between 25-70, 888","Q4b. HIP2  ( Participant hip measurement) must be an integer between 25-70, 888","IF HIP2 not in (25-70, 888)",NA,NA,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPSYSL1,BPSYSL1 must be present ,BPSYSL1 cannot be blank,Q5a1a. BPSYSL1 (Participant blood pressure - Left arm: Systolic ) must be present ,IF BPSYSL1=blank,NA,NA,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPSYSL1,BPSYSL1 conforms,"BPSYSL1 must be an integer between 70 and 230, 888","Q5a1a. BPSYSL1 (Participant blood pressure - Left arm: Systolic) must be an integer between 70 and 230, 888","IF BPSYSL1 not in (70-230, 888)",NA,NA,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPDIASL1,BPDIASL1 must be present,BPDIASL1 cannot be blank,Q5a1b. BPDIASL1 (Participant blood pressure - Left arm: Diastolic 1) must be present ,IF BPDIASL1=blank,NA,NA,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPDIASL1,BPDIASL1 conforms,"BPDIASL1  must be an integer between 30-140, 888","Q5a1b. BPDIASL1   (Participant blood pressure - Left arm: Diastolic 1) must be an integer between 30-140, 888","IF BPDIASL1 not in (30-140, 888)",NA,NA,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPSYSL2,BPSYSL2 must be present ,BPSYSL2 cannot be blank,Q5a2a. BPSYSL2 (Participant blood pressure - Left arm: Systolic ) must be present ,IF BPSYSL2=blank,NA,NA,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPSYSL2,BPSYSL2 conforms,"BPSYSL2 must be an integer between 70 and 230, 888","Q5a2a. BPSYSL2 (Participant blood pressure - Left arm: Systolic )must be an integer between 70 and 230, 888","IF BPSYSL2 not in (70-230, 888)",NA,NA,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPDIASL2,BPDIASL2 must be present,BPDIASL2 cannot be blank,Q5a2b. BPDIASL2 (Participant blood pressure - Left arm: Diastolic 2) must be present ,IF BPDIASL2=blank,NA,NA,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPDIASL2,BPDIASL2 conforms,"BPDIASL2  must be an integer between 30-140, 888","Q5a2b. BPDIASL2 (Participant blood pressure - Left arm: Diastolic 2) must be an integer between 30-140, 888","IF BPDIASL2 not in (30-140, 888)",NA,NA,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPSYSR1,BPSYSR1 must be present,BPSYSR1 cannot be blank,Q5b1a. BPSYSR1 (Participant blood pressure - Right arm: Systolic) cannot be blank,IF BPSYSR1=blank,NA,NA,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPSYSR1,BPSYSR1 conforms,"BPSYSR1 must be an integer between 70 and 230, 888","Q5b1a. BPSYSR1 (Participant blood pressure - Right arm: Systolic) must be an integer between 70 and 230, 888","IF BPSYSR1 not in (70-230, 888)",NA,NA,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPDIASR1,BPDIASR1 must be present ,BPDIASR2 cannot be blank,Q5b1b. BPDIASR2 (Participant blood pressure - Right arm: Diastolic) cannot be blank,IF BPDIASR1=blank,NA,NA,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPDIASR1,BPDIASR1 conforms,"BPDIASR2 must be an integer between 30-140, 888","Q5b1b. BPDIASR2 (Participant blood pressure - Right arm: Diastolic) must be an integer between 30-140, 888","IF BPDIASR1 not in (30-140, 888)",NA,NA,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPSYSR2,BPSYSR2 must be present,BPSYSR2 cannot be blank,Q5b2a. BPSYSR2 (Participant blood pressure - Right arm: Systolic) cannot be blank,IF BPSYSR2=blank,NA,NA,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPSYSR2,BPSYSR2 conforms,"BPSYSR2 must be an integer between 70 and 230, 888","Q5b2a. BPSYSR2 (Participant blood pressure - Right arm: Systolic) must be an integer between 70 and 230, 888","IF BPSYSR2 not in (70-230, 888)",NA,NA,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPDIASR2,BPDIASR2 must be present,BPDIASR2 cannot be blank,Q5a2b. BPDIASR2 (Participant blood pressure - Right arm: Diastolic)  cannot be blank,IF BPDIASR2=blank,NA,NA,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,BPDIASR2,BPDIASR2 conforms,"BPDIASR2  must be an integer between 30-140, 888","Q5a2b. BPDIASR2  (Participant blood pressure - Right arm: Diastolic) must be an integer between 30-140, 888","IF BPDIASR2 not in (30-140, 888)",NA,NA,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,HRATE,HRATE must be present ,HRATE cannot be blank,Q6. HRATE cannot be blank,IF HRATE=blank,NA,NA,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,HRATE,HRATE conforms,"HRATE must be an integer between 33-160, 888","Q6. HRATE must be an integer between 33-160, 888","IF HRATE not in (33-160, 888)",NA,NA,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
