Form ,Version,Gate_question_variable,Variable,TT_code
A5/D2,v4,n/a,TIAAGE,"If TIAAGE = 777, carry forward value from previous visit."
A5/D2,v4,PD,PDAGE,"If PD = 0, then PDAGE should equal 888; If PD = 9, then PDAGE should equal 999"
A5/D2,v4,n/a,PDAGE,"If PDAGE = 777, carry forward value from previous visit."
A5/D2,v4,PDOTHR,PDOTHRAGE,"If PDOTHR = 0, then PDOTHRAGE should equal 888; If PDOTHR = 9, then PDOTHRAGE should equal 999"
A5/D2,v4,n/a,PDOTHRAGE,"If PDOTHRAGE = 777, carry forward value from previous visit."
A5/D2,v4,SEIZURES,SEIZNUM,"If SEIZURES = 0 or 2, then SEIZNUM should equal 8; if SEIZURES = 9, then SEIZNUM should equal 9"
A5/D2,v4,SEIZURES,SEIZAGE,"If SEIZURES = 0, then SEIZAGE should equal 888; If SEIZURES = 9, then SEIZAGE should equal 999"
A5/D2,v4,n/a,SEIZAGE,"If SEIZAGE = 777, carry forward value from previous visit."
A5/D2,v4,HEADIMP,IMPAMFOOT,"If HEADIMP = 1 and IMPAMFOOT is blank, then IMPAMFOOT should =0"
A5/D2,v4,HEADIMP,IMPSOCCER,"If HEADIMP = 1 and IMPSOCCER is blank, then IMPSOCCER should =0"
A5/D2,v4,HEADIMP,IMPHOCKEY,"If HEADIMP = 1 and IMPHOCKEY is blank, then IMPHOCKEY should =0"
A5/D2,v4,HEADIMP,IMPBOXING,"If HEADIMP = 1 and IMPBOXING is blank, then IMPBOXING should =0"
A5/D2,v4,HEADIMP,IMPSPORT,"If HEADIMP = 1 and IMPSPORT is blank, then IMPSPORT should =0"
A5/D2,v4,HEADIMP,IMPIPV,"If HEADIMP = 1 and IMPIPV is blank, then IMPIPV should =0"
A5/D2,v4,HEADIMP,IMPMILIT,"If HEADIMP = 1 and IMPMILIT is blank, then IMPMILIT should =0"
A5/D2,v4,HEADIMP,IMPASSAULT,"If HEADIMP = 1 and IMPASSAULT is blank, then IMPASSAULT should =0"
A5/D2,v4,HEADIMP,IMPOTHER,"If HEADIMP = 1 and IMPOTHER is blank, then IMPOTHER should =0"
A5/D2,v4,IMPOTHER,IMPOTHERX,"If IMPOTHER is blank or 0, then IMPOTHERX should be blank"
A5/D2,v4,HEADIMP,IMPYEARS,"If HEADIMP = 0, then IMPYEARS should equal 888; If HEADIMP = 9, then IMPYEARS should equal 999"
A5/D2,v4,n/a,IMPYEARS,"If IMPYEARS = 777, carry forward value from previous visit."
A5/D2,v4,HEADINJURY,FIRSTTBI,"If HEADINJURY = 0, then FIRSTTBI should equal 888; If HEADINJURY = 9, then FIRSTTBI should equal 999"
A5/D2,v4,n/a,FIRSTTBI,"If FIRSTTBI = 777, carry forward value from previous visit."
A5/D2,v4,HEADINJURY,LASTTBI,"If HEADINJURY = 0, then LASTTBI should equal 888; If HEADINJURY = 9, then LASTTBI should equal 999"
A5/D2,v4,n/a,LASTTBI,"If LASTTBI = 777, carry forward value from previous visit."
A5/D2,v4,DIABETES,DIABTYPE,"If DIABETES = 0, then DIABTYPE should equal 8; If DIABETES = 9, then DIABTYPE should equal 9"
A5/D2,v4,DIABETES,DIABINS,"If DIABETES = 1 or 2 and DIABINS is blank, then DIABINS should =0"
A5/D2,v4,DIABETES,DIABMEDS,"If DIABETES = 1 or 2 and DIABMEDS is blank, then DIABMEDS should =0"
A5/D2,v4,DIABETES,DIABGLP1,"If DIABETES = 1 or 2 and DIABGLP1 is blank, then DIABGLP1 should =0"
A5/D2,v4,DIABETES,DIABRECACT,"If DIABETES = 1 or 2 and DIABRECACT is blank, then DIABRECACT should =0"
A5/D2,v4,DIABETES,DIABDIET,"If DIABETES = 1 or 2 and DIABDIET is blank, then DIABDIET should =0"
A5/D2,v4,DIABETES,DIABUNK,"If DIABETES = 1 or 2 and DIABUNK is blank, then DIABUNK should =0"
A5/D2,v4,DIABETES,DIABAGE,"If DIABETES = 0, then DIABAGE should equal 888; If DIABETES = 9, then DIABAGE should equal 999"
A5/D2,v4,n/a,DIABAGE,"If DIABAGE = 777, carry forward value from previous visit."
A5/D2,v4,HYPERTEN,HYPERTAGE,"If HYPERTEN = 0, then HYPERTAGE should equal 888; If HYPERTEN = 9, then HYPERTAGE should equal 999"
A5/D2,v4,n/a,HYPERTAGE,"If HYPERTAGE = 777, carry forward value from previous visit."
A5/D2,v4,HYPERCHO,HYPERCHAGE,"If HYPERCHO = 0, then HYPERCHAGE should equal 888; If HYPERCHO = 9, then HYPERCHAGE should equal 999"
A5/D2,v4,n/a,HYPERCHAGE,"If HYPERCHAGE = 777, carry forward value from previous visit."
A5/D2,v4,ARTHROTHR,ARTHTYPX,"If ARTHROTHR is blank or 0, then ARTHTYPX should be blank"
A5/D2,v3-4,ARTHRIT,ARTHUPEX,"If ARTHRIT = 1 or 2 and ARTHUPEX is blank, then ARTHUPEX should =0; If ARTHRIT = 0 or 9 and ARTHUPEX is blank, then ARTHUPEX should =8"
A5/D2,v3-4,ARTHRIT,ARTHLOEX,"If ARTHRIT = 1 or 2 and ARTHLOEX is blank, then ARTHLOEX should =0; If ARTHRIT = 0 or 9 and ARTHLOEX is blank, then ARTHLOEX should =8"
A5/D2,v3-4,ARTHRIT,ARTHSPIN,"If ARTHRIT = 1 or 2 and ARTHSPIN is blank, then ARTHSPIN should =0; If ARTHRIT = 0 or 9 and ARTHSPIN is blank, then ARTHSPIN should =8"
A5/D2,v3-4,ARTHRIT,ARTHUNK,"If ARTHRIT = 1 or 2 and ARTHUNK is blank, then ARTHUNK should =0; If ARTHRIT = 0 or 9 and ARTHUNK is blank, then ARTHUNK should =8"
A5/D2,v4,APNEA,CPAP,"If APNEA in (0,2), then CPAP should equal 8; If APNEA = 9, then CPAP should equal 9"
A5/D2,v4,APNEA,APNEAORAL,"If APNEA in (0,2), then APNEAORAL should equal 8; If APNEA = 9, then APNEAORAL should equal 9"
A5/D2,v3-4,OTHSLEEP,OTHSLEEX,"If OTHSLEEP is blank, 0, or 9, then OTHSLEEX should be blank"
A5/D2,v4,CANCERACTV,CANCERPRIM,"If CANCERACTV = 1 or 2 and CANCERPRIM is blank, then CANCERPRIM should =0"
A5/D2,v4,CANCERACTV,CANCERMETA,"If CANCERACTV = 1 or 2 and CANCERMETA is blank, then CANCERMETA should =0"
A5/D2,v4,CANCERMETA,CANCMETBR,"If CANCERMETA = 1 and CANCMETBR is blank, then CANCMETBR should =0"
A5/D2,v4,CANCERMETA,CANCMETOTH,"If CANCERMETA = 1 and CANCMETOTH is blank, then CANCMETOTH should =0"
A5/D2,v4,CANCERACTV,CANCERUNK,"If CANCERACTV = 1 or 2 and CANCERUNK is blank, then CANCERUNK should =0"
A5/D2,v4,CANCERACTV,CANCBLOOD,"If CANCERACTV = 1 or 2 and CANCBLOOD is blank, then CANCBLOOD should =0"
A5/D2,v4,CANCERACTV,CANCBREAST,"If CANCERACTV = 1 or 2 and CANCBREAST is blank, then CANCBREAST should =0"
A5/D2,v4,CANCERACTV,CANCCOLON,"If CANCERACTV = 1 or 2 and CANCCOLON is blank, then CANCCOLON should =0"
A5/D2,v4,CANCERACTV,CANCLUNG,"If CANCERACTV = 1 or 2 and CANCLUNG is blank, then CANCLUNG should =0"
A5/D2,v4,CANCERACTV,CANCPROST,"If CANCERACTV = 1 or 2 and CANCPROST is blank, then CANCPROST should =0"
A5/D2,v4,CANCERACTV,CANCOTHER,"If CANCERACTV = 1 or 2 and CANCOTHER is blank, then CANCOTHER should =0"
A5/D2,v4,CANCOTHER,CANCOTHERX,"If CANCOTHER is blank or 0, then CANCOTHERX should be blank"
A5/D2,v4,CANCERACTV,CANCRAD,"If CANCERACTV = 1 or 2 and CANCRAD is blank, then CANCRAD should =0"
A5/D2,v4,CANCERACTV,CANCRESECT,"If CANCERACTV = 1 or 2 and CANCRESECT is blank, then CANCRESECT should =0"
A5/D2,v4,CANCERACTV,CANCIMMUNO,"If CANCERACTV = 1 or 2 and CANCIMMUNO is blank, then CANCIMMUNO should =0"
A5/D2,v4,CANCERACTV,CANCBONE,"If CANCERACTV = 1 or 2 and CANCBONE is blank, then CANCBONE should =0"
A5/D2,v4,CANCERACTV,CANCCHEMO,"If CANCERACTV = 1 or 2 and CANCCHEMO is blank, then CANCCHEMO should =0"
A5/D2,v4,CANCERACTV,CANCHORM,"If CANCERACTV = 1 or 2 and CANCHORM is blank, then CANCHORM should =0"
A5/D2,v4,CANCERACTV,CANCTROTH,"If CANCERACTV = 1 or 2 and CANCTROTH is blank, then CANCTROTH should =0"
A5/D2,v4,CANCTROTH,CANCTROTHX,"If CANCTROTH is blank or 0, then CANCTROTHX should be blank"
A5/D2,v4,CANCERACTV,CANCERAGE,"If CANCERACTV = 0, then CANCERAGE should equal 888; If CANCERACTV = 9, then CANCERAGE should equal 999"
A5/D2,v4,n/a,CANCERAGE,"If CANCERAGE = 777, carry forward value from previous visit."
A5/D2,v4,COVID19,COVIDHOSP,"If COVID19 = 0, then COVIDHOSP should equal 8; If COVID19 = 9, then COVIDHOSP should equal 9"
A5/D2,v4,KIDNEY,KIDNEYAGE,"If KIDNEY = 0, then KIDNEYAGE should equal 888; If KIDNEY = 9, then KIDNEYAGE should equal 999"
A5/D2,v4,n/a,KIDNEYAGE,"If KIDNEYAGE = 777, carry forward value from previous visit."
A5/D2,v4,LIVER,LIVERAGE,"If LIVER = 0, then LIVERAGE should equal 888; If LIVER = 9, then LIVERAGE should equal 999"
A5/D2,v4,n/a,LIVERAGE,"If LIVERAGE = 777, carry forward value from previous visit."
A5/D2,v4,PVD,PVDAGE,"If PVD = 0, then PVDAGE should equal 888; If PVD = 9, then PVDAGE should equal 999"
A5/D2,v4,n/a,PVDAGE,"If PVDAGE = 777, carry forward value from previous visit."
A5/D2,v4,HIVDIAG,HIVAGE,"If HIVDIAG = 0, then HIVAGE should equal 888; If HIVDIAG = 9, then HIVAGE should equal 999"
A5/D2,v4,n/a,HIVAGE,"If HIVAGE = 777, carry forward value from previous visit."
A5/D2,v4,OTHERCOND,OTHCONDX,"If OTHERCOND is blank, 0, or 9, then OTHCONDX should be blank"
A5/D2,v4,"MAJORDEP, OTHERDEP",DEPRTREAT,"If MAJORDEP in (0,2,9) and OTHERDEP in (0,2,9) then DEPRTREAT=8"
A5/D2,v4,ANXIETY,GENERALANX,"If ANXIETY = 0, then GENERALANX should equal 8; If ANXIETY = 9, then GENERALANX should equal 9"
A5/D2,v4,ANXIETY,PANICDIS,"If ANXIETY = 0, then PANICDIS should equal 8; If ANXIETY = 9, then PANICDIS should equal 9"
A5/D2,v4,ANXIETY,OCD,"If ANXIETY = 0, then OCD should equal 8; If ANXIETY = 9, then OCD should equal 9"
A5/D2,v4,ANXIETY,OTHANXDIS,"If ANXIETY = 0, then OTHANXDIS should equal 8; If ANXIETY = 9, then OTHANXDIS should equal 9"
A5/D2,v4,OTHANXDIS,OTHANXDISX,"If OTHANXDIS is blank, 0, or 9, then OTHANXDISX should be blank"
A5/D2,v1-4,PSYCDIS,PSYCDISX,"If PSYCDIS is blank, 0, or 9, then PSYCDISX should be blank"
A5/D2,v4,n/a,NOMENSAGE,"If NOMENSAGE = 777, carry forward value from previous visit."
A5/D2,v4,NOMENSAGE,NOMENSNAT,"If NOMENSAGE is between 10 and 70 and NOMENSNAT is blank, then NOMENSNAT should =0"
A5/D2,v4,NOMENSAGE,NOMENSHYST,"If NOMENSAGE is between 10 and 70 and NOMENSHYST is blank, then NOMENSHYST should =0"
A5/D2,v4,NOMENSAGE,NOMENSSURG,"If NOMENSAGE is between 10 and 70 and NOMENSSURG is blank, then NOMENSSURG should =0"
A5/D2,v4,NOMENSAGE,NOMENSCHEM,"If NOMENSAGE is between 10 and 70 and NOMENSCHEM is blank, then NOMENSCHEM should =0"
A5/D2,v4,NOMENSAGE,NOMENSRAD,"If NOMENSAGE is between 10 and 70 and NOMENSRAD is blank, then NOMENSRAD should =0"
A5/D2,v4,NOMENSAGE,NOMENSHORM,"If NOMENSAGE is between 10 and 70 and NOMENSHORM is blank, then NOMENSHORM should =0"
A5/D2,v4,NOMENSAGE,NOMENSESTR,"If NOMENSAGE is between 10 and 70 and NOMENSESTR is blank, then NOMENSESTR should =0"
A5/D2,v4,NOMENSAGE,NOMENSUNK,"If NOMENSAGE is between 10 and 70 and NOMENSUNK is blank, then NOMENSUNK should =0"
A5/D2,v4,NOMENSAGE,NOMENSOTH,"If NOMENSAGE is between 10 and 70 and NOMENSOTH is blank, then NOMENSOTH should =0"
A5/D2,v4,NOMENSOTH,NOMENSOTHX,"If NOMENSOTH is blank or 0, then NOMENSOTHX should be blank"
A5/D2,v4,n/a,HRTYEARS,"If HRTYEARS = 777, carry forward value from previous visit."
A5/D2,v4,n/a,HRTSTRTAGE,"If HRTSTRTAGE = 777, carry forward value from previous visit."
A5/D2,v4,n/a,HRTENDAGE,"If HRTENDAGE = 777, carry forward value from previous visit."
A5/D2,v4,n/a,BCPILLSYR,"If BCPILLSYR = 777, carry forward value from previous visit."
A5/D2,v4,n/a,BCSTARTAGE,"If BCSTARTAGE = 777, carry forward value from previous visit."
A5/D2,v4,n/a,BCENDAGE,"If BCENDAGE = 777, carry forward value from previous visit."
