form_name,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
bds,"10f. FTLD with motor neuron disease (e.g., ALS)",BDSCOFMO,Conditional,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,"Blank if #7, BDSUDSD, =1 or 9 (Normal cognition or Unknown) or blank"
bds,"10g. FTLD, other",BDSCOFOT,Conditional,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,"Blank if #7, BDSUDSD, =1 or 9 (Normal cognition or Unknown) or blank"
bds,"10h. Vascular brain injury or vascular dementia, including stroke",BDSCOVAS,Conditional,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,"Blank if #7, BDSUDSD, =1 or 9 (Normal cognition or Unknown) or blank"
bds,10i. Traumatic brain injury (TBI),BDSCOTBI,Conditional,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,"Blank if #7, BDSUDSD, =1 or 9 (Normal cognition or Unknown) or blank"
bds,10j. Down syndrome,BDSCODWN,Conditional,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,"Blank if #7, BDSUDSD, =1 or 9 (Normal cognition or Unknown) or blank"
bds,10k. Other contributing clinical etiologic diagnosis (1),BDSCOO1F,Conditional,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,"Blank if #7, BDSUDSD, =1 or 9 (Normal cognition or Unknown) or blank"
bds,10k1. Other contributing clinical etiologic diagnosis (1) - specify,BDSCOO1X,Conditional,Any text,,String,"Blank if #10k, BDSCOO1F, ne 1 (Other)"
bds,10l. Other contributing clinical etiologic diagnosis (2),BDSCOO2F,Conditional,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,"Blank if #7, BDSUDSD, =1 or 9 (Normal cognition or Unknown) or blank"
bds,10l1. Other contributing clinical etiologic diagnosis (2) - specify,BDSCOO2X,Conditional,Any text,,String,"Blank if #10l, BDSCOO2F, ne 1 (Other)"
bds,10m. Other contributing clinical etiologic diagnosis (3),BDSCOO3F,Conditional,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,"Blank if #7, BDSUDSD, =1 or 9 (Normal cognition or Unknown) or blank"
bds,10m1. Other contributing clinical etiologic diagnosis (3) - specify,BDSCOO3X,Conditional,Any text,,String,"Blank if #10m, BDSCOO3F, ne 1 (Other)"
bds,11. Family health history,BDSFAMAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,12. Medications,BDSMEDAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,13. Participant health history,BDSHEAAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,14. Physical exam,BDSPEXAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,15. CDR Dementia Staging Instrument,BDSCDRAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,16. NPI-Q,BDSNPIAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,17. GDS,BDSGDSAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,18. FAS,BDSFASAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,19. Neurological exam,BDSNEUAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,20. Clinical judgment of symptoms,BDSCLIAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,21. MMSE or MoCA,BDSMMSAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,22. Neuropsychologic test scores,BDSNPSAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,23. Structural MRI scan ,BDSSMRAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,24. Amyloid PET scan,BDSAPTAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,25. Tau PET scan,BDSTPTAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,26. FDG PET scan,BDSFPTAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,27. Amyloid CSF assay,BDSACSAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,28. Tau CSF assay,BDSTCSAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
bds,29. DAT scan,BDSDATAV,No,"Integers 0-1, 9","0, No | 1, Yes | 9, Unknown",Integer,
