Conformity_missingness checks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form,Packet,Q#,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
A3,I,2a6,MOMAGEO,MOMAGEO conditionally blank,If MOMNPSYC is 0 (No neurological illness) or 9 (Unknown) then MOMAGEO must be blank,If Q2a3. MOMNPSYC (Mom neurological/psychological condition) is 8 (N/A) or 9 (Unknown) then Q2a6. MOMAGEO (Mom age of onset) must be blank,"IF MOMNPSYC in (8,9) then MOMAGEO must be blank",n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a6,MOMAGEO,MOMAGEO conforms,"MOMAGEO must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","Q2a6. MOMAGEO (Mom age of onset) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF  MOMAGEO<0 or (MOMAGEO>110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a6,MOMAGEO,MOMAGEO cannot be > than MOMDAGE,MOMAGEO must be <= MOMDAGE,Q2a6. MOMAGEO (Mom age of onset) must be <= Q2a2. MOMDAGE (Mom death age),If MOMAGEO > MOMDAGE,n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b1,DADYOB,DADYOB must be present,DADYOB cannot be blank,Q2b1. DADYOB (Dad birth year) cannot be blank,IF DADYOB=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b1,DADYOB,DADYOB conforms,"DADYOB must be a year between 1850 and the current year minus 15, or =9999 (Unknown)","Q2b1. DADYOB (Dad birth year) must be a year between 1850 and the current year minus 15, or =9999 (Unknown)",IF DADYOB <1850 or (DADYOB> (current year-15) and ne 9999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b2,DADDAGE,DADDAGE must be present,DADDAGE cannot be blank,Q2b2. DADDAGE (Dad death age) cannot be blank,IF DADDAGE=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b2,DADDAGE,DADDAGE conforms,"DADDAGE must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","Q2b2. DADDAGE (Dad death age) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF  DADDAGE<0 or (DADDAGE>110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b3,DADNPSYC,DADNPSYC must be present,DADNPSYC cannot be blank,Q2b3. DADNPSYC (Dad neurological/psychological condition) cannot be blank,IF DADNPSYC=blank,n/a,n/a,Error,,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b3,DADNPSYC,DADNPSYC conforms,"DADNPSYC must be an integer between 0 and 5, or =9 (Unknown)","Q2b3. DADNPSYC (Dad neurological/psychological condition) must be an integer between 0 and 5, or =9 (Unknown)",IF  DADNPSYC<0 or (DADNPSYC>5 and ne 9),n/a,n/a,Error,,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b4,DADETPR,DADETPR conditionally present,if DADNPSYC is in (1-5) then DADETPR must be present,If Q2b3. DADNPSYC (Dad neurological/psychological condition) is in (1-5) then Q2b4. DADETPR (Dad primay dx) must be present,IF DADNPSYC in (1-5) and DADETPR=blank,n/a,n/a,Error,,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b4,DADETPR,DADETPR conditionally blank,If DADNPSYC is 0 (No neurological illness) or 9 (Unknown) then DADETPR is must be blank,If Q2b3. DADNPSYC (Dad neurological/psychological condition) is 8 (N/A) or 9 (Unknown) then Q2b4. DADETPR (Dad primay dx) must be blank,"IF DADNPSYC in (8,9) then DADETPR must be blank",n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b4,DADETPR,DADETPR conforms,"DADETPR must be a code between 01 and 09, or =99 (Unknown)","Q2b4. DADETPR (Dad primay dx) must be a code between 01 and 09, or =99 (Unknown)",IF  DADETPR<01 or (DADETPR>09 and ne 99),n/a,n/a,Error,,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b5,DADMEVAL,DADMEVAL conditionally present,if DADNPSYC is in (1-5) then DADMEVAL must be present,If Q2b3. DADNPSYC (Dad neurological/psychological condition) is in (1-5) then Q2b5. DADMEVAL (Dad method of evaluation) must be present,IF DADNPSYC in (1-5) and DADMEVAL=blank,n/a,n/a,Error,,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b5,DADMEVAL,DADMEVAL conditionally blank,If DADNPSYC is 0 (No neurological illness) or 9 (Unknown) then DADMEVAL is must be blank,If Q2b3. DADNPSYC (Dad neurological/psychological condition) is 8 (N/A) or 9 (Unknown) then Q2b5. DADMEVAL (Dad method of evaluation) must be blank,"IF DADNPSYC in (8,9) then DADMEVAL must be blank",n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b5,DADMEVAL,DADMEVAL conforms,DADMEVAL must be an integer between 1 and 4,Q2b5. DADMEVAL (Dad method of evaluation) must be an integer between 1 and 4,IF DADMEVAL<1 or DADMEVAL >4,n/a,n/a,Error,,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b6,DADAGEO,DADAGEO conditionally present,if DADNPSYC is in (1-5) then DADAGEO must be present,If Q2b3. DADNPSYC (Dad neurological/psychological condition) is in (1-5) then Q2b6. DADAGEO (Dad age of onset) must be present,IF DADNPSYC in (1-5) and DADAGEO=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b6,DADAGEO,DADAGEO conditionally blank,If DADNPSYC is 0 (No neurological illness) or 9 (Unknown) then DADAGEO is must be blank,If Q2b3. DADNPSYC (Dad neurological/psychological condition) is 8 (N/A) or 9 (Unknown) then Q2b6. DADAGEO (Dad age of onset) must be blank,"IF DADNPSYC in (8,9) then DADAGEO must be blank",n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b6,DADAGEO,DADAGEO conforms,"DADAGEO must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","Q2b6. DADAGEO (Dad age of onset) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF  DADAGEO<0 or (DADAGEO>110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2b6,DADAGEO,DADAGEO cannot be > than DADDAGE,DADAGEO must be <= DADDAGE,Q2b6. DADAGEO (Dad age of onset) must be <= Q2b2. DADDAGE (Dad death age),If DADAGEO > DADDAGE,n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3,SIBS,SIBS must be present,SIBS cannot be blank,Q3. SIBS (How many siblings?) cannot be blank,IF SIBS=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3,SIBS,SIBS conforms,"SIBS must be an integer between 0 and 20, or =77 (Adopted, unknown)","Q3. SIBS (How many siblings?) must be an integer between 0 and 20, or =77 (Adopted, unknown)",IF  SIBS<0 or (SIBS>20 and ne 77),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a1,SIB1YOB,SIB1YOB conditionally present,if SIBS is (>0 and <77) then SIB1YOB must be present,if Q3. SIBS (How many siblings?) is (>0 and <77) then Q3a1. SIB1YOB (Sibling 1 birth year) must be present,IF SIBS is (>0 and <77) and SIB1YOB=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a1,SIB1YOB,SIB1YOB conditionally blank,"If SIBS is <1, 888 (N/A) or 999 (Unknown) then SIB1YOB must be blank","If Q3. SIBS (How many siblings?) is <1, 888 (N/A) or 999 (Unknown) then Q3a1. SIB1YOB (Sibling 1 birth year) must be blank",IF (SIBS is <1 or =888 or =999) and SIB1YOBneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a1,SIB1YOB,SIB1YOB conforms,"SIB1YOB must be a year between 1875 and the current year, or =9999 (Unknown)","Q3a1. SIB1YOB (Sibling 1 birth year) must be a year between 1875 and the current year, or =9999 (Unknown)",IF  SIB1YOB <1875 or (SIB1YOB > current year and ne 9999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a2,SIB1AGD,SIB1AGD conditionally present,if SIBS is (>0 and <77) then SIB1AGD must be present,if Q3. SIBS (How many siblings?) is (>0 and <77) then 3a2. SIB1AGD (Sibling 1 death age) must be present,IF SIBS is (>0 and <77) and SIB1AGD=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a2,SIB1AGD,SIB1AGD conditionally blank,"If SIBS is <1, 888 (N/A) or 999 (Unknown) then SIB1AGD must be blank","If Q3. SIBS (How many siblings?) is <1, 888 (N/A) or 999 (Unknown) then Q3a2. SIB1AGD (Sibling 1 death age) must be blank",IF (SIBS is <1 or =888 or =999) and SIB1AGDneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a2,SIB1AGD,SIB1AGD conforms,"SIB1AGD must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","3a2. SIB1AGD (Sibling 1 death age) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF SIB1AGD <0 or (SIB1AGD >110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a3,SIB1NPSYC,SIB1NPSYC conditionally present,if SIBS is (>0 and <77) then SIB1NPSYC must be present,if Q3. SIBS (How many siblings?) is (>0 and <77) then Q3a3. SIB1NPSYC (Sibling 1 neurological/psychological condition) must be present,IF SIBS is (>0 and <77) and SIB1NPSYC=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a3,SIB1NPSYC,SIB1NPSYC conditionally blank,"If SIBS is <1, 888 (N/A) or 999 (Unknown) then SIB1NPSYC must be blank","If Q3. SIBS (How many siblings?) is <1, 888 (N/A) or 999 (Unknown) then Q3a3. SIB1NPSYC (Sibling 1 neurological/psychological condition) must be blank",IF (SIBS is <1 or =888 or =999) and SIB1NPSYCneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a3,SIB1NPSYC,SIB1NPSYC conforms,"SIB1NPSYC must be an integer between 0 and 5, or =9 (Unknown)","Q3a3. SIB1NPSYC (Sibling 1 neurological/psychological condition) must be an integer between 0 and 5, or =9 (Unknown)",IF SIB1NPSYC <0 or (SIB1NPSYC >5 and ne 9),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a4,SIB1ETPR,SIB1ETPR conditionally present,if SIBS is (>0 and <77) and SIB1NPSYC is in (1-5) then SIB1ETPR must be present,If Q3. SIBS (How many siblings?) is (>0 and <77) and 3a3. SIB1NPSYC (Sibling 1 neurological/psychological condition) is in (1-5) then Q3a4. SIB1ETPR (Sibling 1 primary dx) must be present,IF SIBS is (>0 and <77) and SIB1NPSYC is in (1-5) and SIB1ETPR=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a4,SIB1ETPR,SIB1ETPR conditionally blank,"If SIBS is <1, 888 (N/A) or 999 (Unknown) or SIB1NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB1ETPR must be blank","If Q3. SIBS (How many siblings?) is <1, 888 (N/A) or 999 (Unknown) or 3a3. SIB1NPSYC (Sibling 1 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3a4. SIB1ETPRC (Sibling 1 neurological/psychological condition) must be blank",IF ((SIBS is <1 or =888 or =999) or (SIB1NPSYC= 0 or 9)) and SIB1ETPRneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a4,SIB1ETPR,SIB1ETPR conforms,"SIB1ETPR must be a code between 01 and 09, or =99 (Unknown)","3a4. SIB1ETPR (Sibling 1 primary dx) must be a code between 01 and 09, or =99 (Unknown)",IF SIB1ETPR <01 or (SIB1ETPR >09 and ne 99),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a5,SIB1MEVAL,SIB1MEVAL conditionally present,if SIBS is (>0 and <77) and SIB1NPSYC is in (1-5) then SIB1MEVAL must be present,if Q3. SIBS (How many siblings?) is (>0 and <77) and 3a3. SIB1NPSYC (Sibling 1 neurological/psychological condition) is in (1-5) then Q3a5. SIB1MEVAL (Sibling 1 method of evaluation) must be present,IF SIBS is (>0 and <77) and SIB1NPSYC in (1-5) and SIB1MEVAL=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a5,SIB1MEVAL,SIB1MEVAL conditionally blank,"If SIBS is <1, 888 (N/A) or 999 (Unknown) or SIB1NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB1MEVAL must be blank","If Q3. SIBS (How many siblings?) is <1, 888 (N/A) or 999 (Unknown) or 3a3. SIB1NPSYC (Sibling 1 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3a5. SIB1MEVAL (Sibling 1 neurological/psychological condition) must be blank",IF ((SIBS is <1 or =888 or =999) or (SIB1NPSYC= 0 or 9)) and SIB1MEVALneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a5,SIB1MEVAL,SIB1MEVAL conforms,SIB1MEVAL must be an integer between 1 and 4,Q3a5. SIB1MEVAL (Sibling 1 method of evaluation) must be an integer between 1 and 4,IF SIB1MEVAL <1 or >4,n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a6,SIB1AGO ,SIB1AGO  conditionally present,if SIBS is (>0 and <77) and SIB1NPSYC is in (1-5) then SIB1AGO  must be present,if Q3. SIBS (How many siblings?) is (>0 and <77) and 3a3. SIB1NPSYC (Sibling 1 neurological/psychological condition) is in (1-5) then Q3a6. SIB1AGO (Sibling 1 age of onset) must be present,IF SIBS is (>0 and <77) and SIB1NPSYC in (1-5) and SIB1AGO =blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a6,SIB1AGO ,SIB1AGO  conditionally blank,"If SIBS is <1, 888 (N/A) or 999 (Unknown) or SIB1NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB1AGO must be blank","If Q3. SIBS (How many siblings?) is <1, 888 (N/A) or 999 (Unknown) or 3a3. SIB1NPSYC (Sibling 1 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3a6. SIB1AGO (Sibling 1 age of onset) must be blank",IF ((SIBS is <1 or =888 or =999) or (SIB1NPSYC= 0 or 9)) and SIB1AGOneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a6,SIB1AGO ,SIB1AGO  conforms,"SIB1AGO  must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF SIB1AGO  <0 or (SIB1AGO  >110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3a6,SIB1AGO ,SIB1AGO cannot be > than SIB1AGD,SIB1AGO must be <= SIB1AGD,Q3a6. SIB1AGO (Sibling 1 age of onset) must be <= Q3a2. SIB1AGD (Sibling X death age),If SIB1AGO > SIB1AGD,n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b1,SIB2YOB,SIB2YOB conditionally present,if SIBS is (>1 and <77) then SIB2YOB must be present,if Q3. SIBS (How many siblings?) is (>1 and <77) then Q3b1. SIB2YOB (Sibling 2 birth year) must be present,IF SIBS is (>1 and <77) and SIB2YOB=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b1,SIB2YOB,SIB2YOB conditionally blank,"If SIBS is <2, 888 (N/A) or 999 (Unknown) then SIB2YOB must be blank","If Q3. SIBS (How many siblings?) is <2, 888 (N/A) or 999 (Unknown) then Q3b1. SIB2YOB (Sibling 2 birth year) must be blank",IF (SIBS is <2 or =888 or =999) and SIB2YOBneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b1,SIB2YOB,SIB2YOB conforms,"SIB2YOB must be a year between 1875 and the current year, or =9999 (Unknown)","3b1. SIB2YOB (Sibling 2 birth year) must be a year between 1875 and the current year, or =9999 (Unknown)",IF  SIB2YOB<1875 or (SIB2YOB> current year and ne 9999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b2,SIB2AGD,SIB2AGD conditionally present,if SIBS is (>1 and <77) then SIB2AGD must be present,if Q3. SIBS (How many siblings?) is (>1 and <77) then Q3b2. SIB2AGD (Sibling 2 death age) must be present,IF SIBS is (>1 and <77) and SIB2AGD=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b2,SIB2AGD,SIB2AGD conditionally blank,"If SIBS is <2, 888 (N/A) or 999 (Unknown) then SIB2AGD must be blank","If Q3. SIBS (How many siblings?) is <2, 888 (N/A) or 999 (Unknown) then Q3b2. SIBXAGD (Sibling X death age) must be blank",IF (SIBS is <2 or =888 or =999) and SIB2AGDneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b2,SIB2AGD,SIB2AGD conforms,"SIB2AGD must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","Q3b2. SIB2AGD (Sibling 2 death age) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF SIB2AGD <0 or (SIB2AGD >110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b3,SIB2NPSYC,SIB2NPSYC conditionally present,if SIBS is (>1 and <77) then SIB2NPSYC must be present,if Q3. SIBS (How many siblings?) is (>1 and <77) then Q3b3. SIB2NPSYC (Sibling 2 neurological/psychological condition) must be present,IF SIBS is (>1 and <77) and SIB2NPSYC=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b3,SIB2NPSYC,SIB2NPSYC conditionally blank,"If SIBS is <2, 888 (N/A) or 999 (Unknown) then SIB2NPSYC must be blank","If Q3. SIBS (How many siblings?) is <2, 888 (N/A) or 999 (Unknown) then Q3b3. SIB2NPSYC (Sibling 2 neurological/psychological condition) must be blank",IF (SIBS is <2 or =888 or =999) and SIB2NPSYCneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b3,SIB2NPSYC,SIB2NPSYC conforms,"SIB2NPSYC must be an integer between 0 and 5, or =9 (Unknown)","Q3b3. SIB2NPSYC (Sibling 2 neurological/psychological condition) must be an integer between 0 and 5, or =9 (Unknown)",IF SIB2NPSYC <0 or (SIB2NPSYC >5 and ne 9),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b4,SIB2ETPR,SIB2ETPR conditionally present,if SIBS is (>1 and <77) and SIB2NPSYC is in (1-5) then SIB2ETPR must be present,If Q3. SIBS (How many siblings?) is (>1 and <77) and 3b3. SIB2NPSYC (Sibling 2 neurological/psychological condition) is in (1-5) then Q3b4. SIB2ETPR (Sibling 2 primary dx) must be present,IF SIBS is (>1 and <77) and SIB2NPSYC is in (1-5) and SIB2ETPR=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b4,SIB2ETPR,SIB2ETPR conditionally blank,"If SIBS is <2, 888 (N/A) or 999 (Unknown) or SIB2NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB2ETPR must be blank","If Q3. SIBS (How many siblings?) is <2, 888 (N/A) or 999 (Unknown) or 3b3. SIB2NPSYC (Sibling 2 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3b4. SIB2ETPRC (Sibling 2 neurological/psychological condition) must be blank",IF ((SIBS is <2 or =888 or =999) or (SIB2NPSYC= 0 or 9)) and SIB2ETPRneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b4,SIB2ETPR,SIB2ETPR conforms,"SIB2ETPR must be a code between 01 and 09, or =99 (Unknown)","3b4. SIB2ETPR (Sibling 1 primary dx) must be a code between 01 and 09, or =99 (Unknown)",IF SIB2ETPR <01 or (SIB2ETPR >09 and ne 99),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3b5,SIB2MEVAL,SIB2MEVAL conditionally present,if SIBS is (>1 and <77) and SIB2NPSYC is in (1-5) then SIB2MEVAL must be present,if Q3. SIBS (How many siblings?) is (>1 and <77) and 3b3. SIB2NPSYC (Sibling 2 neurological/psychological condition) is in (1-5) then Q3b5. SIB2MEVAL (Sibling 2 method of evaluation) must be present,IF SIBS is (>1 and <77) and SIB2NPSYC in (1-5) and SIB2MEVAL=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
