Form,Packet,Error #,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Error code,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
B3,IVP,11,TRESTFAC,TRESTFAC conditionally blank,If PDNORMAL is 1 then TRESTFAC must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q3a. TRESTFAC (Tremor at rest - face/lips/chin) must be blank,If PDNORMAL = 1 and TRESTFAC is not blank,b3-ivp-m-011,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,12,TRESTFAC,TRESTFAC conforms,TRESTFAC must be an integer between 0-4 or 8,Q3a. TRESTFAC (Tremor at rest - face/lips/chin) must be an integer between 0-4 or 8,IF TRESTFAC < 0 or (TRESTFAC > 4 and not equal to 8),b3-ivp-c-012,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,13,TRESTFAX,TRESTFAX conditionally present,If TRESTFAC is 8 then TRESTFAX must be present,If Q3a. TRESTFAC (Tremor at rest - face/lips/chin) is 8 (Untestable) then Q3a1. TRESTFAX (Untestable - Specify) must be present,IF TRESTFAC = 8 and TRESTFAX = blank,b3-ivp-m-013,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,14,TRESTRHD,TRESTRHD conditionally present,If PDNORMAL is 0 then TRESTRHD cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q3b. TRESTRHD (Tremor at rest - right hand) cannot be blank,IF PDNORMAL = 0 and TRESTRHD = blank,b3-ivp-m-014,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,15,TRESTRHD,TRESTRHD conditionally blank,If PDNORMAL is 1 then TRESTRHD must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q3b. TRESTRHD (Tremor at rest - right hand) must be blank,If PDNORMAL = 1 and TRESTRHD is not blank,b3-ivp-m-015,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,16,TRESTRHD,TRESTRHD conforms,TRESTRHD must be an integer between 0-4 or 8,Q3b. TRESTRHD (Tremor at rest - right hand) must be an integer between 0-4 or 8,IF TRESTRHD < 0 or (TRESTRHD > 4 and not equal to 8),b3-ivp-c-016,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,17,TRESTRHX,TRESTRHX conditionally present,If TRESTRHD is 8 then TRESTRHX must be present,If Q3b. TRESTRHD (Tremor at rest - right hand) is 8 (Untestable) then Q3b1. TRESTRHX (Untestable - Specify) must be present,IF TRESTRHD = 8 and TRESTRHX = blank,b3-ivp-m-017,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,18,TRESTLHD,TRESTLHD conditionally present,If PDNORMAL is 0 then TRESTLHD cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q3c. TRESTLHD (Tremor at rest - left hand) cannot be blank,IF PDNORMAL = 0 and TRESTLHD = blank,b3-ivp-m-018,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,19,TRESTLHD,TRESTLHD conditionally blank,If PDNORMAL is 1 then TRESTLHD must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q3c. TRESTLHD (Tremor at rest - left hand) must be blank,If PDNORMAL = 1 and TRESTLHD is not blank,b3-ivp-m-019,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,20,TRESTLHD,TRESTLHD conforms,TRESTLHD must be an integer between 0-4 or 8,Q3c. TRESTLHD (Tremor at rest - left hand) must be an integer between 0-4 or 8,IF TRESTLHD < 0 or (TRESTLHD > 4 and not equal to 8),b3-ivp-c-020,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,21,TRESTLHX,TRESTLHX conditionally present,If TRESTLHD is 8 then TRESTLHX must be present,If Q3c. TRESTLHD (Tremor at rest - left hand) is 8 (Untestable) then Q3c1. TRESTLHX (Untestable - Specify) must be present,IF TRESTLHD = 8 and TRESTLHX = blank,b3-ivp-m-021,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,22,TRESTRFT,TRESTRFT conditionally present,If PDNORMAL is 0 then TRESTRFT cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q3d. TRESTRFT (Tremor at rest - right foot) cannot be blank,IF PDNORMAL = 0 and TRESTRFT = blank,b3-ivp-m-022,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,23,TRESTRFT,TRESTRFT conditionally blank,If PDNORMAL is 1 then TRESTRFT must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q3d. TRESTRFT (Tremor at rest - right foot) must be blank,If PDNORMAL = 1 and TRESTRFT is not blank,b3-ivp-m-023,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,24,TRESTRFT,TRESTRFT conforms,TRESTRFT must be an integer between 0-4 or 8,Q3d. TRESTRFT (Tremor at rest - right foot) must be an integer between 0-4 or 8,IF TRESTRFT < 0 or (TRESTRFT > 4 and not equal to 8),b3-ivp-c-024,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,25,TRESTRFX,TRESTRFX conditionally present,If TRESTRFT is 8 then TRESTRFX must be present,If Q3d. TRESTRFT (Tremor at rest - right foot) is 8 (Untestable) then Q3d1. TRESTRFX (Untestable - Specify) must be present,IF TRESTRFT = 8 and TRESTRFX = blank,b3-ivp-m-025,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,26,TRESTLFT,TRESTLFT conditionally present,If PDNORMAL is 0 then TRESTLFT cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q3e. TRESTLFT (Tremor at rest - left foot) cannot be blank,IF PDNORMAL = 0 and TRESTLFT = blank,b3-ivp-m-026,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,27,TRESTLFT,TRESTLFT conditionally blank,If PDNORMAL is 1 then TRESTLFT must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q3e. TRESTLFT (Tremor at rest - left foot) must be blank,If PDNORMAL = 1 and TRESTLFT is not blank,b3-ivp-m-027,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,28,TRESTLFT,TRESTLFT conforms,TRESTLFT must be an integer between 0-4 or 8,Q3e. TRESTLFT (Tremor at rest - left foot) must be an integer between 0-4 or 8,IF TRESTLFT < 0 or (TRESTLFT > 4 and not equal to 8),b3-ivp-c-028,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,29,TRESTLFX,TRESTLFX conditionally present,If TRESTLFT is 8 then TRESTLFX must be present,If Q3e. TRESTLFT (Tremor at rest - left foot) is 8 (Untestable) then Q3e1. TRESTLFX (Untestable - Specify) must be present,IF TRESTLFT = 8 and TRESTLFX = blank,b3-ivp-m-029,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,30,TRACTRHD,TRACTRHD conditionally present,If PDNORMAL is 0 then TRACTRHD cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q4a. TRACTRHD (Action tremor - Right hand) cannot be blank,IF PDNORMAL = 0 and TRACTRHD = blank,b3-ivp-m-030,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,31,TRACTRHD,TRACTRHD conditionally blank,If PDNORMAL is 1 then TRACTRHD must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q4a. TRACTRHD (Action tremor - right hand) must be blank,If PDNORMAL = 1 and TRACTRHD is not blank,b3-ivp-m-031,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,32,TRACTRHD,TRACTRHD conforms,TRACTRHD must be an integer between 0-4 or 8,Q4a. TRACTRHD (Action tremor - Right hand) must be an integer between 0-4 or 8,IF TRACTRHD < 0 or (TRACTRHD > 4 and not equal to 8),b3-ivp-c-032,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,33,TRACTRHX,TRACTRHX conditionally present,If TRACTRHD is 8 then TRACTRHX must be present,If Q4a. TRACTRHD (Action tremor - Right hand) is 8 (Untestable) then Q4a1. TRACTRHX (Untestable - Specify) must be present,IF TRACTRHD = 8 and TRACTRHX = blank,b3-ivp-m-033,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,34,TRACTLHD,TRACTLHD conditionally present,If PDNORMAL is 0 then TRACTLHD cannot be blank ,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q4b. TRACTLHD (Action tremor - Left hand) cannot be blank,IF PDNORMAL = 0 and TRACTLHD = blank,b3-ivp-m-034,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,35,TRACTLHD,TRACTLHD conditionally blank,If PDNORMAL is 1 then TRACTLHD must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q4b. TRACTLHD (Action tremor - left hand) must be blank,If PDNORMAL = 1 and TRACTLHD is not blank,b3-ivp-m-035,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,36,TRACTLHD,TRACTLHD conforms,TRACTLHD must be an integer between 0-4 or 8,Q4b. TRACTLHD (Action tremor - Left hand) must be an integer between 0-4 or 8,IF TRACTLHD < 0 or (TRACTLHD > 4 and not equal to 8),b3-ivp-c-036,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,37,TRACTLHX,TRACTLHX conditionally present,If TRACTLHD is 8 then TRACTLHX must be present,If Q4b. TRACTLHD (Action tremor - Left hand) is 8 (Untestable) then Q4b1. TRACTLHX (Untestable - Specify) must be present,IF TRACTLHD = 8 and TRACTLHX = blank,b3-ivp-m-037,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,38,RIGDNECK,RIGDNECK conditionally present ,If PDNORMAL is 0 then RIGDNECK cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q5a. RIGDNECK (Rigidity - neck) cannot be blank,IF PDNORMAL = 0 and RIGDNECK = blank,b3-ivp-m-038,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,39,RIGDNECK,RIGDNECK conditionally blank,If PDNORMAL is 1 then RIGDNECK must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q5a. RIGDNECK (Rigidity - neck) must be blank,If PDNORMAL = 1 and RIDGNECK is not blank,b3-ivp-m-039,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,40,RIGDNECK,RIGDNECK conforms,RIGDNECK must be an integer between 0-4 or 8,Q5a. RIGDNECK (Rigidity - neck) must be an integer between 0-4 or 8,IF RIGDNECK < 0 or (RIGDNECK > 4 and not equal to 8),b3-ivp-c-040,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,41,RIGDNEX,RIGDNEX conditionally present,If RIGDNECK is 8 then RIGDNEX must be present,If Q5a. RIGDNECK (Rigidity - neck) is 8 (Untestable) then Q5a1. RIGDNEX (Untestable - Specify) must be present,IF RIGDNECK = 8 and RIGDNEX = blank,b3-ivp-m-041,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,42,RIGDUPRT,RIGDUPRT conditionally present,If PDNORMAL is 0 then RIGDUPRT cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q5b. RIGDUPRT (Rigidity - right upper extremity) cannot be blank,IF PDNORMAL = 0 and RIGDUPRT = blank,b3-ivp-m-042,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,43,RIGDUPRT,RIGDUPRT conditionally blank,If PDNORMAL is 1 then RIGDUPRT must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q5b. RIGDUPRT (Rigidity - right upper extremity) must be blank,If PDNORMAL = 1 and RIDGUPRT is not blank,b3-ivp-m-043,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,44,RIGDUPRT,RIGDUPRT conforms,RIGDUPRT must be an integer between 0-4 or 8,Q5b. RIGDUPRT (Rigidity - right upper extremity) must be an integer between 0-4 or 8,IF RIGDUPRT < 0 or (RIGDUPRT > 4 and not equal to 8),b3-ivp-c-044,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,45,RIGDUPRX,RIGDUPRX conditionally present,If RIGDUPRT is 8 then RIGDUPRX must be present,If Q5b. RIGDUPRT (Rigidity - right upper extremity) is 8 (Untestable) then Q5b1. RIGDUPRX (Untestable - Specify) must be present,IF RIGDUPRT = 8 and RIGDUPRX = blank,b3-ivp-m-045,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,46,RIGDUPLF,RIGDUPLF conditionally present,If PDNORMAL is 0 then RIGDUPLF cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q5c. RIGDUPLF (Rigidity - left upper extremity) cannot be blank,IF PDNORMAL = 0 and RIGDUPLF = blank,b3-ivp-m-046,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,47,RIGDUPLF,RIGDUPLF conditionally blank,If PDNORMAL is 1 then RIGDUPLF must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q5c. RIGDUPLF  (Rigidity - left upper extremity) must be blank,If PDNORMAL = 1 and RIGDUPLF is not blank,b3-ivp-m-047,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,48,RIGDUPLF,RIGDUPLF conforms,RIGDUPLF must be an integer between 0-4 or 8,Q5c. RIGDUPLF (Rigidity - left upper extremity) must be an integer between 0-4 or 8,IF RIGDUPLF < 0 or (RIGDUPLF > 4 and not equal to 8),b3-ivp-c-048,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,49,RIGDUPLX,RIGDUPLX conditionally present,If RIGDUPLF is 8 then RIGDUPLX must be present,If Q5c. RIGDUPLF (Rigidity - left upper extremity) is 8 (Untestable) then Q5c1. RIGDUPLX (Untestable - Specify) must be present,IF RIGDUPLF = 8 and RIGDUPLX = blank,b3-ivp-m-049,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,50,RIGDLORT,RIGDLORT conditionally present,If PDNORMAL is 0 then RIGDLORT cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q5d. RIGDLORT (Rigidity - right lower extremity) cannot be blank,IF PDNORMAL = 0 and RIGDLORT = blank,b3-ivp-m-050,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,51,RIGDLORT,RIGDLORT conditionally blank,If PDNORMAL is 1 then RIGDLORT must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q5d. RIGDLORT (Rigidity - right lower extremity) must be blank,If PDNORMAL = 1 and RIDGLORT is not blank,b3-ivp-m-051,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,52,RIGDLORT,RIGDLORT conforms,RIGDLORT must be an integer between 0-4 or 8,Q5d. RIGDLORT (Rigidity - right lower extremity) must be an integer between 0-4 or 8,IF RIGDLORT < 0 or (RIGDLORT > 4 and not equal to 8),b3-ivp-c-052,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,53,RIGDLORX,RIGDLORX conditionally present,If RIGDLORT is 8 then RIGDLORX must be present,If Q5d. RIGDLORT (Rigidity - right lower extremity) is 8 (Untestable) then Q5d1. RIGDLORX (Untestable - Specify) must be present,IF RIGDLORT = 8 and RIGDLORX = blank,b3-ivp-m-053,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,54,RIGDLOLF,RIGDLOLF conditionally present,If PDNORMAL is 0 then RIGDLOLF cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q5e. RIGDLOLF (Rigidity - left lower extremity) cannot be blank,IF PDNORMAL = 0 and RIGDLOLF = blank,b3-ivp-m-054,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,55,RIGDLOLF,RIGDLOLF conditionally blank,If PDNORMAL is 1 then RIGDLOLF must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q5e. RIGDLOLF (Rigidity - left lower extremity) must be blank,If PDNORMAL = 1 and RIGDLOLF is not blank,b3-ivp-m-055,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,56,RIGDLOLF,RIGDLOLF conforms,RIGDLOLF must be an integer between 0-4 or 8,Q5e. RIGDLOLF (Rigidity - left lower extremity) must be an integer between 0-4 or 8,IF RIGDLOLF < 0 or (RIGDLOLF > 4 and not equal to 8),b3-ivp-c-056,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,57,RIGDLOLX,RIGDLOLX conditionally present,If RIGDLOLF is 8 then RIGDLOLX must be present,If Q5e. RIGDLOLF (Rigidity - left lower extremity) is 8 (Untestable) then Q5e1. RIGDLOLX (Untestable - Specify) must be present,IF RIGDLOLF = 8 and RIGDLOLX = blank,b3-ivp-m-057,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,58,TAPSRT,TAPSRT conditionally present,If PDNORMAL is 0 then TAPSRT cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q6a. TAPSRT (Finger taps - right hand) cannot be blank,IF PDNORMAL = 0 and TAPSRT = blank,b3-ivp-m-058,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,59,TAPSRT,TAPSRT conditionally blank,If PDNORMAL is 1 then TAPSRT must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q6a. TAPSRT (Finger taps - right hand) must be blank,If PDNORMAL = 1 and TAPSRT is not blank,b3-ivp-m-059,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,60,TAPSRT,TAPSRT conforms,TAPSRT must be an integer between 0-4 or 8,Q6a. TAPSRT (Finger taps - right hand) must be an integer between 0-4 or 8,IF TAPSRT < 0 or (TAPSRT > 4 and not equal to 8),b3-ivp-c-060,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,61,TAPSRTX,TAPSRTX conditionally present,If TAPSRT is 8 then TAPSRTX must be present,If Q6a. TAPSRT (Finger taps - right hand) is 8 (Untestable) then Q6a1. TAPSRTX (Untestable - Specify) must be present,IF TAPSRT = 8 and TAPSRTX = blank,b3-ivp-m-061,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,62,TAPSLF,TAPSLF conditionally present,If PDNORMAL is 0 then TAPSLF cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q6b. TAPSLF (Finger taps - left hand) cannot be blank,IF PDNORMAL = 0 and TAPSLF = blank,b3-ivp-m-062,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,63,TAPSLF,TAPSLF conditionally blank,If PDNORMAL is 1 then TAPSLF must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q6b. TAPSLF (Finger taps - left hand) must be blank,If PDNORMAL = 1 and TAPSLF is not blank,b3-ivp-m-063,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,64,TAPSLF,TAPSLF conforms,TAPSLF must be an integer between 0-4 or 8,Q6b. TAPSLF (Finger taps - left hand) must be an integer between 0-4 or 8,IF TAPSLF < 0 or (TAPSLF > 4 and not equal to 8),b3-ivp-c-064,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,65,TAPSLFX,TAPSLFX conditionally present,If TAPSLF is 8 then TAPSLFX must be present,If Q6b. TAPSLF (Finger taps - left hand) is 8 (Untestable) then Q6b1. TAPSLFX (Untestable - Specify) must be present,IF TAPSLF = 8 and TAPSLFX = blank,b3-ivp-m-065,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,66,HANDMOVR,HANDMOVR conditionally present,If PDNORMAL is 0 then HANDMOVR cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q7a. HANDMOVR (Hand movements - right hand) cannot be blank,IF PDNORMAL = 0 and HANDMOVR = blank,b3-ivp-m-066,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,67,HANDMOVR,HANDMOVR conditionally blank,If PDNORMAL is 1 then HANDMOVR must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q7a. HANDMOVR (Hand movements - right hand) must be blank,If PDNORMAL = 1 and HANDMOVR is not blank,b3-ivp-m-067,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,68,HANDMOVR,HANDMOVR conforms,HANDMOVR must be an integer between 0-4 or 8,Q7a. HANDMOVR (Hand movements - right hand) must be an integer between 0-4 or 8,IF HANDMOVR < 0 or (HANDMOVR > 4 and not equal to 8),b3-ivp-c-068,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,69,HANDMVRX,HANDMVRX conditionally present,If HANDMOVR is 8 then HANDMVRX must be present,If Q7a. HANDMOVR (Hand movements - right hand) is 8 (Untestable) then Q7a1. HANDMVRX (Untestable - Specify) must be present,IF HANDMOVR = 8 and HANDMVRX = blank,b3-ivp-m-069,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,70,HANDMOVL,HANDMOVL conditionally present,If PDNORMAL is 0 then HANDMOVL cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q7b. HANDMOVL (Hand movements - left hand) cannot be blank,IF PDNORMAL = 0 and HANDMOVL = blank,b3-ivp-m-070,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,71,HANDMOVL,HANDMOVL conditionally blank,If PDNORMAL is 1 then HANDMOVL must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q7b. HANDMOVL (Hand movements- left hand) must be blank,If PDNORMAL = 1 and HANDMOVL is not blank,b3-ivp-m-071,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,72,HANDMOVL,HANDMOVL conforms,HANDMOVL must be an integer between 0-4 or 8,Q7b. HANDMOVL (Hand movements - left hand) must be an integer between 0-4 or 8,IF HANDMOVL < 0 or (HANDMOVL > 4 and not equal to 8),b3-ivp-c-072,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,73,HANDMVLX,HANDMVLX conditionally present,If HANDMOVL is 8 then HANDMVLX must be present,If Q7b. HANDMOVL (Hand movements - left hand) is 8 (Untestable) then Q7b1. HANDMVLX (Untestable - Specify) must be present,IF HANDMOVL = 8 and HANDMVLX = blank,b3-ivp-m-073,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,74,HANDALTR,HANDALTR conditionally present,If PDNORMAL is 0 then HANDALTR cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q8a. HANDALTR (Rapid alternating movement - right hand) cannot be blank,IF PDNORMAL = 0 and HANDALTR = blank,b3-ivp-m-074,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,75,HANDALTR,HANDALTR conditionally blank,If PDNORMAL is 1 then HANDALTR must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q8a. HANDMOVL (Rapid alternating movement - right hand) must be blank,If PDNORMAL = 1 and HANDALTR is not blank,b3-ivp-m-075,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,76,HANDALTR,HANDALTR conforms,HANDALTR must be an integer between 0-4 or 8,Q8a. HANDALTR (Rapid alternating movement - right hand) must be an integer between 0-4 or 8,IF HANDALTR < 0 or (HANDALTR > 4 and not equal to 8),b3-ivp-c-076,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,77,HANDATRX,HANDATRX conditionally present,If HANDALTR is 8 then HANDATRX must be present,If Q8a. HANDALTR (Rapid alternating movement - right hand) is 8 (Untestable) then Q8a1. HANDATRX (Untestable - Specify) must be present,IF HANDALTR = 8 and HANDATRX = blank,b3-ivp-m-077,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,78,HANDALTL,HANDALTL conditionally present,If PDNORMAL is 0 then HANDALTL cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q8b. HANDALTL (Rapid alternating movement - left hand) cannot be blank,IF PDNORMAL = 0 and HANDALTL = blank ,b3-ivp-m-078,n/a,n/a,Error,Yes,Missingness,Yes,
