Variable,Error_alert test name,Short test Description (English),Full test Description_English,Test Description Logic,Forms compared in test,Variables compared in test,Error or alert,Can be done in REDCap,Type of test,Were these variables_concepts previous versions of UDS,Questions for domain experts
PAYATTN,PAYATTN must be present,PAYATTN cannot be blank,"Q8. PAYATTN (difficulty with paying attention to TV, books, magazines) cannot be blank",IF PAYATTN=blank,n/a,n/a,Error,Yes,Missingness,Yes,
PAYATTN,PAYATTN conforms,"PAYATTN must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)","Q8. PAYATTN (difficulty with paying attention to TV, books, magazines) must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)",IF  PAYATTN<0 or (PAYATTN>3 and ?8 or 9),n/a,n/a,Error,No,Conformity,Yes,
REMDATES,REMDATES must be present,REMDATES cannot be blank,"Q9. REMDATES (difficulty with remembering appointments, holidays, medications) cannot be blank",IF REMDATES=blank,n/a,n/a,Error,Yes,Missingness,Yes,
REMDATES,REMDATES conforms,"REMDATES must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)","Q9. REMDATES (difficulty with remembering appointments, holidays, medications) must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)",IF  REMDATES<0 or (REMDATES>3 and ?8 or 9),n/a,n/a,Error,No,Conformity,Yes,
TRAVEL,TRAVEL must be present,TRAVEL cannot be blank,"Q10. TRAVEL (difficulty with travling, driving, public transport) cannot be blank",IF TRAVEL=blank,n/a,n/a,Error,Yes,Missingness,Yes,
TRAVEL,TRAVEL conforms,"TRAVEL must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)","Q10. TRAVEL (difficulty with travling, driving, public transport) must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)",IF  TRAVEL<0 or (TRAVEL>3 and ?8 or 9),n/a,n/a,Error,No,Conformity,Yes,
,,,,,,,,,,,
Plausibility checks,,,,,,,,,,,
Variable,Error/alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables/concepts previous versions of UDS?,Question(s) for domain experts
"STOVE, MEALPREP",STOVE compared to MEALPREP,"IF STOVE=0 (normal), MEALPREP should not =3 (dependent)","Q5. STOVE (difficulty with using stove or kitchen appliances) =0 (normal), but Q6. MEALPREP (difficulty withpreparing meals) =3 (dependent)",IF STOVE=0 and MEALPREP=3,B7,"STOVE, MEALPREP",Alert,No,Plausibility,Yes,
"STOVE, MEALPREP",STOVE compared to MEALPREP,"IF STOVE=3 (dependent), MEALPREP should not =0 (normal)","Q5. STOVE (difficulty with using stove or kitchen appliances) =3 (dependent), but Q6. MEALPREP (difficulty withpreparing meals) =0 (normal)",IF STOVE=3 and MEALPREP=0,B7,"STOVE, MEALPREP",Alert,No,Plausibility,Yes,
