form_name,packet,question,var_name,missingness,conformity,resonse_labels,data_type,branching_logic
d1b,I,6a2. Elevated tau pathology,TAUPET,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[petdx]=1 or [petdx]=2
d1b,I,6b. FDG PET - Was FDG PET data or information used to support an etiological diagnosis?,FDGPETDX,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[imagingdx]='1' or [imagingdx]='3'
d1b,I,6b1. FDG PET - Consistent with AD,FDGAD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fdgpetdx]=1 or [fdgpetdx]=2
d1b,I,6b2. FDG PET - Consistent with FTLD,FDGFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fdgpetdx]=1 or [fdgpetdx]=2
d1b,I,6b3. FDG PET - Consistent with LBD,FDGLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fdgpetdx]=1 or [fdgpetdx]=2
d1b,I,6b4. FDG PET - Consistent with other etiology,FDGOTH,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fdgpetdx]=1 or [fdgpetdx]=2
d1b,I,6b4a. FDG PET - Consistent with other etiology (specify),FDGOTHX,Conditional (e.g. skip pattern),Any text,,String,
d1b,I,6c. Dopamine Transporter (DAT) Scan - Was DAT Scan data or information used to support an etiological diagnosis?,DATSCANDX,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[biomarkdx]='1' and ([imagingdx]='1' or [imagingdx]='3')
d1b,I,6d. Other tracer-based imaging - Were other tracer-based imaging used to support an etiological diagnosis?,TRACOTHDX,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[biomarkdx]='1' and ([imagingdx]='1' or [imagingdx]='3')
d1b,I,6d1a. Other tracer-based imaging - Were other tracer-based imaging used to support an etiological diagnosis? (specify),TRACOTHDXX,Conditional (e.g. skip pattern),Any text,,String,[tracothdx]='1' or [tracothdx]='2'
d1b,I,6d1. Other tracer-based imaging - Consistent with AD,TRACERAD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[tracothdx]='1' or [tracothdx]='2'
d1b,I,6d2. Other tracer-based imaging - Consistent with FTLD,TRACERFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[tracothdx]='1' or [tracothdx]='2'
d1b,I,6d3. Other tracer-based imaging - Consistent with LBD,TRACERLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[tracothdx]='1' or [tracothdx]='2'
d1b,I,6d4. Other tracer-based imaging - Consistent with other etiology,TRACEROTH,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[tracothdx]='1' or [tracothdx]='2'
d1b,I,6d4a. Other tracer-based imaging - Consistent with other etiology (specify),TRACEROTHX,Conditional (e.g. skip pattern),Any text,,String,
d1b,I,"7a. Structural Imaging (i.e., MRI or CT) - Was structural imaging data or information used to support an etiological diagnosis?",STRUCTDX,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[imagingdx]=2 or [imagingdx]=3
d1b,I,7a1. Atrophy pattern conistent with AD,STRUCTAD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[structdx]='1' or [structdx]='2'
d1b,I,7a2. Atrophy pattern consistent with FTLD,STRUCTFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[structdx]='1' or [structdx]='2'
d1b,I,7a3. Consistent with cerebrovascular disease (CVD),STRUCTCVD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[structdx]='1' or [structdx]='2'
d1b,I,7a3a. Large vessel infarct(s),IMAGLINF,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[structcvd]='1'
d1b,I,7a3b. Lacunar infarct(s),IMAGLAC,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[structcvd]='1'
d1b,I,7a3c. Macrohemorrhage(s),IMAGMACH,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[structcvd]='1'
d1b,I,7a3d. Microhemorrhage(s),IMAGMICH,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[structcvd]='1'
d1b,I,7a3e. Moderate white-matter hyperintensity (CHS score 5-6),IMAGMWMH,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[structcvd]='1'
d1b,I,7a3f. Extensive white-matter hyperinensity (CHS score 7-8+),IMAGEWMH,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[structcvd]='1'
d1b,I,8. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis?,OTHBIOM1,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,
d1b,I,8a1. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis? (specify),OTHBIOMX1,Conditional (e.g. skip pattern),Any text,,String,[othbiom1]='1' or [othbiom1]='2'
d1b,I,8a. Other biomarker modality - Consistent with AD,BIOMAD1,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom1]='1' or [othbiom1]='2'
d1b,I,8b. Other biomarker modality - Consistent with FTLD,BIOMFTLD1,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom1]='1' or [othbiom1]='2'
d1b,I,8c. Other biomarker modality - Consistent with LBD,BIOMLBD1,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom1]='1' or [othbiom1]='2'
d1b,I,8d. Other biomarker modality - Consistent with other etiology,BIOMOTH1,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom1]='1' or [othbiom1]='2'
d1b,I,8d1. Other biomarker modality - Consistent with other etiology (specify),BIOMOTHX1,Conditional (e.g. skip pattern),Any text,,String,
d1b,I,9. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis?,OTHBIOM2,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[othbiom1]='1' or [othbiom1]='2'
d1b,I,9a1. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis? (specify),OTHBIOMX2,Conditional (e.g. skip pattern),Any text,,String,[othbiom2]='1' or [othbiom2]='2'
d1b,I,9a. Other biomarker modality - Consistent with AD,BIOMAD2,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom2]='1' or [othbiom2]='2'
d1b,I,9b. Other biomarker modality - Consistent with FTLD,BIOMFTLD2,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom2]='1' or [othbiom2]='2'
d1b,I,9c. Other biomarker modality - Consistent with LBD,BIOMLBD2,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom2]='1' or [othbiom2]='2'
d1b,I,9d. Other biomarker modality - Consistent with other etiology,BIOMOTH2,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom2]='1' or [othbiom2]='2'
d1b,I,9d1. Other biomarker modality - Consistent with other etiology (specify),BIOMOTHX2,Conditional (e.g. skip pattern),Any text,,String,
d1b,I,10. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis?,OTHBIOM3,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[othbiom2]='1' or [othbiom2]='2'
d1b,I,10a1. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis? (specify),OTHBIOMX3,Conditional (e.g. skip pattern),Any text,,String,[othbiom3]='1' or [othbiom3]='2'
d1b,I,10a. Other biomarker modality - Consistent with AD,BIOMAD3,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom3]='1' or [othbiom3]='2'
d1b,I,10b. Other biomarker modality - Consistent with FTLD,BIOMFTLD3,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom3]=1 or [othbiom3]=2
d1b,I,10c. Other biomarker modality - Consistent with LBD,BIOMLBD3,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom3]='1' or [othbiom3]='2'
d1b,I,10d. Other biomarker modality - Consistent with other etiology,BIOMOTH3,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[othbiom3]='1' or [othbiom3]='2'
d1b,I,10d1. Other biomarker modality - Consistent with other etiology (specify),BIOMOTHX3,Conditional (e.g. skip pattern),Any text,,String,
d1b,I,11. Is there an autosomal dominant pathogenic variant to support an etiological diagnosis?,AUTDOMMUT,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Unknown/Not disclosed",Integer,
d1b,I,12. Alzheimer's disease,ALZDIS,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"12a. Primary, contributing, or non-contributing - Alzheimer's disease",ALZDISIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[alzdis] = '1'
d1b,I,13. Lewy body disease,LBDIS,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"13a. Primary, contributing, or non-contributing - Lewy body disease",LBDIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[lbdis] = '1'
d1b,I,14. Frontotemporal lobar degeneration,FTLD,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"14a. Primary, contributing, or non-contributing - Frontotemporal lobar degeneration",FTLDIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[ftld] = '1'
d1b,I,14b1. Progressive supranuclear palsy (PSP),PSP,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,[ftld] = '1'
d1b,I,"14b1a. Primary, contributing, or non-contributing - Progressive supranuclear palsy (PSP)",PSPIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[psp] = '1'
d1b,I,14b2. Corticobasal degeneration (CBD),CORT,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,[ftld] = '1'
d1b,I,"14b2a. Primary, contributing, or non-contributing - Corticobasal degeneration (CBD)",CORTIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[cort] = '1'
d1b,I,14b3. FTLD with motor neuron disease,FTLDMO,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,[ftld] = '1'
d1b,I,"14b3a. Primary, contributing, or non-contributing - FTLD with motor neuron disease",FTLDMOIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[ftldmo] = '1'
d1b,I,14b4. FTLD not otherwise specified (NOS),FTLDNOS,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,[ftld] = '1'
d1b,I,"14b4a. Primary, contributing, or non-contributing - FTLD not otherwise specified (NOS)",FTLDNOIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[ftldnos] = '1'
d1b,I,14c. FTLD subtype,FTLDSUBT,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Tauopathy|2, TDP-43 proteinopathy|3, Other|9, Unknown",Integer,[ftld] = '1'
d1b,I,14c1. Other FTLD subtype (specify),FTLDSUBX,Conditional (e.g. skip pattern),Any text,,String,[ftldsubt]=3
d1b,I,15. Vascular brain injury (based on clinical and imaging evidence according to your Center's standards),CVD,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"15a.  Primary, contributing, or non-contributing - Vascular brain injury",CVDIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[cvd] = '1'
d1b,I,16. Multiple system atrophy,MSA,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"16a. Primary, contributing, or non-contributing - Multiple system atrophy",MSAIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[msa] = '1'
d1b,I,17. Chronic traumatic encephalopathy,CTE,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"17a. Primary, contributing, or non-contributing - Chronic traumatic encephalopathy",CTEIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[cte] = '1'
d1b,I,18. Down syndrome,DOWNS,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"18a. Primary, contributing, or non-contributing - Down syndrome",DOWNSIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[downs] = '1'
d1b,I,19. Huntington's disease,HUNT,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"19a. Primary, contributing, or non-contributing - Huntington's disease",HUNTIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[hunt] = '1'
d1b,I,"20. Prion disease (CJD, other)",PRION,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"20a. Primary, contributing, or non-contributing - Prion disease (CJD, other)",PRIONIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[prion] = '1'
d1b,I,21. Cerebral amyloid angiopathy,CAA,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"21a. Primary, contributing, or non-contributing - Cerebral amyloid angiopathy",CAAIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[caa] = '1'
d1b,I,22. LATE: Limbic-predominant age-related TDP-43 encephalopathy,LATE,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"22a. Primary, contributing, or non-contributing - LATE",LATEIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[late] = '1'
d1b,I,23. Other,OTHCOG,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,
d1b,I,"23a. Primary, contributing, or non-contributing - Other",OTHCOGIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[othcog] = '1'
d1b,I,23b. Other (specify),OTHCOGX,Conditional (e.g. skip pattern),Any text,,String,[othcog]='1'
