Form,Packet,Question,Variable (limit=10 characters),MISSINGNESS: Is this required to be present if this form is submitted? ,"CONFORMITY: What values/ranges/characters, etc. are allowed for this field?"
D1b,IVP,9. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis?,OTHBIOM2,Conditional (e.g. skip pattern),Integers 0-2
D1b,IVP,9a1. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis? (specify),OTHBIOMX2,Conditional (e.g. skip pattern),Any text
D1b,IVP,9a. Other biomarker modality - Consistent with AD,BIOMAD2,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,9b. Other biomarker modality - Consistent with FTLD,BIOMFTLD2,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,9c. Other biomarker modality - Consistent with LBD,BIOMLBD2,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,9d. Other biomarker modality - Consistent with other etiology,BIOMOTH2,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,9d1. Other biomarker modality - Consistent with other etiology (specify),BIOMOTHX2,Conditional (e.g. skip pattern),Any text
D1b,IVP,10. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis?,OTHBIOM3,Conditional (e.g. skip pattern),Integers 0-2
D1b,IVP,10a1. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis? (specify),OTHBIOMX3,Conditional (e.g. skip pattern),Any text
D1b,IVP,10a. Other biomarker modality - Consistent with AD,BIOMAD3,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,10b. Other biomarker modality - Consistent with FTLD,BIOMFTLD3,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,10c. Other biomarker modality - Consistent with LBD,BIOMLBD3,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,10d. Other biomarker modality - Consistent with other etiology,BIOMOTH3,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,10d1. Other biomarker modality - Consistent with other etiology (specify),BIOMOTHX3,Conditional (e.g. skip pattern),Any text
D1b,IVP,11. Is there an autosomal dominant pathogenic variant to support an etiological diagnosis?,AUTDOMMUT,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,12. Alzheimer's disease,ALZDIS,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"12a. Primary, contributing, or non-contributing - Alzheimer's disease",ALZDISIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,13. Lewy body disease,LBDIS,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"13a. Primary, contributing, or non-contributing - Lewy body disease",LBDIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,14. Frontotemporal lobar degeneration,FTLD,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"14a. Primary, contributing, or non-contributing - Frontotemporal lobar degeneration",FTLDIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,14ba. Primary supranuclear palsy (PSP),PSP,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"14b1a. Primary, contributing, or non-contributing - Primary supranuclear palsy (PSP)",PSPIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,14b2. Corticobasal degeneration (CBD),CORT,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"14b2a. Primary, contributing, or non-contributing - Corticobasal degeneration (CBD)",CORTIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,14b3. FTLD with motor neuron disease,FTLDMO,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"14b3a. Primary, contributing, or non-contributing - FTLD with motor neuron disease",FTLDMOIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,14b4. FTLD not otherwise specified (NOS),FTLDNOS,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"14b4a. Primary, contributing, or non-contributing - FTLD not otherwise specified (NOS)",FTLDNOIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,14c. FTLD subtype,FTLDSUBT,Conditional (e.g. skip pattern),"Integers 1-3, 9"
D1b,IVP,14c1. Other FTLD subtype (specify),FTLDSUBX,Conditional (e.g. skip pattern),Any text
D1b,IVP,15. Vascular brain injury (based on clinical and imaging evidence according to your Center's standards),CVD,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"15a.  Primary, contributing, or non-contributing - Vascular brain injury",CVDIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,16. Multiple system atrophy,MSA,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"16a. Primary, contributing, or non-contributing - Multiple system atrophy",MSAIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,17. Chronic traumatic encephalopathy,CTE,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"17a. Primary, contributing, or non-contributing - Chronic traumatic encephalopathy",CTEIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,18. Down syndrome,DOWNS,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"18a. Primary, contributing, or non-contributing - Down syndrome",DOWNSIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,19. Huntington's disease,HUNT,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"19a. Primary, contributing, or non-contributing - Huntington's disease",HUNTIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,"20. Prion disease (CJD, other)",PRION,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"20a. Primary, contributing, or non-contributing - Prion disease (CJD, other)",PRIONIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,21. Cerebral amyloid angiopathy,CAA,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"21a. Primary, contributing, or non-contributing - Cerebral amyloid angiopathy",CAAIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,22. LATE: Limbic-predominant age-related TDP-43 encephalopathy,LATE,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"22a. Primary, contributing, or non-contributing - LATE",LATEIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,23. Other,OTHCOG,Conditional (e.g. skip pattern),1 or blank
D1b,IVP,"23a. Primary, contributing, or non-contributing - Other",OTHCOGIF,Conditional (e.g. skip pattern),Integers 1-3
D1b,IVP,23b. Other (specify),OTHCOGX,Conditional (e.g. skip pattern),Any text
