Status,Form ,Version,v4 IVP Q#,v4 FVP Q#,Variable,VariableType,Short Descriptor,Data Type,Allowable Codes,Description/derivation,TT code
Existing,A4,1-4,,,NACCLIPL,NACC derived variable,Reported current use of lipid lowering medication,Numeric longitudinal,"0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form","This variable indicates reported current use of lipid lowering medication. In UDSv1-3, medications were derived from the Multum/Lexi-Comp© therapeutic drug categories and included the following drugs.  

[Insert prior drug table here]

Starting in UDSv4, medications were derived from drug (product-level) ATC class membership curated by the National Library of Medicine. See list in ATC class C10 [https://mor.nlm.nih.gov/RxClass/search?query=C10%7CATC1-4&searchBy=class&sourceIds=&drugSources=atc1-4%7Catcprod%2Cepc%7Cdailymed%2Cdisease%7Cmedrt%2Cchem%7Cdailymed%2Cmoa%7Cdailymed%2Cpe%7Cdailymed%2Cpk%7Cmedrt%2Ctc%7Cfmtsme%2Cva%7Cva%2Cdispos%7Csnomedct%2Cstruct%7Csnomedct%2Cschedule%7Crxnorm%2Ccvx%7Ccdc#] from RxClass.","v4: 
If any of RXNORM1-40 has classID [https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxClass.findClassesById.html] in ('C10'), then NACCLIPLI=1

Else if ANYMEDS=1 and RXNORM1-40 do not have classID in ('C10'), then NACCLIPL=0"
Existing,A4,1-4,,,NACCNSD,NACC derived variable,Reported current use of nonsteroidal anti-inflammatory medication,Numeric longitudinal,"0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form","This variable indicates reported current use of non-steroidal anti-inflammatory medication. In UDSv1-3, medications were derived from the Multum/Lexi-Comp© therapeutic drug categories and included the following drugs. 

[Insert prior drug table here]

Starting in UDSv4, medications were derived from drug (product-level) ATC class membership curated by the National Library of Medicine. See list in ATC class M01A [https://mor.nlm.nih.gov/RxClass/search?query=M01A%7CATC1-4&searchBy=class&sourceIds=&drugSources=atc1-4%7Catcprod%2Cepc%7Cdailymed%2Cdisease%7Cmedrt%2Cchem%7Cdailymed%2Cmoa%7Cdailymed%2Cpe%7Cdailymed%2Cpk%7Cmedrt%2Ctc%7Cfmtsme%2Cva%7Cva%2Cdispos%7Csnomedct%2Cstruct%7Csnomedct%2Cschedule%7Crxnorm%2Ccvx%7Ccdc#] from RxClass.","v4: 
If any of RXNORM1-40 has classID [https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxClass.findClassesById.html] in ('M01A'), then NACCNSD=1

Else if ANYMEDS=1 and RXNORM1-40 do not have classID in ('M01A'), then NACCNSD=0"
Existing,A4,1-4,,,NACCAC,NACC derived variable,Reported current use of an anticoagulant or antiplatelet agent,Numeric longitudinal,"0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form","This variable indicates reported current use of an anticoagulant or antiplatelet agent. In UDSv1-3, medications were derived from the Multum/Lexi-Comp© therapeutic drug categories and included the following drugs.

[Insert prior drug table here]
 
Starting in UDSv4, medications were derived from drug (product-level) ATC class membership curated by the National Library of Medicine. See list in ATC class B01 [https://mor.nlm.nih.gov/RxClass/search?query=B01%7CATC1-4&searchBy=class&sourceIds=&drugSources=atc1-4%7Catcprod%2Cepc%7Cdailymed%2Cdisease%7Cmedrt%2Cchem%7Cdailymed%2Cmoa%7Cdailymed%2Cpe%7Cdailymed%2Cpk%7Cmedrt%2Ctc%7Cfmtsme%2Cva%7Cva%2Cdispos%7Csnomedct%2Cstruct%7Csnomedct%2Cschedule%7Crxnorm%2Ccvx%7Ccdc#] from RxClass.","v4: 
If any of RXNORM1-40 has classID [https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxClass.findClassesById.html] in ('B01'), then NACCAC=1

Else if ANYMEDS=1 and RXNORM1-40 do not have classID in ('B01'), then NACCAC=0"
Existing,A4,1-4,,,NACCADEP,NACC derived variable,Reported current use of an antidepressant,Numeric longitudinal,"0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form","This variable indicates reported current use of an antidepressant. In UDSv1-3, medications were derived from the Multum/Lexi-Comp© therapeutic drug categories and included the following drugs. 

[Insert prior drug table here]
                                                                                                                                                                                                                                                                      Starting in UDSv4, medications were derived from drug (product-level) ATC class membership curated by the National Library of Medicine. See list in ATC class N06A [https://mor.nlm.nih.gov/RxClass/search?query=N06A%7CATC1-4&searchBy=class&sourceIds=&drugSources=atc1-4%7Catcprod%2Cepc%7Cdailymed%2Cdisease%7Cmedrt%2Cchem%7Cdailymed%2Cmoa%7Cdailymed%2Cpe%7Cdailymed%2Cpk%7Cmedrt%2Ctc%7Cfmtsme%2Cva%7Cva%2Cdispos%7Csnomedct%2Cstruct%7Csnomedct%2Cschedule%7Crxnorm%2Ccvx%7Ccdc#] from RxClass.","v4: 
If any of RXNORM1-40 has classID [https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxClass.findClassesById.html] in ('N06A'), then NACCADEP=1

Else if ANYMEDS=1 and RXNORM1-40 do not have classID in ('N06A'), then NACCADEP=0"
Existing,A4,1-4,,,NACCAPSY,NACC derived variable,Reported current use of an antipsychotic agent,Numeric longitudinal,"0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form","This variable indicates reported current use of an antipsychotic agent. In UDSv1-3, medications were derived from the Multum/Lexi-Comp© therapeutic drug categories and included the following drugs.

[Insert prior drug table here]
                                                                                                                                                                                                                                         Starting in UDSv4, medications were derived from drug (product-level) ATC class membership curated by the National Library of Medicine. See list in ATC class N05A [https://mor.nlm.nih.gov/RxClass/search?query=N05A%7CATC1-4&searchBy=class&sourceIds=&drugSources=atc1-4%7Catcprod%2Cepc%7Cdailymed%2Cdisease%7Cmedrt%2Cchem%7Cdailymed%2Cmoa%7Cdailymed%2Cpe%7Cdailymed%2Cpk%7Cmedrt%2Ctc%7Cfmtsme%2Cva%7Cva%2Cdispos%7Csnomedct%2Cstruct%7Csnomedct%2Cschedule%7Crxnorm%2Ccvx%7Ccdc#] from RxClass.","v4: 
If any of RXNORM1-40 has classID [https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxClass.findClassesById.html] in ('N05A'), then NACCAPSY=1

Else if ANYMEDS=1 and RXNORM1-40 do not have classID in ('N05A'), then NACCAPSY=0"
Existing,A4,1-4,,,NACCAANX,NACC derived variable,"Reported current use of an anxiolytic, sedative, or hypnotic agent",Numeric longitudinal,"0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form","This variable indicates reported current use of an anxiolytic, sedative, or hypnotic agent. In UDSv1-3, medications were derived from the Multum/Lexi-Comp© therapeutic drug categories and included the following drugs. 

[Insert prior drug table here]

Starting in UDSv4, medications were derived from drug (product-level) ATC class membership curated by the National Library of Medicine. See lists in ATC classes N05B [https://mor.nlm.nih.gov/RxClass/search?query=N05B%7CATC1-4&searchBy=class&sourceIds=&drugSources=atc1-4%7Catcprod%2Cepc%7Cdailymed%2Cdisease%7Cmedrt%2Cchem%7Cdailymed%2Cmoa%7Cdailymed%2Cpe%7Cdailymed%2Cpk%7Cmedrt%2Ctc%7Cfmtsme%2Cva%7Cva%2Cdispos%7Csnomedct%2Cstruct%7Csnomedct%2Cschedule%7Crxnorm%2Ccvx%7Ccdc#] and N05C [https://mor.nlm.nih.gov/RxClass/search?query=N05C%7CATC1-4&searchBy=class&sourceIds=&drugSources=atc1-4%7Catcprod%2Cepc%7Cdailymed%2Cdisease%7Cmedrt%2Cchem%7Cdailymed%2Cmoa%7Cdailymed%2Cpe%7Cdailymed%2Cpk%7Cmedrt%2Ctc%7Cfmtsme%2Cva%7Cva%2Cdispos%7Csnomedct%2Cstruct%7Csnomedct%2Cschedule%7Crxnorm%2Ccvx%7Ccdc#] from RxClass.","v4: 
If any of RXNORM1-40 has classID [https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxClass.findClassesById.html] in ('N05B' , 'N05C'), then NACCAANX=1

Else if ANYMEDS=1 and RXNORM1-40 do not have classID in ('N05B' , 'N05C'), then NACCAANX=0"
Existing,A4,1-4,,,NACCADMD,NACC derived variable,Reported current use of a FDA-approved medication for Alzheimer’s disease symptoms,Numeric longitudinal,"0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form","This variable indicates reported current use of an FDA-approved medication for Alzheimer's disease symptoms. In UDSv1-3, medications were derived from the Multum/Lexi-Comp© therapeutic drug categories and included the following drugs.   

[Insert prior drug table here]              
                                                                                                                           
Starting in UDSv4, medications were derived from drug (product-level) ATC class membership curated by the National Library of Medicine. See list in ATC class N06D [https://mor.nlm.nih.gov/RxClass/search?query=N06D%7CATC1-4&searchBy=class&sourceIds=&drugSources=atc1-4%7Catcprod%2Cepc%7Cdailymed%2Cdisease%7Cmedrt%2Cchem%7Cdailymed%2Cmoa%7Cdailymed%2Cpe%7Cdailymed%2Cpk%7Cmedrt%2Ctc%7Cfmtsme%2Cva%7Cva%2Cdispos%7Csnomedct%2Cstruct%7Csnomedct%2Cschedule%7Crxnorm%2Ccvx%7Ccdc#] from RxClass.","v4: 
If any of RXNORM1-40 has classID [https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxClass.findClassesById.html] in ('N06D'), then NACCADMD=1

Else if ANYMEDS=1 and RXNORM1-40 do not have classID in ('N06D'), then NACCADMD=0"
Existing,A4,1-4,,,NACCPDMD,NACC derived variable,Reported current use of an antiparkinson agent,Numeric longitudinal,"0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form","This variable indicates reported current use of an antiparkinson agent. In UDSv1-3, medications were derived from the Multum/Lexi-Comp© therapeutic drug categories and included the following drugs. 

[Insert prior drug table here]

Starting in UDSv4, medications were derived from drug (product-level) ATC class membership curated by the National Library of Medicine. See list in ATC class N04 [https://mor.nlm.nih.gov/RxClass/search?query=N04%7CATC1-4&searchBy=class&sourceIds=&drugSources=atc1-4%7Catcprod%2Cepc%7Cdailymed%2Cdisease%7Cmedrt%2Cchem%7Cdailymed%2Cmoa%7Cdailymed%2Cpe%7Cdailymed%2Cpk%7Cmedrt%2Ctc%7Cfmtsme%2Cva%7Cva%2Cdispos%7Csnomedct%2Cstruct%7Csnomedct%2Cschedule%7Crxnorm%2Ccvx%7Ccdc#] from RxClass.","v4: 
If any of RXNORM1-40 has classID [https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxClass.findClassesById.html] in ('N04'), then NACCPDMD=1

Else if ANYMEDS=1 and RXNORM1-40 do not have classID in ('N04'), then NACCPDMD=0"
Existing,A4,1-4,,,NACCEMD,NACC derived variable,Reported current use of estrogen hormone therapy,Numeric longitudinal,"0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form","This variable indicates reported current use of estrogen hormone therapy. In UDSv1-3, medications were derived from the Multum/Lexi-Comp© therapeutic drug categories and included the following drugs.                                                        

[Insert prior drug table here]
                                                                                                                           
Starting in UDSv4, medications were derived from drug (product-level) ATC class membership curated by the National Library of Medicine. See list in ATC class G03C [https://mor.nlm.nih.gov/RxClass/search?query=G03C%7CATC1-4&searchBy=class&sourceIds=&drugSources=atc1-4%7Catcprod%2Cepc%7Cdailymed%2Cdisease%7Cmedrt%2Cchem%7Cdailymed%2Cmoa%7Cdailymed%2Cpe%7Cdailymed%2Cpk%7Cmedrt%2Ctc%7Cfmtsme%2Cva%7Cva%2Cdispos%7Csnomedct%2Cstruct%7Csnomedct%2Cschedule%7Crxnorm%2Ccvx%7Ccdc#] from RxClass.","v4: 
If any of RXNORM1-40 has classID [https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxClass.findClassesById.html] in ('G03C'), then NACCEMD=1

Else if ANYMEDS=1 and RXNORM1-40 do not have classID in ('G03C'), then NACCEMD=0"
Existing,A4,1-4,,,NACCEPMD,NACC derived variable,Reported current use of estrogen + progestin hormone therapy,Numeric longitudinal,"0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form","This variable indicates reported current use of estrogen + progestin hormone therapy. In UDSv1-3, medications were derived from the Multum/Lexi-Comp© therapeutic drug categories and included the following drugs.

[Insert prior drug table here]
                                                                                                                           
Starting in UDSv4, medications were derived from drug (product-level) ATC class membership curated by the National Library of Medicine. See list in ATC class G03F [https://mor.nlm.nih.gov/RxClass/search?query=G03F%7CATC1-4&searchBy=class&sourceIds=&drugSources=atc1-4%7Catcprod%2Cepc%7Cdailymed%2Cdisease%7Cmedrt%2Cchem%7Cdailymed%2Cmoa%7Cdailymed%2Cpe%7Cdailymed%2Cpk%7Cmedrt%2Ctc%7Cfmtsme%2Cva%7Cva%2Cdispos%7Csnomedct%2Cstruct%7Csnomedct%2Cschedule%7Crxnorm%2Ccvx%7Ccdc#] from RxClass.","v4: 
If any of RXNORM1-40 has classID [https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxClass.findClassesById.html] in ('G03F'), then NACCEPMD=1

Else if ANYMEDS=1 and RXNORM1-40 do not have classID in ('G03F'), then NACCEPMD=0"
