Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCALANX,MOCALANX conditionally blank,If MOCALAN is not 3 then MOCALANX must be blank,If Q1c. MOCALAN (MoCA language) is not 3 then Q1c1. MOCALANX (MoCA language other) must be blank,If MOCALAN is not 3 and MOCALANX is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAVIS,MOCAVIS conditionally present,If MOCACOMP is 1 then MOCAVIS cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1d. MOCAVIS (visual impairment) cannot be blank,If MOCACOMP=1 and MOCAVIS=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAVIS,MOCAVIS conforms,If MOCACOMP is 1 then MOCAVIS must be between 0 and 1,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1d. MOCAVIS (visual impairment) must be between 0 and 1,If MOCACOMP=1 and (MOCAVIS<0 or MOCAVIS>1),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAVIS,MOCAVIS conditionally blank,If MOCACOMP is 0 then MOCAVIS must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1d. MOCAVIS (visual impairment) must be blank,If MOCACOMP=0 and MOCAVIS is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAHEAR,MOCAHEAR conditionally present,If MOCACOMP is 1 then MOCAHEAR cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1e. MOCAHEAR (hearing impairment) cannot be blank,If MOCACOMP=1 and MOCAHEAR=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAHEAR,MOCAHEAR conforms,If MOCACOMP is 1 then MOCAHEAR must be between 0 and 1,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1e. MOCAHEAR (hearing impairment) must be between 0 and 1,If MOCACOMP=1 and (MOCAHEAR<0 or MOCAHEAR>1),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAHEAR,MOCAHEAR conditionally blank,If MOCACOMP is 0 then MOCAHEAR must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1e. MOCAHEAR (hearing impairment) must be blank,If MOCACOMP=0 and MOCAHEAR is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCATOTS,MOCATOTS conditionally present,If MOCACOMP is 1 then MOCATOTS cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1f. MOCATOTS (total MoCA score) cannot be blank,If MOCACOMP=1 and MOCATOTS=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCATOTS,MOCATOTS conforms,"If MOCACOMP is 1 then MOCATOTS must be between 0 and 30, or 88","If Q1a. MOCACOMP (MoCA administered) is 1 then Q1f. MOCATOTS (total MoCA score) must be between 0 and 30, or 88","If MOCACOMP=1 and MOCATOTS is not 0-30, 88",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCATOTS,MOCATOTS conditionally blank,If MOCACOMP is 0 then MOCATOTS must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1f. MOCATOTS (total MoCA score) must be blank,If MOCACOMP=0 and MOCATOTS is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCATRAI,MOCATRAI conditionally present,If MOCACOMP is 1 then MOCATRAI cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1g. MOCATRAI (visuospatial trails) cannot be blank,If MOCACOMP=1 and MOCATRAI=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCATRAI,MOCATRAI conforms,If MOCACOMP is 1 then MOCATRAI must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1g. MOCATRAI (visuospatial trails) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCATRAI is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCATRAI,MOCATRAI conditionally blank,If MOCACOMP is 0 then MOCATRAI must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1g. MOCATRAI (visuospatial trails) must be blank,If MOCACOMP=0 and MOCATRAI is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACUBE,MOCACUBE conditionally present,If MOCACOMP is 1 then MOCACUBE cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1h. MOCACUBE (visuospatial cube) cannot be blank,If MOCACOMP=1 and MOCACUBE=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACUBE,MOCACUBE conforms,If MOCACOMP is 1 then MOCACUBE must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1h. MOCACUBE (visuospatial cube) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCACUBE is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACUBE,MOCACUBE conditionally blank,If MOCACOMP is 0 then MOCACUBE must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1h. MOCACUBE (visuospatial cube) must be blank,If MOCACOMP=0 and MOCACUBE is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACLOC,MOCACLOC conditionally present,If MOCACOMP is 1 then MOCACLOC cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1I. MOCACLOC (visuospatial clock contour) cannot be blank,If MOCACOMP=1 and MOCACLOC=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACLOC,MOCACLOC conforms,If MOCACOMP is 1 then MOCACLOC must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1I. MOCACLOC (visuospatial clock contour) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCACLOC is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACLOC,MOCACLOC conditionally blank,If MOCACOMP is 0 then MOCACLOC must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1I. MOCACLOC (visuospatial clock contour) must be blank,If MOCACOMP=0 and MOCACLOC is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACLON,MOCACLON conditionally present,If MOCACOMP is 1 then MOCACLON cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1j. MOCACLON (visuospatial clock numbers) cannot be blank,If MOCACOMP=1 and MOCACLON=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACLON,MOCACLON conforms,If MOCACOMP is 1 then MOCACLON must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1j. MOCACLON (visuospatial clock numbers) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCACLON is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACLON,MOCACLON conditionally blank,If MOCACOMP is 0 then MOCACLON must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1j. MOCACLON (visuospatial clock numbers) must be blank,If MOCACOMP=0 and MOCACLON is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACLOH,MOCACLOH conditionally present,If MOCACOMP is 1 then MOCACLOH cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1k. MOCACLOH (visuospatial clock hands) cannot be blank,If MOCACOMP=1 and MOCACLOH=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACLOH,MOCACLOH conforms,If MOCACOMP is 1 then MOCACLOH must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1k. MOCACLOH (visuospatial clock hands) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCACLOH is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACLOH,MOCACLOH conditionally blank,If MOCACOMP is 0 then MOCACLOH must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1k. MOCACLOH (visuospatial clock hands) must be blank,If MOCACOMP=0 and MOCACLOH is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCANAMI,MOCANAMI conditionally present,If MOCACOMP is 1 then MOCANAMI cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1l. MOCANAMI (language naming) cannot be blank,If MOCACOMP=1 and MOCANAMI=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCANAMI,MOCANAMI conforms,If MOCACOMP is 1 then MOCANAMI must be between 0 and 3 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1l. MOCANAMI (language naming) must be between 0 and 3 or between 95 and 98,"If MOCACOMP =1 and MOCANAMI is not 0,1,2,3,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCANAMI,MOCANAMI conditionally blank,If MOCACOMP is 0 then MOCANAMI must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1l. MOCANAMI (language naming)  must be blank,If MOCACOMP=0 and MOCANAMI is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAREGI,MOCAREGI conditionally present,If MOCACOMP is 1 then MOCAREGI cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1m. MOCAREGI (memory registration) cannot be blank,If MOCACOMP=1 and MOCAREGI=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAREGI,MOCAREGI conforms,If MOCACOMP is 1 then MOCAREGI must be between 0 and 10 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1m. MOCAREGI (memory registration) must be between 0 and 10 or between 95 and 98,"If MOCACOMP =1 and MOCAREGI is not 0,1,2,3,4,5,6,7,8,9,10,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAREGI,MOCAREGI conditionally blank,If MOCACOMP is 0 then MOCAREGI must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1m. MOCAREGI (memory registration)  must be blank,If MOCACOMP=0 and MOCAREGI is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCADIGI,MOCADIGI conditionally present,If MOCACOMP is 1 then MOCADIGI cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1n. MOCADIGI (attention digits) cannot be blank,If MOCACOMP=1 and MOCADIGI=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCADIGI,MOCADIGI conforms,If MOCACOMP is 1 then MOCADIGI must be between 0 and 2 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1n. MOCADIGI (attention digits) must be between 0 and 2 or between 95 and 98,"If MOCACOMP =1 and MOCADIGI is not 0,1,2,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCADIGI,MOCADIGI conditionally blank,If MOCACOMP is 0 then MOCADIGI must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1n. MOCADIGI (attention digits) must be blank,If MOCACOMP=0 and MOCADIGI is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCALETT,MOCALETT conditionally present,If MOCACOMP is 1 then MOCALETT cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1o. MOCALETT (attention letter A) cannot be blank,If MOCACOMP=1 and MOCALETT=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCALETT,MOCALETT conforms,If MOCACOMP is 1 then MOCALETT must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1o. MOCALETT (attention letter A) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCALETT is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCALETT,MOCALETT conditionally blank,If MOCACOMP is 0 then MOCALETT must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1o. MOCALETT (attention letter A) must be blank,If MOCACOMP=0 and MOCALETT is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCASER7,MOCASER7 conditionally present,If MOCACOMP is 1 then MOCASER7 cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1p. MOCASER7 (attention serial 7) cannot be blank,If MOCACOMP=1 and MOCASER7=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCASER7,MOCASER7 conforms,If MOCACOMP is 1 then MOCASER7 must be between 0 and 3 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1p. MOCASER7 (attention serial 7) must be between 0 and 3 or between 95 and 98,"If MOCACOMP =1 and MOCASER7 is not 0,1,2,3,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCASER7,MOCASER7 conditionally blank,If MOCACOMP is 0 then MOCASER7 must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1p. MOCASER7 (attention serial 7)  must be blank,If MOCACOMP=0 and MOCASER7 is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAREPE,MOCAREPE conditionally present,If MOCACOMP is 1 then MOCAREPE cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1q. MOCAREPE (language repetition) cannot be blank,If MOCACOMP=1 and MOCAREPE=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAREPE,MOCAREPE conforms,If MOCACOMP is 1 then MOCAREPE must be between 0 and 2 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1q. MOCAREPE (language repetition) must be between 0 and 2 or between 95 and 98,"If MOCACOMP =1 and MOCAREPE is not 0,1,2,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAREPE,MOCAREPE conditionally blank,If MOCACOMP is 0 then MOCAREPE must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1q. MOCAREPE (language repetition) must be blank,If MOCACOMP=0 and MOCAREPE is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAFLUE,MOCAFLUE conditionally present,If MOCACOMP is 1 then MOCAFLUE cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1r. MOCAFLUE (language fluency) cannot be blank,If MOCACOMP=1 and MOCAFLUE=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAFLUE,MOCAFLUE conforms,If MOCACOMP is 1 then MOCAFLUE must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1r. MOCAFLUE (language fluency) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCAFLUE is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAFLUE,MOCAFLUE conditionally blank,If MOCACOMP is 0 then MOCAFLUE must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1r. MOCAFLUE (language fluency) must be blank,If MOCACOMP=0 and MOCAFLUE is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAABST,MOCAABST conditionally present,If MOCACOMP is 1 then MOCAABST cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1s. MOCAABST (abstraction) cannot be blank,If MOCACOMP=1 and MOCAABST=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAABST,MOCAABST conforms,If MOCACOMP is 1 then MOCAABST must be between 0 and 2 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1s. MOCAABST (abstraction) must be between 0 and 2 or between 95 and 98,"If MOCACOMP =1 and MOCAABST is not 0,1,2,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAABST,MOCAABST conditionally blank,If MOCACOMP is 0 then MOCAABST must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1s. MOCAABST (abstraction) must be blank,If MOCACOMP=0 and MOCAABST is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCARECN,MOCARECN conditionally present,If MOCACOMP is 1 then MOCARECN cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1t. MOCARECN (delayed recall no cue) cannot be blank,If MOCACOMP=1 and MOCARECN=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCARECN,MOCARECN conforms,If MOCACOMP is 1 then MOCARECN must be between 0 and 5 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1t. MOCARECN (delayed recall no cue) must be between 0 and 5 or between 95 and 98,"If MOCACOMP =1 and MOCARECN is not 0,1,2,3,4,5,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCARECN,MOCARECN conditionally blank,If MOCACOMP is 0 then MOCARECN must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1t. MOCARECN (delayed recall no cue) must be blank,If MOCACOMP=0 and MOCARECN is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCARECC,MOCARECC conditionally present,If MOCACOMP is 1 then MOCARECC cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1u. MOCARECC (delayed recall cue) cannot be blank,If MOCACOMP=1 and MOCARECC=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCARECC,MOCARECC conforms,If MOCACOMP is 1 then MOCARECC must be between 0 and 5 or 88,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1u. MOCARECC (delayed recall cue) must be between 0 and 5 or 88,"If MOCACOMP =1 and MOCARECC is not 0,1,2,3,4,5,88",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCARECC,MOCARECC conditionally blank,If MOCACOMP is 0 then MOCARECC must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1u. MOCARECC (delayed recall cue) must be blank,If MOCACOMP=0 and MOCARECC is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCARECR,MOCARECR conditionally present,If MOCACOMP is 1 then MOCARECR cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1v. MOCARECR (delayed recall recognition) cannot be blank,If MOCACOMP=1 and MOCARECR=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCARECR,MOCARECR conforms,If MOCACOMP is 1 then MOCARECR must be between 0 and 5 or 88,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1v. MOCARECR (delayed recall recognition) must be between 0 and 5 or 88,"If MOCACOMP =1 and MOCARECR is not 0,1,2,3,4,5,88",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCARECR,MOCARECR conditionally blank,If MOCACOMP is 0 then MOCARECR must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1v. MOCARECR (delayed recall recognition) must be blank,If MOCACOMP=0 and MOCARECR is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORDT,MOCAORDT conditionally present,If MOCACOMP is 1 then MOCAORDT cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1w. MOCAORDT (orientation date) cannot be blank,If MOCACOMP=1 and MOCAORDT=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORDT,MOCAORDT conforms,If MOCACOMP is 1 then MOCAORDT must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1w. MOCAORDT (orientation date) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCAORDT is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORDT,MOCAORDT conditionally blank,If MOCACOMP is 0 then MOCAORDT must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1w. MOCAORDT (orientation date) must be blank,If MOCACOMP=0 and MOCAORDT is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORMO,MOCAORMO conditionally present,If MOCACOMP is 1 then MOCAORMO cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1x. MOCAORMO (orientation month) cannot be blank,If MOCACOMP=1 and MOCAORMO=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORMO,MOCAORMO conforms,If MOCACOMP is 1 then MOCAORMO must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1x. MOCAORMO (orientation month) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCAORMO is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORMO,MOCAORMO conditionally blank,If MOCACOMP is 0 then MOCAORMO must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1x. MOCAORMO (orientation month) must be blank,If MOCACOMP=0 and MOCAORMO is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORYR,MOCAORYR conditionally present,If MOCACOMP is 1 then MOCAORYR cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1y. MOCAORYR (orientation year) cannot be blank,If MOCACOMP=1 and MOCAORYR=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORYR,MOCAORYR conforms,If MOCACOMP is 1 then MOCAORYR must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1y. MOCAORYR (orientation year) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCAORYR is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
