error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-021,21,Error,e2f,IF,FTDSMMAN,Missingness,FTDSMMAN conditionally blank,"If FTDSMRI = 0, FTDSMMAN should be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 0 (No), Qad. FTDSMMAN (Structural MRI scan: Scan manufacturer?) should be blank",If FTDSMRI = 0 and FTDSMMAN not= blank,,"FTDSMRI, FTDSMMAN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-022,22,Error,e2f,IF,FTDSMMAN,Conformity,FTDSMMAN conforms,FTDSMMAN must be an integer between 1-4 or 9,Q1d. FTDSMMAN (Structural MRI scan: Scan manufacturer?) must be an integer between 1-4 or 9,If FTDSMMAN  < 1 and (FTDSMMAN > 4 and FTDSMMAN ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-023,23,Error,e2f,IF,FTDSMMAO,Missingness,FTDSMMAO conditionally present,"If FTDSMMAN = 4, FTDSMMAO cannot be blank","If Q1d. FTDSMMAN (Structural MRI scan: Scan manufacturer?) = 4, Q1d0. FTDSMMAO (Structural MRI scan: Manufacturer, if other specify) cannot be blank", IF FTDSMMAN = 4 and FTDSMMAO = blank,,"FTDSMMAN, FTDSMMAO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-024,24,Error,e2f,IF,FTDSMMAM,Missingness,FTDSMMAM conditionally present,"If FTDSMRI = 1, FTDSMMAM cannot be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 1, Q1d1. FTDSMMAM ( Structural MRI scan: Manufacturer model?) cannot be blank", IF FTDSMRI = 1 and FTDSMMAM = blank,,"FTDSMRI, FTDSMMAN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-025,25,Error,e2f,IF,FTDSMFS,Missingness,FTDSMFS conditionally present,"If FTDSMRI = 1, FTDSMFS cannot be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 1, Q1e. FTDSMFS (Structural MRI scan: Field strength?) cannot be blank", IF FTDSMRI = 1 and FTDSMFS = blank,,"FTDSMRI, FTDSFMFS",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-026,26,Error,e2f,IF,FTDSMFS,Missingness,FTDSMFS conditionally blank,"If FTDSMRI = 0, FTDSMFS should be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 0 (No), Q1e. FTDSMFS (Structural MRI scan: Field strength?) should be blank",If FTDSMRI = 0 and FTDSMFS not = blank,,"FTDSMRI, FTDSFMFS",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-027,27,Error,e2f,IF,FTDSMFS,Conformity,FTDSMFS conforms,FTDSMFS must be an integer between 1-4 or 9,Q1e. FTDSMFS (Structural MRI scan: Field strength?) must be an integer between 1-4 or 9,If FTDSMFS  < 1 and (FTDSMFS > 4 and FTDSMFS ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-028,28,Error,e2f,IF,FTDSMFSO,Missingness,FTDSMFSO conditionally present,"If FTDSMFS = 4, FTDSMFSO cannot be blank","If Q1e. FTDSMFS = 4, Q1e. FTDSMFS (Structural MRI scan: Field strength?) ( Structural MRI scan: Field strength, specify other) cannot be blank", IF FTDSMFS = 4 and FTDSMFSO = blank,,"FTDSMFS, FTDSMFSO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-029,29,Error,e2f,IF,FTDSMQU,Missingness,FTDSMQU conditionally present,"If FTDSMRI = 1, FTDSMQU cannot be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 1, Q1f. FTDSMQU (Structural MRI: Are results of quantitative image analysis available?) cannot be blank", IF FTDSMRI = 1 and FTDSMQU = blank,,"FTDSMRI, FTDSMQU",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-030,30,Error,e2f,IF,FTDSMQU,Missingness,FTDSMQU conditionally blank,"If FTDSMRI = 0, FTDSMQU should be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?) = 0 (No), Q1f. FTDSMQU (Structural MRI: Are results of quantitative image analysis available?) should be blank",If FTDSMRI = 0 and FTDSMQU not = blank,,"FTDSMRI, FTDSMQU",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-031,31,Error,e2f,IF,FTDSMQU,Conformity,FTDSMQU conforms,FTDSMQU must be an integer between 0-1,Q1f. FTDSMQU (Structural MRI: Are results of quantitative image analysis available?) must be an integer between 0-1,If FTDSMQU  < 0 and FTDSMQU >1,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-032,32,Error,e2f,IF,FTDFDGPT,Missingness,FTDFDGPT must be present,FTDFDGPT cannot be blank,Q2. FTDFDGPT  (Is an FDG-PET scan available for data sharing?) cannot be blank,IF FTDFDGPT =blank,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-033,33,Error,e2f,IF,FTDFDGPT,Conformity,FTDFDGPT conforms,FTDFDGPT must be a an integer between 0-1,Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?) must be an integer between 0-1,IF FTDFDGPT < 0 or FTDFDGPT > 1,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-034,34,Error,e2f,IF,FTDFPMO,Missingness,FTDFPMO conditionally present,"If FTDFDGPT = 1, FTDFPMO cannot be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?) = 1, Q2a. FTDFPMO (Month of FDG-PET scan) cannot be blank",If FTDFDGPT = 1 and FTDFPMO = blank,,"FTDFDGPT, FTDFPMO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-035,35,Error,e2f,IF,FTDFPMO,Missingness,FTDFPMO conditionally blank,"If FTDFDGPT = 0, FTDFPMO should be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?) = 0 (No), Q2a. FTDFPMO (Month of FDG-PET scan) should be blank",If FTDFDGPT = 0 and FTDFPMO not = blank,,"FTDFDGPT, FTDFPMO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-036,36,Error,e2f,IF,FTDFPMO,Conformity,FTDFPMO conforms,FTDFPMO must be an integer between 1-12,Q2a. FTDFPMO (Month of FDG-PET scan) must be an integer between 1-12,If FTDFPMO  < 1 and FTDFPMO >12,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-037,37,Error,e2f,IF,FTDFPDY,Missingness,FTDFPDY conditionally present,"If FTDFDGPT = 1, FTDFPDY cannot be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?)= 1, Q2a. FTDFPDY (Day of FDG-PET scan) cannot be blank", IF FTDFDGPT = 1 and FTDFPDY = blank,,"FTDFDGPT, FTDFPDY",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-038,38,Error,e2f,IF,FTDFPDY,Missingness,FTDFPDY conditionally blank,"If FTDFDGPT = 0, FTDFPDY should be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?) = 0 (No), Q2a. FTDFPDY (Day of FDG-PET scan) should be blank",If FTDFDGPT = 0 and FTDFPDY not = blank,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-039,39,Error,e2f,IF,FTDFPDY,Conformity,FTDFPDY conforms,FTDFPDY must be an integer between 1-31 or 99,Q2a. FTDFPDY (Day of FDG-PET scan) must be an integer between 1-31 or 99,If FTDFPDY  < 1 and (FTDFPDY >31 and FTDFPDY ≠ 99),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-040,40,Error,e2f,IF,FTDFPYR,Missingness,FTDFPYR conditionally present,"If FTDFDGPT = 1, FTDFPYR cannot be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?)= 1, Q2a. FTDFPYR (Year of FDG-PET scan) cannot be blank", IF FTDFDGPT = 1 and FTDFPYR = blank,,"FTDFDGPT, FTDFPYR",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-041,41,Error,e2f,IF,FTDFPYR,Missingness,FTDFPYR conditionally blank,"If FTDFDGPT = 0, FTDFPYR should be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?) = 0 (No), Q2a. FTDFPYR (Year of FDG-PET scan) should be blank",If FTDFDGPT = 0 and FTDFPYR not = blank,,"FTDFDGPT, FTDFPYR",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-042,42,Error,e2f,IF,FTDFPYR,Conformity,FTDFPYR conforms,FTDFPYR must be an integer between 2000-present year,Q2a. FTDFPYR (Year of FDG-PET scan) must be an integer between 2000-present year,If FTDFPYR  < 2000 and FTDFPYR > present year,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-043,43,Error,e2f,IF,FTDFDDIC,Missingness,FTDFDDIC conditionally present,"If FTDFDGPT = 1, FTDFDDIC cannot be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?)= 1, Q2b. FTDFDDIC (FDG-PET scan: Is it in DICOM format or other electronic format?) cannot be blank", IF FTDFDGPT= 1 and FTDFDDIC = blank,,"FTDFDGPT, FTDFDDIC",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-044,44,Error,e2f,IF,FTDFDDIC,Missingness,FTDFDDIC conditionally blank,"If FTDFDGPT = 0, FTDFDDIC should be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?) = 0 (No), Q2b. FTDFDDIC (FDG-PET scan: Is it in DICOM format or other electronic format?) should be blank",If FTDFDGPT = 0 and FTDFDDIC not = blank,,"FTDFDGPT, FTDFDDIC",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-045,45,Error,e2f,IF,FTDFDDIC,Conformity,FTDFDDIC conforms,FTDFDDIC must be an integer between 0-1 or 9,Q2b. FTDFDDIC (FDG-PET scan: Is it in DICOM format or other electronic format?) must be an integer between 0-1 or 9,If FTDFDDIC  < 0 and (FTDFDDIC >1 and FTDFDDIC ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-046,46,Error,e2f,IF,FTDFDDID,Missingness,FTDFDDID conditionally present,"If FTDFDDIC = 1, FTDFDDID cannot be blank","If Q2b. FTDFDDIC (FDG-PET scan: Is it in DICOM format or other electronic format?) = 1, Q2b1. FTDFDDID (FDG-PET scan: Specify DICOM or other format) cannot be blank", IF FTDFDDIC = 1 and FTDFDDID = blank,,"FTDFDDIC, FTDFDDID",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-047,47,Error,e2f,IF,FTDFDADN,Missingness,FTDFDADN conditionally present,"If FTDFDGPT = 1, FTDFDADN cannot be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?)= 1, Q2c. FTDFDADN (FDG-PET scan: Was ADNI protocol used?) cannot be blank", IF FTDFDGPT = 1 and FTDFDADN = blank,,"FTDFDGPT, FTDFDADN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-048,48,Error,e2f,IF,FTDFDADN,Missingness,FTDFDADN conditionally blank,"If FTDFDGPT = 0, FTDFDADN should be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?) = 0 (No), Q2c. FTDFDADN (FDG-PET scan: Was ADNI protocol used?) should be blank",If FTDFDGPT = 0 and FTDFDADN not = blank,,"FTDFDGPT, FTDFDADN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-049,49,Error,e2f,IF,FTDFDADN,Conformity,FTDFDADN conforms,FTDFDADN must be an integer between 0-1 or 9,Q2c. FTDFDADN (FDG-PET scan: Was ADNI protocol used?) must be an integer between 0-1 or 9,If FTDFDADN  < 0 and (FTDFDADN >1 and FTDFDADN ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-050,50,Error,e2f,IF,FTDFDADV,Missingness,FTDFDADV conditionally present,"If FTDFDADN = 1, FTDFDADV cannot be blank","If Q2c. FTDFDADN (FDG-PET scan: Was ADNI protocol used?) = 1, Q2c1. FTDFDADV (FDG-PET scan: If ADNI protocol used, then ADNI version?) cannot be blank", IF FTDFDADN = 1 and FTDFDADV = blank,,"FTDFDADN, FTDFDADV",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-051,51,Error,e2f,IF,FTDFDMAN,Missingness,FTDFDMAN conditionally present,"If FTDFDGPT = 1, FTDFDMAN cannot be blank","If Q2. FTDFDGPT  (Is an FDG-PET scan available for data sharing?)= 1, Q2d. FTDFDMAN (FDG-PET scan: Scan manufacturer?) cannot be blank", IF FTDFDGPT = 1 and FTDFDMAN = blank,,"FTDFDGPT, FTDFDMAN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-052,52,Error,e2f,IF,FTDFDMAN,Missingness,FTDFDMAN conditionally blank,"If FTDFDGPT = 0, FTDFDMAN should be blank","If Q2. FTDFDGPT  (Is an FDG-PET scan available for data sharing?) = 0, Q2d. FTDFDMAN (FDG-PET) scan: Scan manufacturer?) should be blank",If FTDFDGPT = 0 and FTDFDMAN not = blank,,"FTDFDGPT, FTDFDMAN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-053,53,Error,e2f,IF,FTDFDMAN,Conformity,FTDFDMAN conforms,FTDFDMAN must be an integer between 1-4 or 9,Q2d. FTDFDMAN (FDG-PET scan: Scan manufacturer?) must be an integer between 1-4 or 9,If FTDFDMAN  < 1 and (FTDFDMAN > 4 and FTDFDMAN ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-054,54,Error,e2f,IF,FTDFDMAO,Missingness,FTDFDMAO conditionally present,"If FTDFDMAN = 4, FTDFDMAO cannot be blank","If Q2d. FTDFDMAN (FDG-PET scan: Scan manufacturer?) = 4, Q2d0. FTDFDMAO (FDG-PET scan: Scan manufacturer, if other specify) cannot be blank", IF FTDFDMAN = 4 and FTDFDMAO = blank,,"FTDFDMAN, FTDFDMAO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-055,55,Error,e2f,IF,FTDFDMAM,Missingness,FTDFDMAM conditionally present,"If FTDFDGPT = 1, FTDFDMAM cannot be blank","If Q2. FTDFDGPT  (Is an FDG-PET scan available for data sharing?) = 1, Q2d1. FTDFDMAM (FDG-PET scan: Manufacturer model?) cannot be blank", IF FTDFDGPT = 1 and FTDFDMAM = blank,,"FTDFDGPT, FTDFDMAM",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-056,56,Error,e2f,IF,FTDFDQU,Missingness,FTDFDQU conditionally present,"If FTDFDGPT = 1, FTDFDQU cannot be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?)= 1, Q2e. FTDFDQU (FDG-PET scan: Are results of the quantitative image analysis available?) cannot be blank", IF FTDFDGPT= 1 and FTDFDQU = blank,,"FTDFDGPT, FTDFDQU",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-057,57,Error,e2f,IF,FTDFDQU,Missingness,FTDFDQU conditionally blank,"If FTDFDGPT = 0, FTDFDQU should be blank","If Q2. FTDFDGPT (Is an FDG-PET scan available for data sharing?) = 0 (No), Q2e. FTDFDQU (FDG-PET scan: Are results of the quantitative image analysis available?) should be blank",If FTDFDGPT = 0 and FTDFDQU not = blank,,"FTDFDGPT, FTDFDQU",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-058,58,Error,e2f,IF,FTDFDQU,Conformity,FTDFDQU conforms,FTDFDQU must be an integer between 0-1,Q2e. FTDFDQU (Is an amyloid PET scan available for data sharing?) must be an integer between 0-1,If FTDFDQU  < 0 and FTDFDQU > 1 ,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-059,59,Error,e2f,IF,FTDAMYPT,Missingness,FTDAMYPT must be present,FTDAMYPT cannot be blank,Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) cannot be blank,IF FTDAMYPT  =blank,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-060,60,Error,e2f,IF,FTDAMYPT,Conformity,FTDAMYPT  conforms,FTDAMYPT must be a an integer between 0-1,Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) must be an integer between 0-1,IF FTDAMYPT < 0 or FTDAMYPT > 1,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-061,61,Error,e2f,IF,FTDAMMO,Missingness,FTDAMMO conditionally present,"If FTDAMYPT = 1, FTDAMMO cannot be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?)= 1, Q3a. FTDAMMO (Month of amyloid PET scan?) cannot be blank", IF FTDAMYPT = 1 and FTDAMMO = blank,,"FTDAMYPT, FTDAMMO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-062,62,Error,e2f,IF,FTDAMMO,Missingness,FTDAMMO conditionally blank,"If FTDAMYPT = 0, FTDAMMO should be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 0 (No), Q3a. FTDAMMO (Month of amyloid PET scan?) should be blank",If FTDAMYPT = 0 and FTDAMMO not = blank,,"FTDAMYPT, FTDAMMO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-063,63,Error,e2f,IF,FTDAMMO,Conformity,FTDAMMO conforms,FTDAMMO must be an integer between 1-12,Q3a. FTDAMMO (Month of amyloid PET scan?) must be an integer between 1-12,If FTDAMMO  < 1 and FTDAMMO >12,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-064,64,Error,e2f,IF,FTDAMDY,Missingness,FTDAMDY conditionally present,"If FTDAMYPT = 1, FTDAMDY cannot be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 1, Q3a. FTDAMDY (Day of amyloid PET scan?) cannot be blank", IF FTDAMYPT = 1 and FTDAMDY = blank,,"FTDAMYPT, FTDAMDY",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
