Form,Packet,Error #,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Error code,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
a2,I,011,INCNTMDX,INCNTMDX,INCNTMDX conditionally blank,If INCNTMOD?6 (Other) then INCNTMDX must be blank,IF INCNTMOD ne 6 and INCNTMDX not blank,a2-ivp-m-011,n/a,n/a,Error,Yes,MIssingness,No,
a2,I,012,INCNTFRQ,INCNTFRQ,INCNTFRQ conditionally present,If INLIVWTH=0 (No) then INCNTFRQ cannot be blank ,IF INLIVWTH=0 and INCNTFRQ=blank,a2-ivp-m-012,n/a,n/a,Error,Yes,Missingness,No,
a2,I,013,INCNTFRQ,INCNTFRQ,INCNTFRQ conditionally blank,If INLIVWTH=1 (Yes) then INCNTFRQ must be blank ,IF INLIVWTH=1 and INCNTFRQ not blank,a2-ivp-m-013,n/a,n/a,Error,Yes,Missingness,No,
a2,I,014,INCNTFRQ,INCNTFRQ,INCNTFRQ conforms,INCNTFRQ must be an integer between 1 and 6,IF INCNTFRQ <1 or INCNTFRQ >6,a2-ivp-c-014,n/a,n/a,Error,Yes,Conformity,No,
a2,I,015,INCNTTIM,INCNTTIM,INCNTTIM conditionally present,If INLIVWTH=0 (No) then INCNTTIM cannot be blank ,IF INLIVWTH=0 and INCNTTIM=blank,a2-ivp-m-015,n/a,n/a,Error,Yes,Missingness,No,
a2,I,016,INCNTTIM,INCNTTIM,INCNTTIM conditionally blank,If INLIVWTH=1 (Yes) then INCNTTIM must be blank ,IF INLIVWTH=1 and INCNTTIM not blank,a2-ivp-m-016,n/a,n/a,Error,Yes,Missingness,No,
a2,I,017,INCNTTIM,INCNTTIM,INCNTTIM conforms,INCNTTIM must be an integer between 1 and 5,IF INCNTTIM <1 or INCNTTIM >5,a2-ivp-c-017,n/a,n/a,Error,Yes,Conformity,No,
a2,I,018,INRELY,INRELY,INRELY must be present,INRELY cannot be blank,IF INRELY=blank,a2-ivp-m-018,n/a,n/a,Error,Yes,Missingness,Yes,
a2,I,019,INRELY,INRELY,INRELY conforms,INRELY must be an integer between 0 and 1,IF INRELY <0 or INRELY >1,a2-ivp-c-019,n/a,n/a,Error,Yes,Conformity,Yes,
a2,I,020,INMEMWORS,INMEMWORS,INMEMWORS must be present,INMEMWORS cannot be blank,IF INMEMWORS=blank,a2-ivp-m-020,n/a,n/a,Error,Yes,Missingness,No,
a2,I,021,INMEMWORS,INMEMWORS,INMEMWORS conforms,INMEMWORS must be an integer between 0 and 2,IF INMEMWORS <0 or INMEMWORS >2,a2-ivp-c-021,n/a,n/a,Error,Yes,Conformity,No,
a2,I,022,INMEMTROUB,INMEMTROUB,must be present,INMEMTROUB cannot be blank,IF INMEMTROUB=blank,a2-ivp-m-022,n/a,n/a,Error,Yes,Missingness,No,
a2,I,023,INMEMTROUB,INMEMTROUB,conforms,INMEMTROUB must be an integer between 1 and 5,IF INMEMTROUB <1 or INMEMWORS >5,a2-ivp-c-023,n/a,n/a,Error,Yes,Conformity,No,
a2,I,024,INMEMTEN,INMEMTEN,must be present,INMEMTEN cannot be blank,IF INMEMTEN=blank,a2-ivp-m-024,n/a,n/a,Error,Yes,Missingness,No,
a2,I,025,INMEMTEN,INMEMTEN,conforms,INMEMTEN must be an integer between 1 and 5,IF INMEMTEN <1 or INMEMWORS >5,a2-ivp-c-025,n/a,n/a,Error,Yes,Conformity,No,
