error_code,error_no,error_type,form_name,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions
enrl-m-026,026,Error,enrl,GUIDAVAIL,Missingness,GUIDAVAIL must be present,GUIDAVAIL cannot be blank,Q5. GUIDAVAIL (Do they have a GUID?) cannot be blank,IF GUIDAVAIL=blank,,,Yes,
enrl-c-027,027,Error,enrl,GUIDAVAIL,Conformity,GUIDAVAIL conforms,GUIDAVAIL must be an integer between 0 and 1,Q5. GUIDAVAIL (Do they have a GUID?) must be an integer between 0 and 1,IF GUIDAVAIL<0 or GUIDAVAIL>1,,,Yes,
enrl-m-028,028,Error,enrl,GUID,Missingness,GUID conditionally present,If GUIDAVAIL=1 (Yes) then GUID cannot be blank,If Q5. GUIDAVAIL (Do they have a GUID?)=1 (Yes) then Q5a. GUID cannot be blank,IF GUIDAVAIL=1 and GUID=blank,,,Yes,
enrl-m-029,029,Error,enrl,GUID,Missingness,GUID conditionally absent,If GUIDAVAIL=0 (No) then GUID must be blank,If Q5. GUIDAVAIL (Do they have a GUID?)=0 (No) then Q5a. GUID must be blank,IF GUIDAVAIL=0 and GUID not blank,,,Yes,
enrl-m-030,030,Error,enrl,PREVENRL,Missingness,PREVENRL must be present,PREVENRL cannot be blank,Q6. PREVENRL (Previously enrolled at an ADRC?) cannot be blank,IF PREVENRL=blank,,,Yes,
enrl-c-031,031,Error,enrl,PREVENRL,Conformity,PREVENRL conforms,"PREVENRL must be an integer between 0 and 1, or 9 (Unknown)","Q6. PREVENRL (Previously enrolled at an ADRC?) must be an integer between 0 and 1, or 9 (Unknown)",IF PREVENRL<0 or (PREVENRL>1 and ne 9),,,Yes,
enrl-m-032,032,Error,enrl,OLDADCID,Missingness,OLDADCID conditionally present,If PREVENRL=1 (Yes) then OLDADCID cannot be blank,If Q6. PREVENRL (Previously enrolled at an ADRC?)=1 (Yes) then Q6a. OLDADCID (Previous ADCID) cannot be blank,IF PREVENRL=1 and OLDADCID=blank,,,Yes,
enrl-m-033,033,Error,enrl,OLDADCID,Missingness,OLDADCID conditionally absent,If PREVENRL=0 or 9 (No or Unknown) then OLDADCID must be blank,If Q6. PREVENRL (Previously enrolled at an ADRC?)=0 or 9 (No or Unknown) then Q6a. OLDADCID (Previous ADCID) must be blank,IF PREVENRL in (0 or 9) and OLDADCID not blank,,,Yes,
enrl-c-034,034,Error,enrl,OLDADCID,Conformity,OLDADCID conforms,OLDADCID must be a valid code in list_of_adcids,Q6a. OLDADCID (Previous ADCID) must be a valid code in list_of_adcids,IF OLDADCID is not in list_of_adcids,,,No,
enrl-m-035,035,Error,enrl,NACCIDKNWN,Missingness,NACCIDKNWN conditionally present,If ENRLTYPE=2 (Transfer) then NACCIDKNWN cannot be blank,If Q1. ENRLTYPE (Assign NACCID or transfer?)=2 (Transfer) then Q7. NACCIDKNWN (Is NACCID known) cannot be blank,IF ENRLTYPE=2 and NACCIDKNWN is blank,,,Yes,
enrl-m-036,036,Error,enrl,NACCIDKNWN,Missingness,NACCIDKNWN conditionally absent,If ENRLTYPE=1 (Assign NACCID) then NACCIDKNWN must be blank or 8 (Not a transfer),If Q1. ENRLTYPE (Assign NACCID or transfer?)=1 (Assign NACCID) then Q7. NACCIDKNWN (Is NACCID known?) must be blank  or 8 (Not a transfer),IF ENRLTYPE=1 and NACCIDKNWN ne (8 or blank),,,Yes,
enrl-c-037,037,Error,enrl,NACCIDKNWN,Conformity,NACCIDKNWN conforms,"NACCIDKNWN must be an integer between 0 and 1, or 8 (Not a transfer)","Q7. NACCIDKNWN (Is NACCID known?) must be an integer between 0 and 1, or 8 (Not a transfer)",IF NACCIDKNWN<0 or (NACCIDKNWN>1 and ne 8),,,Yes,
enrl-m-038,038,Error,enrl,NACCID,Missingness,NACCID conditionally present,If NACCIDKNWN=1 (Yes) then NACCID cannot be blank,If Q7. NACCIDKNWN (Is NACCID known?)=1 (Yes) then Q7a. NACCID cannot be blank,IF NACCIDKNWN=1 and NACCID=blank,,,Yes,
enrl-m-039,039,Error,enrl,NACCID,Missingness,NACCID conditionally absent,"If NACCIDKNWN=0, 8, or blank (No or Not a transfer) then NACCID must be blank","If Q7. NACCIDKNWN (Is NACCID known?)=0, 8 or blank (No or Not a transfer) then Q7a. NACCID must be blank","IF (NACCIDKNWN in (0, 8) or NACCIDKNWN is blank) and NACCID not blank",,,Yes,
enrl-m-040,040,Error,enrl,PTIDCONF,Missingness,PTIDCONF must be present,PTIDCONF cannot be blank,Q8. PTIDCONF (Confirm PTID) cannot be blank,IF PTIDCONF=blank,,,Yes,
enrl-m-041,041,Error,enrl,FORMVER,Missingness,FORMVER must be present,FORMVER cannot be blank,Header variable FORMVER cannot be blank,IF FORMVER=blank,,,Yes,
enrl-c-042,042,Error,enrl,FORMVER,Conformity,FORMVER conforms,FORMVER must equal 1,Header variable FORMVER must equal 1,IF FORMVER ne 1,,,Yes,
enrl-m-043,043,Error,enrl,OLDPTID,Missingness,OLDPTID conditionally absent,If PREVENRL=0 or 9 (No or Unknown) then OLDPTID must be blank,If Q6. PREVENRL (Previously enrolled at an ADRC?)=0 or 9 (No or Unknown) then Q6b. OLDPTID (Previous PTID) must be blank,IF PREVENRL in (0 or 9) and OLDPTID not blank,,,Yes,
enrl-c-044,044,Error,enrl,NACCID,Conformity,NACCID must be in correct format,"NACCID must begin with ""NACC"" and be followed by exactly 6 numeric digits","Q7a. NACCID (NACCID)must begin with ""NACC"" and be followed by exactly 6 numeric digits","IF NACCID does not begin with ""NACC"" and NACCID does not include exactly 6 numeric digits",,,,
enrl-c-045,045,Error,enrl,GUID,Conformity,GUID must be in correct format,GUID must be an alpha numeric code that is no more than 20 digits,Q5a. GUID (GUID)  must be an alpha numeric code that is no more than 20 digits,IF GUID is more than 20 digits,,,,
enrl-c-046,46,Error,enrl,PTID,Conformity,PTID must be in correct format,PTID must be an alpha numeric code that is no more than 10 digits,Header variable PTID (PTID) must be an alpha numeric code that is no more than 10 digits,IF PTID is more than 10 digits,,,,
enrl-c-047,47,Error,enrl,OLDPTID,Conformity,OLDPTID must be in correct format,OLDPTID must be an alpha numeric code that is no more than 10 digits,Q6b. OLDPTID (Previous PTID) must be an alpha numeric code that is no more than 10 digits,IF OLDPTID is more than 10 digits,,,,
